yearmonth,George_Washington_Bridge,Lincoln_Tunnel,Holland_Tunnel,Goethals_Bridge,Outerbridge_Crossing,Bayonne_Bridge,Total
201101,3695684,1487813,1236450,1013561,1053365,262283,8749156
201102,3587374,1453817,1226770,1000142,1039569,257419,8565091
201103,4221447,1711098,1435707,1168410,1208881,302679,10048222
201104,4255625,1704764,1403554,1166681,1215639,300070,10046333
201105,4483446,1744676,1457144,1249166,1297228,313124,10544784
201106,4474718,1729257,1447245,1249564,1315660,314230,10530674
201107,4646097,1713646,1469957,1325269,1357849,306207,10819025
201108,4415798,1663648,1391267,1255443,1281346,301245,10308747
201109,4195808,1638207,1347191,1198164,1225084,297538,9901992
201110,4145059,1686179,1391174,1186503,1217997,294054,9920966
201111,4101174,1624250,1360280,1169558,1175896,290553,9721711
201112,4175177,1672079,1422961,1195988,1229855,297024,9993084
201201,3781788,1510709,1287761,1061906,1106579,277750,9026493
201202,3716610,1464800,1258525,1039786,1086885,271941,8838547
201203,4124500,1634450,1408648,1148825,1197527,299551,9813501
201204,4134467,1633764,1365421,1166113,1197886,293024,9790675
201205,4348902,1652937,1440753,1216872,1261677,308448,10229589
201206,4298201,1624182,1424569,1230779,1291571,303953,10173255
201207,4276079,1609256,1421140,1277963,1310687,299695,10194820
201208,4422202,1641481,1444077,1296117,1343245,312325,10459447
201209,4070506,1561978,1348588,1153291,1202396,283566,9620325
201210,3949978,1556431,1272003,1091633,1131840,279714,9281599
201211,3892052,1520182,1046097,1153915,1148408,280807,9041461
201212,4095636,1604865,1399951,1166420,1227962,287728,9782562
201301,3830276,1474388,1283310,1068959,1125764,279932,9062629
201302,3426080,1325372,1157853,947736,1000685,249747,8107473
201303,4065855,1587688,1369232,1134529,1192967,283081,9633352
201304,4112127,1565983,1355016,1123174,1193917,288071,9638288
201305,4343637,1634667,1409980,1182806,1264417,302573,10138080
201306,4291856,1597360,1386529,1186320,1278407,293505,10033977
201307,4465522,1579328,1403023,1309880,1188235,299264,10245252
201308,4500807,1655961,1406358,1368812,1200648,307269,10439855
201309,4098852,1562146,1323592,1240948,1062572,286315,9574425
201310,4270770,1634586,1396817,1240313,1117240,301657,9961383
201311,4016385,1559777,1326572,1122564,1112196,282641,9420135
201312,3980077,1568694,1339287,1140219,1138312,266325,9432914
201401,3569088,1409508,1182062,975666,998439,236061,8370824
201402,3172907,1277459,1061542,876723,899500,207434,7495565
201403,4003444,1574585,1314376,1099805,1123228,247515,9362953
201404,4118130,1594801,1276855,1156609,1158505,240789,9545689
201405,4412253,1666298,1360976,1249255,1239181,230416,10158379
201406,4247633,1635328,1347706,1226958,1246114,249395,9953134
201407,4366984,1603049,1366826,1270819,1279123,250536,10137337
201408,4503805,1643217,1397065,1318147,1324550,215960,10402744
201409,4141635,1576301,1313770,1184505,1182443,215817,9614471
201410,4246759,1658428,1339190,1193422,1190251,243349,9871399
201411,4063038,1548544,1278995,1139796,1130360,207807,9368540
201412,4190613,1603447,1331235,1184769,1193810,232744,9736618
201501,3613894,1401488,1146262,1025364,1018022,198710,8403740
201502,3376558,1344534,1103138,979080,943618,166023,7912951
201503,3962433,1582276,1258086,1139980,1109119,194723,9246617
201504,4186615,1596498,1302519,1218600,1185048,167765,9657045
201505,4465676,1669186,1375465,1255932,1292734,191820,10250813
201506,4387567,1610822,1330957,1244082,1282536,181418,10037382
201507,4622590,1614447,1354588,1334481,1321375,169705,10417186
201508,4721645,1659999,1364192,1343397,1372381,160308,10621922
201509,4247572,1555832,1262846,1252046,1218191,161798,9698285
201510,4364137,1674385,1329328,1299405,1235862,149906,10053023
201511,4199613,1590190,1267025,1263763,1191523,148348,9660462
201512,4308497,1631931,1314614,1307038,1258111,167150,9987341
201601,3719694,1420012,1143834,1120404,1079561,129334,8612839
201602,3741641,1451290,1154912,1126553,1082731,124720,8681847
