Date,TBTA_CBDInbound,PANYNJ_CBDInbound,ERB_Inbound,TPEP_CBD_Speed,TBTA_CBDInbound_Avg,PANYNJ_CBDInbound_Avg,ERB_Inbound_Avg,TPEP_CBD_Speed_Avg
10/1/2019,69592,99681,258606,8.028,71850,96242,268150,7.626
10/2/2019,78107,88744,264813,6.595,72787,96042,269112,7.714
10/3/2019,80434,90149,257497,5.61,73838,95840,267505,7.658
10/4/2019,81834,96104,288511,6.628,74038,95863,269301,7.688
10/5/2019,72792,97330,293771,7.762,73757,95775,269981,7.583
10/6/2019,63396,99393,271522,7.423,74359,95966,269937,7.274
10/7/2019,74972,101146,263242,7.78,74447,96078,271137,7.118
10/8/2019,68851,98633,262577,7.188,74341,95928,271705,6.998
10/9/2019,63728,90723,255105,7.344,72287,96211,270318,7.105
10/10/2019,81345,89206,285280,6.534,72417,96076,274287,7.237
10/11/2019,84015,96104,294548,6.664,72728,96076,275149,7.242
10/12/2019,71072,98760,295110,8.196,72483,96281,275341,7.304
10/13/2019,64578,99382,275099,8.901,72652,96279,275852,7.515
10/14/2019,62563,99592,251027,9.117,70879,96057,274107,7.706
10/15/2019,75095,97784,277782,7.187,71771,95936,276279,7.706
10/16/2019,77572,90554,266883,5.871,73749,95912,277961,7.496
10/17/2019,82040,95268,285437,6.375,73848,96778,277984,7.473
10/18/2019,86386,93923,289827,6.504,74187,96466,277309,7.45
10/19/2019,73614,99538,294882,7.792,74550,96577,277277,7.392
10/20/2019,60127,98419,269053,8.52,73914,96440,276413,7.338
10/21/2019,70624,101275,264692,7.923,75065,96680,278365,7.167
10/22/2019,72005,96669,262050,7.089,74624,96521,276118,7.153
10/23/2019,79362,91180,275399,6.586,74880,96610,277334,7.255
10/24/2019,84210,88954,274543,6.285,75190,95708,275778,7.243
10/25/2019,84074,96617,292230,6.945,74859,96093,276121,7.306
10/26/2019,76169,98145,301028,7.929,75224,95894,276999,7.325
10/27/2019,63165,96472,268731,8.359,75658,95616,276953,7.302
10/28/2019,75829,102581,266354,7.488,76402,95803,277191,7.24
10/29/2019,78532,91023,259061,6.539,77334,94996,276764,7.162
10/30/2019,76130,92673,262201,6.824,76873,95209,274878,7.196
10/31/2019,77532,92042,255943,6.84,75919,95650,272221,7.275
11/1/2019,82103,95369,289149,6.731,75637,95472,271781,7.244
11/2/2019,70394,89223,291600,7.939,74812,94198,270434,7.246
11/3/2019,63252,96091,233310,10.184,74825,94143,265374,7.507
11/4/2019,77654,100640,265624,7.463,75085,93866,265270,7.503
11/5/2019,71138,100505,263701,7.258,74029,95220,265933,7.606
11/6/2019,80308,92814,271455,6.608,74626,95241,267255,7.575
11/7/2019,79077,92283,273430,6.267,74847,95275,269753,7.493
11/8/2019,79842,94118,284577,6.461,74524,95096,269100,7.455
11/9/2019,70598,96598,289415,7.623,74553,96150,268787,7.409
11/10/2019,64815,98547,275594,8.438,74776,96501,274828,7.16
11/11/2019,63258,96614,249374,6.793,72719,95926,272507,7.064
11/12/2019,76625,95016,242610,6.009,73503,95141,269494,6.886
11/13/2019,78314,92814,260281,6.277,73218,95141,267897,6.838
11/14/2019,81521,92840,274862,6.468,73568,95221,268102,6.867
11/15/2019,83529,87242,276495,6.682,74094,94239,266947,6.899
11/16/2019,72571,97610,279391,7.996,74376,94383,265515,6.952
11/17/2019,63265,97435,267113,8.871,74155,94224,264304,7.014
11/18/2019,76330,100979,218721,7.237,76022,94848,259925,7.077
11/19/2019,77860,90379,258320,6.784,76199,94186,262169,7.188
11/20/2019,78072,91241,266464,6.639,76164,93961,263052,7.24
11/21/2019,82603,93126,271694,6.803,76319,94002,262600,7.287
11/22/2019,81053,94391,268663,7.129,75965,95023,261481,7.351
11/23/2019,70042,99540,281364,8.681,75604,95299,261763,7.449
11/24/2019,55806,96751,244743,8.705,74538,95201,258567,7.425
11/25/2019,73120,98624,258377,7.587,74079,94865,264232,7.475
11/26/2019,79528,87817,261057,6.772,74318,94499,264623,7.474
11/27/2019,,92931,261599,7.504,73692,94740,263928,7.597
11/28/2019,49374,97684,228306,9.926,68154,95391,257730,8.043
11/29/2019,51547,93425,242767,9.506,63236,95253,254030,8.383
11/30/2019,60532,81713,264439,9.306,61651,92706,251613,8.472
12/1/2019,54232,81886,240437,8.121,61389,90583,250997,8.389
12/2/2019,69664,101417,189069,7.214,60813,90982,241096,8.336
12/3/2019,77756,85935,207498,6.987,60518,90713,233445,8.366
12/4/2019,76644,78957,245205,6.33,62821,88717,231103,8.198
12/5/2019,83287,93452,259759,6.512,67666,88112,235596,7.711
12/6/2019,81641,96748,267666,6.823,71965,88587,239153,7.327
12/7/2019,70555,100678,280504,7.712,73397,91296,241448,7.1
12/8/2019,62104,99796,266845,8.438,74522,93855,245221,7.145
12/9/2019,77234,96374,228130,6.452,75603,93134,250801,7.036
12/10/2019,77379,93360,236079,5.735,75549,94195,254884,6.857
12/11/2019,75805,92415,246501,6.409,75429,96118,255069,6.869
