Date,TBTA_CBDInbound,PANYNJ_CBDInbound,ERB_Inbound,TPEP_CBD_Speed,TBTA_CBDInbound_Avg,PANYNJ_CBDInbound_Avg,ERB_Inbound_Avg,Total_CBDInbound_Volume,TBTA_CBDInbound_Pct,PANYNJ_CBDInbound_Pct,ERB_Inbound_Pct,TPEP_CBD_Speed_Avg
10/1/2019,69592,99681,258606,8.028,71850,96242,268150,436242,0.164702161,0.22061608,0.614681759,7.626
10/2/2019,78107,88744,264813,6.595,72787,96042,269112,437941,0.166202753,0.219303513,0.614493733,7.714
10/3/2019,80434,90149,257497,5.61,73838,95840,267505,437183,0.168894948,0.219221699,0.611883353,7.658
10/4/2019,81834,96104,288511,6.628,74038,95863,269301,439202,0.168573914,0.21826631,0.613159776,7.688
10/5/2019,72792,97330,293771,7.762,73757,95775,269981,439513,0.167815286,0.217911643,0.61427307,7.583
10/6/2019,63396,99393,271522,7.423,74359,95966,269937,440262,0.168897157,0.217974751,0.613128092,7.274
10/7/2019,74972,101146,263242,7.78,74447,96078,271137,441662,0.168561026,0.217537393,0.613901581,7.118
10/8/2019,68851,98633,262577,7.188,74341,95928,271705,441974,0.168202202,0.217044442,0.614753357,6.998
10/9/2019,63728,90723,255105,7.344,72287,96211,270318,438816,0.164731915,0.219251349,0.616016736,7.105
10/10/2019,81345,89206,285280,6.534,72417,96076,274287,442780,0.163550748,0.216983604,0.619465649,7.237
10/11/2019,84015,96104,294548,6.664,72728,96076,275149,443953,0.163819143,0.216410296,0.619770561,7.242
10/12/2019,71072,98760,295110,8.196,72483,96281,275341,444105,0.163211403,0.216797829,0.619990768,7.304
10/13/2019,64578,99382,275099,8.901,72652,96279,275852,444783,0.163342574,0.216462859,0.620194567,7.515
10/14/2019,62563,99592,251027,9.117,70879,96057,274107,441043,0.160707686,0.21779509,0.621497224,7.706
10/15/2019,75095,97784,277782,7.187,71771,95936,276279,443986,0.161651494,0.216078885,0.622269621,7.706
10/16/2019,77572,90554,266883,5.871,73749,95912,277961,447622,0.164757318,0.214270076,0.620972606,7.496
10/17/2019,82040,95268,285437,6.375,73848,96778,277984,448610,0.164615145,0.215728584,0.619656272,7.473
10/18/2019,86386,93923,289827,6.504,74187,96466,277309,447962,0.165610029,0.215344159,0.619045812,7.45
10/19/2019,73614,99538,294882,7.792,74550,96577,277277,448404,0.166256322,0.215379435,0.618364243,7.392
