YearMonth,MTA,PANYNJ
201101,20408730,8749156
201102,20176144,8565091
201103,23928232,10048222
201104,23593365,10046333
201105,25144889,10544784
201106,25289003,10530674
201107,25490788,10819025
201108,24253530,10308747
201109,23976096,9901992
201110,24135980,9920966
201111,23480109,9721711
201112,23697995,9993084
201201,21776550,9026493
201202,21280142,8838547
201203,23927645,9813501
201204,23651425,9790675
201205,25192764,10229589
201206,25233363,10173255
201207,24887622,10194820
201208,25669824,10459447
201209,23763047,9620325
201210,22963971,9281599
201211,20993843,9041461
201212,23412942,9782562
201301,22290223,9062629
201302,19831970,8107473
201303,23376021,9633352
201304,23638588,9638288
201305,25045252,10138080
201306,24738988,10033977
201307,24886530,10245252
201308,25636599,10439855
201309,23810071,9574425
201310,25036991,9961383
201311,23200297,9420135
201312,23035975,9432914
201401,20747317,8370824
201402,18701703,7495565
201403,23431567,9362953
201404,23834773,9545689
201405,25668919,10158379
201406,25374933,9953134
201407,25435425,10137337
201408,25951945,10402744
201409,24481160,9614471
201410,25189827,9871399
201411,23400720,9368540
201412,24198616,9736618
201501,20983289,8403740
201502,19983679,7912951
201503,23836645,9246617
201504,24825057,9657045
201505,26520622,10250813
201506,26140659,10037382
201507,26900933,10417186
201508,27179957,10621922
201509,25176781,9698285
201510,26221062,10053023
201511,24793552,9660462
201512,25398337,9987341
201601,22206860,8612839
201602,22379445,8681847
201603,25678007,9880972
201604,25460062,9770105
201605,27041559,10326501
201606,27281473,10262559
201607,27279840,10578762
201608,27620446,10734982
201609,26043256,9966761
201610,26022431,10143540
201611,25130058,9785758
201612,25273158,10026745
201701,23452652,9102194
201702,21620767,8447144
201703,24595618,9433660
201704,25354830,9963360
201705,26717750,10333133
201706,27133265,10362065
201707,27530620,10652072
201708,28271494,10805326
201709,26559138,10071893
201710,27068258,10295314
201711,25955869,9897686
201712,25737055,10030544
201801,23731837,9016136
201802,22742698,8579978
201803,25672596,9604862
201804,26519055,9946150
201805,28226943,10490475
201806,28546822,10521977
201807,28561622,10690758
201808,29280095,10870416
201809,27175132,10033180
201810,28301034,10379394
201811,26584637,9850756
201812,26946779,10273647
201901,25005762,9242101
201902,23532562,8668935
201903,27332093,10002610
201904,27419476,10099256
201905,29249471,10652570
201906,28792254,10583879
201907,28857383,10752658
201908,29442733,10976484
201909,27785633,10289889
201910,28109963,10484799
201911,26913543,10143711
201912,26955736,10330784
202001,25368494,9577274
202002,24540667,9284312
202003,18934838,7235171
202004,9730391,3964954
202005,14953991,6156299
202006,20001850,7825245
202007,23322086,9012497
202008,24423978,9471609
202009,24002326,9111973
202010,24436257,9309861
202011,21889990,8503142
202012,21579179,8376771
202101,21014689,8259620
202102,18255540,7034044
202103,24335609,9248161
202104,24896430,9385617
202105,26848094,10157245
202106,27834962,10371256
202107,28032430,10685297
202108,28090122,10651940
202109,27056983,9932420
202110,28078500,10391210
202111,26839397,10037597
202112,26013482,9898907
