RES_REG,POW,PWGTP,TOTAL,% DEST
Connecticut,Bronx,397,9945,0.03991955756661639
Connecticut,Brooklyn,577,9945,0.05801910507792861
Connecticut,Manhattan,8628,9945,0.8675716440422323
Connecticut,Queens,302,9945,0.03036701860231272
Connecticut,Staten Island,41,9945,0.004122674710910005
Inner New Jersey,Bronx,10563,368995,0.028626404151817775
Inner New Jersey,Brooklyn,35069,368995,0.09503922817382349
Inner New Jersey,Manhattan,302549,368995,0.8199270992831881
Inner New Jersey,Queens,14268,368995,0.03866719061233892
Inner New Jersey,Staten Island,6546,368995,0.01774007777883169
Long Island,Bronx,9974,300817,0.03315637081680889
Long Island,Brooklyn,37483,300817,0.12460399511995665
Long Island,Manhattan,150974,300817,0.5018798804588837
Long Island,Queens,101393,300817,0.33705874335559494
Long Island,Staten Island,993,300817,0.0033010102487558883
Lower Hudson Valley,Bronx,41835,173037,0.24176910140605767
Lower Hudson Valley,Brooklyn,9451,173037,0.05461837641660454
Lower Hudson Valley,Manhattan,112495,173037,0.6501210723718048
Lower Hudson Valley,Queens,8860,173037,0.05120292191843363
Lower Hudson Valley,Staten Island,396,173037,0.002288527887099291
Mid Hudson Valley,Bronx,6006,32475,0.18494226327944574
Mid Hudson Valley,Brooklyn,3409,32475,0.10497305619707467
Mid Hudson Valley,Manhattan,20582,32475,0.633779830638953
Mid Hudson Valley,Queens,2142,32475,0.06595842956120092
Mid Hudson Valley,Staten Island,336,32475,0.010346420323325636
Outer New Jersey,Bronx,808,52965,0.015255357311432077
Outer New Jersey,Brooklyn,5813,52965,0.10975172283583498
Outer New Jersey,Manhattan,39952,52965,0.7543094496365524
Outer New Jersey,Queens,1999,52965,0.03774190503162466
Outer New Jersey,Staten Island,4393,52965,0.08294156518455584
