TM,PWGTP,% TM
Subway,434510,0.22316152773533499
Rail,22143,0.011372501688438752
Bus,251384,0.12910919768985626
Drive Alone,727300,0.37353657941568463
Carpool,137273,0.07050252559621789
Other,263551,0.13535809025379225
Work From Home,110904,0.056959577620675224
