RES,POW,PWGTP,TOTAL,% DEST
Inner New Jersey,Bronx,10373,368703,0.028133755
Inner New Jersey,Brooklyn,35049,368703,0.095060252
Inner New Jersey,Manhattan,302549,368703,0.820576453
Inner New Jersey,Queens,14186,368703,0.038475412
Inner New Jersey,Staten Island,6546,368703,0.017754127
Long Island,Bronx,9830,300543,0.032707466
Long Island,Brooklyn,37483,300543,0.124717594
Long Island,Manhattan,150963,300543,0.502300835
Long Island,Queens,101274,300543,0.336970084
Long Island,Staten Island,993,300543,0.00330402
Lower Hudson Valley,Bronx,41742,172898,0.24142558
Lower Hudson Valley,Brooklyn,9443,172898,0.054616016
Lower Hudson Valley,Manhattan,112495,172898,0.650643732
Lower Hudson Valley,Queens,8822,172898,0.051024303
Lower Hudson Valley,Staten Island,396,172898,0.002290368
Mid Hudson Valley,Bronx,6006,32475,0.184942263
Mid Hudson Valley,Brooklyn,3409,32475,0.104973056
Mid Hudson Valley,Manhattan,20582,32475,0.633779831
Mid Hudson Valley,Queens,2142,32475,0.06595843
Mid Hudson Valley,Staten Island,336,32475,0.01034642
Outer New Jersey,Bronx,793,52943,0.014978373
Outer New Jersey,Brooklyn,5813,52943,0.109797329
Outer New Jersey,Manhattan,39952,52943,0.754622896
Outer New Jersey,Queens,1992,52943,0.037625371
Outer New Jersey,Staten Island,4393,52943,0.082976031
Southwest Connecticut,Bronx,2360,40179,0.058737151
Southwest Connecticut,Brooklyn,2148,40179,0.053460763
Southwest Connecticut,Manhattan,34112,40179,0.849000722
Southwest Connecticut,Queens,1503,40179,0.037407601
Southwest Connecticut,Staten Island,56,40179,0.001393763
