RES,TOTAL,% RES
New York City,3690023,0.7922305638499503
Inner New Jersey,368703,0.07915879808423097
Long Island,300543,0.06452516701146731
Lower Hudson Valley,172898,0.037120386520227304
Outer New Jersey,52943,0.011366612821087543
Western Connecticut,40179,0.008626242119609323
Mid Hudson Valley,32475,0.006972229593427233
