RES,TM,PWGTP,TOTAL,% TM
Bronx,Bus,93013,578939,0.16066114
Bronx,Carpool,24535,578939,0.042379249
Bronx,Drive Alone,134355,578939,0.232071082
Bronx,Other*,53483,578939,0.092381063
Bronx,Rail,12396,578939,0.021411582
Bronx,Subway,243343,578939,0.420325803
Bronx,Work From Home,17814,578939,0.030770081
Brooklyn,Bus,95458,1197588,0.079708548
Brooklyn,Carpool,48743,1197588,0.040700976
Brooklyn,Drive Alone,219199,1197588,0.183033731
Brooklyn,Other*,142842,1197588,0.119274742
Brooklyn,Rail,11966,1197588,0.00999175
Brooklyn,Subway,624610,1197588,0.521556662
Brooklyn,Work From Home,54770,1197588,0.045733591
Manhattan,Bus,53910,890155,0.060562486
Manhattan,Carpool,15861,890155,0.017818245
Manhattan,Drive Alone,53431,890155,0.060024378
Manhattan,Other*,233927,890155,0.262793558
Manhattan,Rail,16527,890155,0.018566429
Manhattan,Subway,450609,890155,0.506214086
Manhattan,Work From Home,65890,890155,0.074020817
Queens,Bus,114025,1100981,0.103566728
Queens,Carpool,68229,1100981,0.061971097
Queens,Drive Alone,357366,1100981,0.324588708
Queens,Other*,82047,1100981,0.074521722
Queens,Rail,22762,1100981,0.02067429
Queens,Subway,424407,1100981,0.385480767
Queens,Work From Home,32145,1100981,0.029196689
Staten Island,Bus,46463,212758,0.218384268
Staten Island,Carpool,16903,212758,0.079447071
Staten Island,Drive Alone,119001,212758,0.559325619
Staten Island,Other*,16221,212758,0.076241551
Staten Island,Rail,1471,212758,0.006913959
Staten Island,Subway,6524,212758,0.030663947
Staten Island,Work From Home,6175,212758,0.029023585
