yearmonth,BillyBey,HMS,Liberty Landing Ferry,NY Waterway,NYC Ferry,New York Water Taxi ,New York Water Tours,SeaStreak,Total
201301,348793.0,0,11081.0,321092.0,0,29756.0,0,56909.0,767631.0
201302,234264.0,0,8674.0,262219.0,0,23238.0,0,50787.0,579182.0
201303,267196.0,0,11761.0,325211.0,0,51960.0,0,55251.0,711379.0
201304,327442.0,0,15277.0,386063.0,0,60690.0,0,62484.0,851956.0
201305,356595.0,0,19047.0,342397.0,0,73323.0,0,67991.0,859353.0
201306,364005.0,0,23991.0,354417.0,0,94669.0,0,76517.0,913599.0
201307,382173.0,0,25861.0,362078.0,0,105722.0,0,93558.0,969392.0
201308,399909.0,0,31421.0,360658.0,0,114824.0,0,88075.0,994887.0
201309,377178.0,0,19131.0,326943.0,0,99865.0,0,71455.0,894572.0
201310,369278.0,0,18153.0,365086.0,0,80390.0,0,71349.0,904256.0
201311,260414.0,0,14191.0,309128.0,0,48058.0,0,60269.0,692060.0
201312,236840.0,0,11516.0,327323.0,0,52518.0,0,60939.0,689136.0
201401,226972.0,0,9484.0,302021.0,0,26932.0,0,51992.0,617401.0
201402,206889.0,0,9862.0,265733.0,0,28074.0,0,51199.0,561757.0
201403,256732.0,0,14092.0,325289.0,0,40089.0,0,59878.0,696080.0
201404,320007.0,0,18581.0,365402.0,0,64389.0,0,64888.0,833267.0
201405,360535.0,0,22386.0,345150.0,0,67416.185,0,73111.0,868598.185
201406,381259.0,0,26748.0,367999.0,0,69592.0,0,88604.0,934202.0
201407,399060.0,0,30622.0,388638.0,0,85821.0,0,101269.0,1005410.0
201408,400827.0,0,27375.0,370245.0,0,101024.0,0,99894.0,999365.0
201409,394899.0,0,21428.0,352275.0,0,58245.0,0,81757.0,908604.0
201410,389594.0,0,20277.0,384951.0,0,46045.0,0,76390.0,917257.0
201411,254504.0,0,13730.0,307108.0,0,29585.0,0,61867.0,666794.0
201412,264221.0,0,13698.0,367186.0,0,27853.0,0,64720.0,737678.0
201501,234689.0,0,10051.0,282338.0,0,19157.0,0,57138.0,603373.0
201502,191205.0,0,6446.0,247707.0,0,9455.0,0,46045.0,500858.0
201503,272683.0,0,10539.0,306618.0,0,23540.0,0,60192.0,673572.0
201504,359807.0,0,18658.0,379829.0,0,48877.0,0,66825.0,873996.0
201505,426716.0,0,24030.0,353418.0,0,69543.0,0,73908.0,947615.0
201506,420857.0,0,24918.0,399335.0,0,62642.0,0,87932.0,995684.0
201507,459937.0,0,30741.0,389820.0,0,84024.0,0,114258.0,1078780.0
201508,464230.0,0,30108.0,397906.0,0,98713.0,0,113896.0,1104853.0
201509,458035.0,0,23847.0,369919.0,0,69977.0,0,93417.0,1015195.0
201510,390561.0,0,19025.0,399541.0,0,51311.0,0,78331.0,938769.0
201511,318121.0,0,15054.0,337918.0,0,42652.0,0,72041.0,785786.0
201512,307430.0,0,12552.0,369947.0,0,46415.0,0,73453.0,809797.0
201601,277720.0,0,10327.0,292496.0,0,29498.0,0,64479.0,674520.0
201602,274574.0,0,10557.0,292569.0,0,24718.0,0,60432.0,662850.0
201603,362802.0,0,16984.0,382415.0,0,42597.0,0,74559.0,879357.0
201604,387184.0,0,14251.0,364951.0,0,55021.0,0,73341.0,894748.0
201605,429205.0,0,25097.0,359864.0,0,61434.0,0,83945.0,959545.0
201606,487657.0,0,35684.0,401081.0,0,74395.0,0,105205.0,1104022.0
201607,453742.0,0,33523.0,378459.0,0,108115.0,0,116535.0,1090374.0
201608,487223.0,0,32128.0,406173.0,0,100720.0,0,120016.0,1146260.0
201609,436113.0,0,28456.0,382187.0,0,69130.0,0,92294.0,1008180.0
201610,382890.0,0,25121.0,383285.0,0,59181.0,0,83080.0,933557.0
201611,336921.0,0,18912.0,355732.0,0,34523.0,0,81792.0,827880.0
201612,243709.0,24369.0,18693.0,382547.0,0,28704.0,0,75481.0,773503.0
201701,205150.0,57265.0,13672.0,321312.0,0,24159.0,0,73761.0,695319.0
201702,191725.0,70854.0,13937.0,297231.0,0,20347.0,0,67266.0,661360.0
201703,221119.0,77446.0,15512.0,345752.0,0,16155.0,0,78381.0,754365.0
201704,245354.0,118203.0,26772.0,393706.0,0,42522.0,23052.0,77758.0,927367.0
201705,264268.0,0,25710.0,379302.0,234088.0,40754.0,25710.0,89909.0,1059741.0
201706,290209.0,0,32167.0,408010.0,402904.0,47713.0,32212.0,111467.0,1324682.0
201707,301605.0,0,40324.0,395200.0,524311.0,72608.0,38074.0,121465.0,1493587.0
201708,350278.0,0,40503.0,418990.0,482821.0,72852.0,25548.0,122473.0,1513465.0
201709,266641.0,0,27744.0,372389.0,461772.0,54957.0,0.0,94880.0,1278383.0
201710,270941.0,0,20429.0,424973.0,405101.0,43589.0,0.0,91589.0,1256622.0
201711,240516.0,0,17401.0,370451.0,251988.0,22409.0,0.0,86310.0,989075.0
201712,196659.0,0,16679.0,357986.0,186047.0,19835.0,0.0,76971.0,854177.0
201801,231689.0,0,10996.0,325463.0,157375.0,11895.0,0.0,60146.0,797564.0
201802,222404.0,0,12463.0,308026.0,182170.0,12316.0,0.0,70231.0,807610.0
201803,235981.0,0,16656.0,357734.0,299898.0,17029.0,0.0,74019.0,1001317.0
201804,257422.0,0,21684.0,399681.0,315837.0,23372.0,0.0,81497.0,1099493.0
201805,297807.0,0,31125.0,400843.0,430966.0,28566.0,0.0,96729.0,1286036.0
201806,313676.0,0,43770.0,418936.0,550403.0,35720.0,0.0,111516.0,1474021.0
201807,329026.0,0,49493.0,413639.0,682684.0,48283.0,0.0,127365.0,1650490.0
201808,337769.0,0,43259.0,417415.0,699580.0,40897.0,0.0,125751.0,1664671.0
201809,294124.0,0,33153.0,352160.0,592067.0,32999.0,0.0,98089.0,1402592.0
201810,317954.0,0,28705.0,456296.0,472343.0,21790.0,0.0,101545.0,1398633.0
201811,243997.0,0,21354.0,384667.0,298303.0,14199.0,0.0,90848.0,1053368.0
201812,202787.0,0,19666.0,385849.0,251413.0,14172.0,0.0,82654.0,956541.0
201901,305913.0,0,15645.0,363044.0,239676.0,22251.0,0.0,88114.0,1034643.0
201902,282364.0,0,13746.0,321911.0,233258.0,24735.0,0.0,77195.0,953209.0
201903,379688.0,0,17165.0,384950.0,303666.0,31906.0,0.0,89133.0,1206508.0
201904,369160.0,0,22483.0,460163.0,481800.0,65035.0,0.0,92716.0,1491357.0
201905,370900.0,0,27628.0,437194.0,600650.0,41109.0,0.0,107661.0,1585142.0
201906,613011.0,0,41009.0,433968.0,777736.0,45612.0,0.0,117483.0,2028819.0
201907,406742.0,0,43942.0,455021.0,859866.0,55636.0,0.0,143761.0,1964968.0
201908,399224.0,0,41521.0,447847.0,931433.0,62392.0,0.0,138891.0,2021308.0
201909,398892.0,0,33775.0,416536.0,726701.0,49584.0,0.0,110386.0,1735874.0
201910,397540.0,0,26874.0,473193.0,587410.0,37189.0,0.0,108178.0,1630384.0
201911,305701.0,0,19488.0,381333.0,364062.0,33654.0,0.0,91262.0,1195500.0
201912,199524.0,0,17516.0,379887.0,287188.0,32919.0,0.0,89406.0,1006440.0
202001,265559.0,0,17276.0,369667.0,314213.0,24458.0,0.0,98886.0,1090059.0
202002,277635.0,0,13439.0,331828.0,297888.0,24168.0,0.0,86730.0,1031688.0
202003,140062.0,0,8648.0,157276.0,202994.0,15051.0,0.0,41759.0,565790.0
202004,0,0,0.0,2620.0,43416.0,3268.0,0.0,1737.0,51041.0
202005,0,0,0.0,3153.0,125030.0,3854.0,0.0,3708.0,135745.0
202006,0,0,0.0,9882.0,250653.0,6554.0,0.0,11718.0,278807.0
