yearmonth,Astoria,Atlantic Ave,BMB Slip 5,Battery Park,Bay Ridge,Bayridge,Bayridge Brooklyn Army Terminal,Brooklyn Bridge Park Atlantic Avenue Pier 6,Brooklyn Navy Yard,Christopher Street,Corlears Hook,DUMBO,East 34th Street,East 90th Street,Fulton Ferry,Governors Island,Greenpoint,Hunters Point,Hunters Point South,Long Island City,North Williamsburg,Pier 11,Pier 16 South Street Seaport,Pier 17,Pier 6,Pier 79,Pier 83,Pier 84,Red Hook,Red Hook IKEA,Rockaway,Roosevelt Island,Schaeffer Landing,Soundview,South Williamsburg,Stuyvesant Cove,Sunset Park,Sunset Park Brooklyn Army Terminal (BAT),World Financial Center,World Financial Center / BPT (Brookfield Place),Total
201605,0,0,0,9087,0,0,0,0,0,1472,0,0,66533,0,33735,1731,12969,19878,0,0,34910,289762,0,0,0,290098,0,0,0,0,0,0,10432,0,0,0,0,0,188938,0,959545
201606,0,0,0,10621,0,0,0,0,0,2053,0,0,78455,0,35169,3868,14332,22883,0,0,37764,327730,0,0,0,328575,0,0,0,0,0,0,11351,0,0,0,0,0,231221,0,1104022
201607,0,0,0,18803,0,0,0,0,0,2334,0,0,83222,0,34988,4558,15303,21899,0,0,33476,332067,0,0,0,319021,0,0,0,0,0,0,11895,0,0,0,0,0,212808,0,1090374
201608,0,0,0,15961,0,0,0,0,0,2022,0,0,86627,0,37421,3779,17935,23894,0,0,23821,351605,0,0,0,338783,0,0,0,0,0,0,14381,0,0,0,0,0,230031,0,1146260
201609,0,0,0,9351,0,0,0,0,0,1504,0,0,70424,0,33850,5118,15831,21422,0,0,30430,297912,0,0,0,311397,0,0,0,0,0,0,10851,0,0,0,0,0,200090,0,1008180
201610,0,0,0,9462,0,0,0,0,0,1202,0,0,62450,0,28923,0,12593,17456,0,0,30293,267413,0,0,0,314446,0,0,0,0,0,0,9530,0,0,0,0,0,179789,0,933557
201611,0,0,0,4874,0,0,0,0,0,562,0,0,54537,0,17319,0,9827,13296,0,0,21967,238249,0,0,0,293213,0,0,0,0,0,0,6798,0,0,0,0,0,167238,0,827880
201612,0,0,0,4932,0,0,0,0,0,386,0,0,43742,0,11103,0,7851,9103,0,0,14231,208317,0,0,0,320379,0,0,0,0,0,0,5626,0,0,0,0,0,147833,0,773503
201701,0,0,0,2009,0,0,0,0,0,252,0,0,34002,0,8056,0,6493,7241,0,0,13838,219886,0,0,0,258036,0,0,0,0,0,0,4268,0,0,0,0,0,141238,0,695319
201702,0,0,0,0,0,0,0,0,0,224,0,0,40110,0,11176,0,6585,7886,0,0,14000,208401,0,0,0,231045,0,0,0,0,0,0,4597,0,0,0,0,0,137336,0,661360
201703,0,0,0,0,0,0,0,0,0,106,0,0,45175,0,10979,0,7496,8808,0,0,15854,238691,0,0,0,265068,0,0,0,0,0,0,5279,0,0,0,0,0,156909,0,754365
201704,0,0,21788,0,0,0,0,0,0,0,0,0,56563,0,24219,0,10133,15839,0,0,13284,258852,0,0,0,328397,0,0,0,0,0,0,9360,0,0,0,0,0,188932,0,927367
201705,0,0,24508,0,0,0,0,0,0,0,0,0,73964,0,36546,3514,13872,19077,0,0,30999,317789,0,0,0,302356,0,0,0,0,21923,0,10939,0,0,0,4631,0,199623,0,1059741
201706,0,0,30721,0,0,18475,0,0,0,0,0,56347,97967,0,0,7997,19839,28486,0,0,43823,378008,0,0,13403,332846,0,0,5856,0,36154,0,0,0,15545,0,12160,0,227055,0,1324682
201707,0,0,36047,0,0,24068,0,0,0,0,0,67057,106142,0,0,13766,19784,33877,0,0,41492,424493,0,0,10006,326552,0,0,7527,0,104230,0,0,0,13486,0,18264,0,246796,0,1493587
201708,1959,0,24264,3429,0,21777,0,0,0,0,0,69175,109004,0,0,11298,21321,35489,0,0,44704,457940,0,0,10263,340448,0,0,6822,0,52454,1513,0,0,16235,0,12890,0,272480,0,1513465
201709,20974,0,0,6025,0,14561,0,0,0,0,0,52760,100062,0,0,8826,19142,40803,0,0,40741,372995,0,0,7594,305375,0,0,8740,0,31869,17212,0,0,12955,0,11463,0,206286,0,1278383
201710,15781,0,0,5334,0,10686,0,0,0,0,0,53038,96895,0,0,7126,18747,34940,0,0,41097,359567,0,0,6252,345121,0,0,6641,0,21908,14176,0,0,14514,0,10182,0,194617,0,1256622
201711,10156,0,0,3248,0,4698,0,0,0,0,0,28072,75944,0,0,0,13799,24278,0,0,26839,285086,0,0,2615,299001,0,0,4682,0,14437,10891,0,0,9437,0,5241,0,170651,0,989075
201712,7922,0,0,4251,0,2980,0,0,0,0,0,19205,62847,0,0,0,10715,17669,0,0,19559,229643,0,0,1755,298661,0,0,3337,0,12300,6574,0,0,7244,0,4198,0,145317,0,854177
201801,6648,0,0,855,0,2255,0,0,0,0,0,15397,50882,0,0,0,9332,16606,0,0,19328,233180,0,0,301,258735,0,0,2636,0,6322,5841,0,0,6701,0,2960,0,159585,0,797564
201802,7356,0,0,1802,0,3245,0,0,0,0,0,18696,56998,0,0,0,10462,18064,0,0,20978,241340,0,0,2090,239473,0,0,2813,0,9752,6409,0,0,7334,0,3879,0,156919,0,807610
201803,8192,0,0,2848,0,2985,0,0,0,0,0,24889,82477,0,0,0,11060,27986,0,0,27166,318467,0,0,1979,285864,0,0,3165,0,10370,9655,0,0,8510,0,4077,0,171627,0,1001317
201804,11916,0,0,4533,0,6083,0,0,0,0,0,41365,82631,0,0,0,15535,30941,0,0,35484,302582,0,0,3921,329036,0,0,4795,0,14872,10942,0,0,13820,0,6319,0,184718,0,1099493
201805,15733,0,0,8289,0,9852,0,0,0,0,0,59926,102533,0,0,3804,19067,39232,0,0,43584,359227,0,0,6091,325440,0,0,10447,0,23509,13758,0,0,13925,0,9272,0,222347,0,1286036
201806,20975,0,0,10917,0,14816,0,0,0,0,0,72338,123626,0,0,5050,22042,47886,0,0,52808,408956,0,0,10618,340813,0,0,8357,0,42368,17159,0,0,9722,0,13807,0,251763,0,1474021
201807,26808,0,0,14164,0,20032,0,0,0,0,0,81864,135541,0,0,25750,22637,54202,0,0,54316,458863,0,0,12705,338094,0,0,10501,0,62954,18811,0,0,19235,0,18868,0,275145,0,1650490
201808,26467,0,0,9413,0,17240,0,0,0,0,370,78851,143065,8273,0,7699,22343,38639,0,0,52867,481348,0,0,11931,342812,0,0,9358,0,58087,19502,0,33642,20593,685,17998,0,263488,0,1664671
201809,21720,0,0,5529,0,13132,0,0,0,0,3730,68162,119333,11976,0,11295,21517,28640,0,0,47105,388153,0,0,9417,293777,0,0,8295,0,34969,17318,0,23669,18221,7585,12841,0,236208,0,1402592
201810,16865,0,0,6003,0,6709,0,0,0,0,4679,51607,118886,10253,0,4681,19963,27231,0,0,48670,380629,0,0,5201,368475,0,0,7520,0,18894,14255,0,17814,15525,4633,8500,0,241640,0,1398633
201811,10900,0,0,3089,0,3679,0,0,0,0,1512,27094,89252,6822,0,0,14075,27378,0,0,29969,283938,0,0,2453,307559,0,0,4534,0,13673,9739,0,12397,9599,3827,2289,0,189590,0,1053368
201812,10121,0,0,4015,0,3315,0,0,0,0,1005,23376,75921,5497,0,0,10984,22542,0,0,23008,239801,0,0,2023,318762,0,0,3196,0,14160,8078,0,11313,8129,2794,4366,0,164135,0,956541
201901,8881,0,8322,1441,0,2312,0,1860,0,0,1044,18548,82890,5075,0,0,15344,0,6273,15466,22094,267494,1497,0,0,278395,3176,0,3141,0,11583,7059,0,10429,8517,3483,4442,0,245877,0,1034643
201902,8926,0,6539,2467,0,2570,0,2062,0,0,918,20205,77781,4666,0,0,11039,0,6458,14539,24480,241357,1917,0,0,248593,4677,0,2916,0,10858,6928,0,9699,8329,3104,4265,0,227916,0,953209
201903,10763,0,7375,3129,0,0,7737,2859,0,0,1232,29826,89498,6632,0,0,19410,0,8229,17032,29659,275312,2847,0,0,305687,5408,0,3761,5265,13527,8399,0,12283,10451,3813,5247,0,321127,0,1206508
201904,17351,0,7620,2788,0,0,16277,6895,0,0,2126,57149,119125,9315,0,0,19661,0,16312,24891,44117,334655,6375,0,0,381394,11585,0,7378,12214,20192,17472,0,16195,18922,5649,10216,0,305483,0,1491357
201905,20071,0,8000,5721,0,0,14903,7750,3028,0,2846,71765,138115,14066,0,0,23302,0,20056,28601,53446,378204,3016,0,0,353665,5993,0,8342,7001,30397,16238,0,19448,20494,7204,11249,0,312221,0,1585142
201906,26147,0,7237,5667,0,0,19741,11662,11030,0,3560,89501,159821,18240,0,7941,26254,0,25924,33272,59453,433174,3287,0,0,358924,5977,0,9535,9146,48283,17119,0,24831,23121,8563,16561,0,564848,0,2028819
201907,28073,0,6419,8682,0,0,20521,12725,9850,0,3406,89464,175710,19144,0,5380,25892,0,26375,32397,60049,487376,4339,0,0,378614,8452,0,11077,9852,75818,18038,0,30689,23250,8436,21009,0,363931,0,1964968
201908,30584,0,6960,8484,0,0,23981,13998,11503,0,4017,101747,182552,21360,0,7665,28541,0,30543,35120,66331,505853,4757,0,0,374188,8944,0,9712,12544,74149,21533,0,32634,24557,9799,21043,0,348209,0,2021308
201909,23421,0,7383,7179,13442,0,0,9366,9583,0,3001,81309,153075,17584,0,7298,27231,0,22884,31433,60638,406897,5360,0,0,345244,6290,0,9476,9108,39280,17823,0,24842,22575,8745,0,18154,0,347253,1735874
201910,19063,0,7810,5487,8491,0,0,6924,10406,0,2481,66327,141437,14014,0,4112,24629,0,17212,28722,52570,373214,4831,0,0,387350,5137,0,8338,5057,21763,15382,0,20710,20785,7813,0,14333,0,335986,1630384
201911,12224,0,6912,5791,4403,0,0,3267,7126,0,1496,38740,105360,8710,0,0,17440,0,9537,19636,33080,263909,5178,0,0,308167,3345,0,5357,4271,14384,9219,0,15013,14301,4986,0,10108,0,263540,1195500
201912,10130,0,5577,8491,3357,0,0,2410,4864,0,1086,27483,90748,6279,0,0,13888,0,7750,15654,24796,233864,4328,0,0,312444,4112,0,3648,3260,15010,7523,0,13411,10684,3971,0,8681,0,162991,1006440
202001,9979,0,7406,3704,2974,0,0,2654,5834,0,1301,25907,101870,7595,0,0,16072,0,8536,19097,26533,269128,2099,0,0,285049,1260,0,3682,3834,13372,7863,0,14134,12041,4992,0,9685,0,223458,1090059
202002,9791,0,7099,2298,3105,0,0,2716,5603,0,1172,25817,92277,6932,0,0,15289,0,7721,16994,26939,241317,3208,0,0,263592,2146,0,3263,3867,12787,7613,0,12858,11702,4627,0,8718,0,232237,1031688
202003,6700,0,3323,1408,2368,0,0,2154,3490,0,861,17100,59290,5558,0,0,9753,0,5585,12052,16550,132962,2003,0,0,124656,1039,0,1971,1674,8129,4734,0,8641,7377,2916,0,6812,0,116684,565790
202004,1731,0,0,0,764,0,0,405,592,0,263,2491,12312,1758,0,0,1507,0,1869,3303,2008,8401,0,0,0,0,0,0,336,0,1851,1165,0,2242,1857,507,0,3059,0,2620,51041
202005,4758,0,0,0,2689,0,0,1455,1429,0,1023,10228,25978,4954,0,0,3381,0,7654,7089,5818,27314,0,0,0,0,0,0,1003,0,6536,3093,0,4736,6450,1290,0,5714,0,3153,135745
202006,10339,0,0,0,6254,0,0,3992,3310,0,2790,16843,50880,9894,0,0,7191,0,11066,11451,11725,64496,0,0,0,1284,0,0,2164,0,18757,6038,0,10509,7641,2938,0,10788,0,8457,278807
202007,14876,0,0,0,9036,0,0,10335,4846,0,3535,26971,74202,16073,0,30268,10949,0,14227,15330,19248,117981,0,0,0,25002,0,0,3844,0,41132,8611,0,15680,8976,4571,0,16569,0,14977,507239
202008,18556,0,6953,0,11799,0,0,26451,6073,0,4256,35054,83485,22788,0,85060,13247,0,17887,17985,23027,134687,0,0,0,30467,0,0,4994,0,44295,10920,0,18379,11516,5735,0,18842,0,18206,670662
202009,20456,0,11142,0,9939,0,0,34910,7702,0,3518,32961,85409,30904,0,86591,14208,0,16941,18928,23486,114149,0,0,0,38930,0,0,5049,0,27013,10922,0,15825,9904,6017,0,13847,0,27401,666152
202010,17458,0,10781,0,7190,0,0,25933,7622,0,2879,24687,77107,26864,0,85107,11700,0,13880,17346,20612,85924,0,0,0,53160,0,0,4160,0,12490,9967,0,12220,12482,5810,0,12348,0,32967,590694
202011,11982,0,8321,0,3865,0,0,4327,5631,0,1909,15602,55381,18001,0,13847,8888,0,9722,12266,13164,49400,0,0,0,40352,0,0,2463,0,7841,6221,0,8581,5754,3472,0,8176,0,24300,339466
202012,7990,0,6369,0,1789,0,0,2034,3874,0,877,7844,40431,10840,0,8100,6184,0,5662,8250,8203,31702,0,0,0,34280,0,0,1478,0,4985,4131,0,6351,3694,2360,0,5969,0,20163,233560
202101,7918,0,6106,0,1642,0,0,2115,3927,0,898,8332,40907,11175,0,6408,6573,0,6396,8657,8695,32043,0,0,0,30187,0,0,1362,0,4914,4547,0,6055,3464,2321,0,6079,0,17326,228047
202102,3551,0,11007,0,773,0,0,1361,3313,0,1370,8710,14589,10002,0,4935,7321,0,5705,8975,3171,30730,0,0,0,24742,0,0,1638,0,1509,7201,0,3952,5278,4639,0,7651,0,12421,184544
202103,11979,0,8763,0,3960,0,0,4176,6070,0,2351,17501,55934,17413,0,10034,10151,0,10243,13332,14672,50948,0,0,0,44838,0,0,3222,0,7604,7851,0,8753,6966,4271,0,9243,0,22608,352883
202104,13864,0,10219,0,4836,0,0,8495,7189,0,2300,3270,64342,20626,0,18316,11365,0,12246,15723,19603,63698,0,0,0,55108,0,0,3429,0,9982,11423,0,10202,1190,4044,0,9296,0,27636,408402
202106,20866,0,23389,0,10846,0,0,34685,10179,0,5004,19156,94312,33304,0,139823,0,0,21277,23327,39494,156940,0,0,0,125616,0,0,6227,0,41355,14579,0,19499,0,7190,0,16473,0,89460,953001
202107,21045,0,29955,0,12643,0,0,27530,8831,0,5199,0,102068,33511,0,139344,0,0,17331,22469,37176,171652,0,0,0,135263,0,0,6190,8589,45981,15489,0,22376,1200,6938,0,18116,0,85492,974388
