yearmonth,BillyBey,Liberty Landing Ferry,NY Waterway,NYC Ferry,New York Water Taxi ,SeaStreak,Staten Island Ferry,Total,BillyBey Pct,Liberty Landing Ferry Pct,NY Waterway Pct,NYC Ferry Pct,New York Water Taxi Pct,SeaStreak Pct,Staten Island Ferry Pct
201407,399060,30622,388638,0,85821,101269,2139933,3145343,0.126873285,0.009735663,0.123559815,0,0.027285101,0.032196489,0.680349647
201408,400827,27375,370245,0,101024,99894,2092319,3091684,0.12964682,0.008854398,0.119755124,0,0.032676043,0.032310547,0.676757068
201409,394899,21428,352275,0,58245,81757,1930049,2838653,0.139114925,0.007548651,0.124099353,0,0.020518535,0.028801336,0.6799172
201410,389594,20277,384951,0,46045,76390,2028200,2945457,0.132269458,0.006884161,0.130693132,0,0.015632549,0.025934855,0.688585846
201411,254504,13730,307108,0,29585,61867,1760993,2427787,0.104829625,0.005655356,0.126497094,0,0.012185995,0.025482878,0.725349052
201412,264221,13698,367186,0,27853,64720,1792274,2529952,0.104437159,0.005414332,0.14513556,0,0.0110093,0.025581513,0.708422136
201501,234689,10051,282338,0,19157,57138,1375728,1979101,0.11858364,0.005078569,0.142659723,0,0.009679647,0.028870684,0.695127737
201502,191205,6446,247707,0,9455,46045,1364530,1865388,0.102501464,0.003455581,0.132791141,0,0.005068651,0.024683873,0.731499291
201503,272683,10539,306618,0,23540,60192,1681708,2355280,0.115775194,0.004474627,0.130183248,0,0.009994565,0.025556197,0.714016168
201504,359807,18658,379829,0,48877,66825,1849705,2723701,0.132102239,0.006850238,0.139453266,0,0.017945068,0.024534631,0.679114558
201505,426716,24030,353418,0,69543,73908,1831957,2779572,0.153518599,0.008645216,0.127148352,0,0.02501932,0.026589705,0.659078808
201506,420857,24918,399335,0,62642,87932,2103347,3099031,0.135802772,0.008040578,0.12885802,0,0.020213415,0.02837403,0.678711184
201507,459937,30741,389820,0,84024,114258,2303505,3382285,0.135984105,0.009088826,0.115253446,0,0.024842377,0.033781305,0.681049941
201508,464230,30108,397906,0,98713,113896,2245656,3350509,0.138555067,0.008986097,0.118759866,0,0.029462091,0.033993641,0.670243238
201509,458035,23847,369919,0,69977,93417,2028188,3043383,0.150501925,0.007835688,0.121548619,0,0.022993163,0.030695118,0.666425488
201510,390561,19025,399541,0,51311,78331,1975890,2914659,0.133998866,0.00652735,0.137079844,0,0.017604461,0.026874842,0.677914638
201511,318121,15054,337918,0,42652,72041,1760993,2546779,0.124911113,0.005910996,0.132684461,0,0.016747429,0.028287103,0.691458898
201512,307430,12552,369947,0,46415,73453,1803583,2613380,0.11763693,0.004802975,0.141558824,0,0.017760525,0.028106513,0.690134232
201601,277720,10327,292496,0,29498,64479,1472817,2147337,0.129332285,0.004809213,0.136213366,0,0.013737015,0.030027425,0.685880698
201602,274574,10557,292569,0,24718,60432,1489579.714,2152429.714,0.127564676,0.00490469,0.135924996,0,0.011483766,0.028076178,0.692045693
201603,362802,16984,382415,0,42597,74559,1913852.148,2793209.148,0.129887159,0.006080461,0.136908831,0,0.015250201,0.026692953,0.685180395
201604,387184,14251,364951,0,55021,73341,1870871.769,2765619.769,0.139998999,0.005152914,0.131959933,0,0.019894636,0.02651883,0.676474688
201605,429205,25097,359864,0,61434,83945,2021985,2981530,0.143954614,0.00841749,0.120697763,0,0.020604857,0.028155008,0.678170268
201606,487657,35684,401081,0,74395,105205,2119162,3223184,0.151296668,0.01107104,0.124436272,0,0.023081214,0.032640085,0.657474721
201607,453742,33523,378459,0,108115,116535,2208292,3298666,0.137553181,0.010162593,0.114730925,0,0.03277537,0.035327917,0.669450014
201608,487223,32128,406173,0,100720,120016,2290430,3436690,0.141771006,0.00934853,0.118187267,0,0.029307269,0.034921974,0.666463952
201609,436113,28456,382187,0,69130,92294,2088698,3096878,0.140823436,0.009188609,0.123410415,0,0.022322481,0.029802272,0.674452788
201610,382890,25121,383285,0,59181,83080,2050238,2983795,0.128323159,0.008419144,0.128455541,0,0.019834137,0.027843736,0.687124283
201611,336921,18912,355732,0,34523,81792,1902075,2729955,0.12341632,0.006927587,0.13030691,0,0.012645996,0.029960933,0.696742254
201612,243709,18693,382547,0,28704,75481,1864856,2613990,0.093232568,0.007151137,0.146346007,0,0.010980914,0.02887578,0.713413594
201701,205150,13672,321312,0,24159,73761,1617917,2255971,0.090936453,0.006060362,0.142427363,0,0.010708914,0.032695899,0.71717101
201702,191725,13937,297231,0,20347,67266,1565653,2156159,0.088919695,0.006463809,0.137852079,0,0.009436688,0.031197143,0.726130587
201703,221119,15512,345752,0,16155,78381,1792880,2469799,0.089529148,0.006280673,0.139991959,0,0.006541018,0.031735781,0.725921421
201704,245354,26772,393706,0,42522,77758,2004518,2790630,0.087920649,0.009593533,0.141081405,0,0.01523742,0.027863959,0.718303036
201705,264268,25710,379302,234088,40754,89909,2141067,3175098,0.083231447,0.008097388,0.11946151,0.073726228,0.012835509,0.028316921,0.674330997
201706,290209,32167,408010,402904,47713,111467,2341321,3633791,0.079863977,0.008852188,0.112282187,0.110877043,0.013130364,0.030675127,0.644319115
201707,301605,40324,395200,524311,72608,121465,2410311,3865824,0.078018296,0.010430894,0.102229175,0.13562723,0.018782024,0.03142021,0.623492171
201708,350278,40503,418990,482821,72852,122473,2421129,3909046,0.089607029,0.010361352,0.10718472,0.123513768,0.018636772,0.031330662,0.619365697
201709,266641,27744,372389,461772,54957,94880,2161609,3439992,0.077512099,0.008065135,0.108252868,0.134236359,0.015975909,0.027581459,0.628376171
201710,270941,20429,424973,405101,43589,91589,2149262,3405884,0.07955086,0.005998149,0.124776123,0.118941514,0.012798146,0.026891403,0.631043805
201711,240516,17401,370451,251988,22409,86310,1968922,2957997,0.081310427,0.005882697,0.125237111,0.085188727,0.007575735,0.029178529,0.665626774
201712,196659,16679,357986,186047,19835,76971,1809056.118,2663233.118,0.073842203,0.006262689,0.134417824,0.069857572,0.007447715,0.028901338,0.67927066
201801,231689,10996,325463,157375,11895,60146,1651871.918,2449435.918,0.094588717,0.004489197,0.132872633,0.064249487,0.00485622,0.024555041,0.674388706
201802,222404,12463,308026,182170,12316,70231,1630639,2438249,0.091214638,0.005111455,0.126330822,0.074713452,0.005051166,0.028803867,0.6687746
201803,235981,16656,357734,299898,17029,74019,1874050,2875367,0.082069871,0.005792652,0.124413336,0.104299034,0.005922374,0.025742453,0.65176028
201804,257422,21684,399681,315837,23372,81497,1945219,3044712,0.084547241,0.007121856,0.131270544,0.103732964,0.00767626,0.026766735,0.6388844
201805,297807,31125,400843,430966,28566,96729,2227175,3513211,0.084767752,0.008859417,0.114095908,0.122670116,0.008131023,0.027532932,0.633942852
201806,313676,43770,418936,550403,35720,111516,2235280,3709301,0.08456472,0.011800067,0.112942034,0.148384561,0.009629847,0.030063885,0.602614886
201807,329026,49493,413639,682684,48283,127365,2386929,4037419,0.081494143,0.012258574,0.102451343,0.169089213,0.011958878,0.031546144,0.591201706
201808,337769,43259,417415,699580,40897,125751,2326807,3991478,0.084622538,0.01083784,0.10457655,0.175268409,0.010246079,0.031504871,0.582943712
201809,294124,33153,352160,592067,32999,98089,2086099,3488691,0.084307839,0.009502991,0.100943305,0.169710358,0.009458849,0.028116276,0.597960381
201810,317954,28705,456296,472343,21790,101545,2303129,3701762,0.08589261,0.007754415,0.123264543,0.127599505,0.005886386,0.027431531,0.622171009
201811,243997,21354,384667,298303,14199,90848,2046508,3099876,0.078711858,0.006888663,0.124091093,0.096230623,0.004580506,0.029306979,0.660190279
201812,202787,19666,385849,251413,14172,82654,2062120,3018661,0.067177798,0.006514809,0.127821243,0.083286265,0.004694797,0.027381014,0.683124074
201901,305913,15645,363044,239676,22251,88114,1810947,2845590,0.107504243,0.005497981,0.127581275,0.084227173,0.007819468,0.030965107,0.636404753
201902,282364,13746,321911,233258,24735,77195,1682703,2635912,0.107121937,0.005214893,0.122125094,0.088492332,0.009383849,0.029285879,0.638376016
201903,379688,17165,384950,303666,31906,89133,1975581,3182089,0.119320358,0.005394255,0.120973989,0.095429763,0.010026747,0.028010844,0.620844043
201904,369160,22483,460163,481800,65035,92716,2168185,3659542,0.100876011,0.006143665,0.125743331,0.131655819,0.01777135,0.025335411,0.592474413
201905,370900,27628,437194,600650,41109,107661,2297143,3882285,0.09553652,0.007116428,0.112612546,0.154715586,0.010588867,0.027731349,0.591698703
201906,613011,41009,433968,777736,45612,117483,2075825,4104644,0.149345717,0.009990879,0.1057261,0.18947709,0.011112291,0.028621971,0.505725953
201907,406742,43942,455021,859866,55636,143761,1953727,3918695,0.103795269,0.011213427,0.116115441,0.21942662,0.014197584,0.036685938,0.498565721
201908,399224,41521,447847,931433,62392,138891,1882526,3903834,0.102264594,0.010635954,0.114719786,0.238594418,0.015982237,0.035578101,0.48222491
201909,398892,33775,416536,726701,49584,110386,1765882,3501756,0.113911992,0.009645161,0.118950606,0.207524739,0.014159753,0.031523042,0.504284707
201910,397540,26874,473193,587410,37189,108178,1820229,3450613,0.115208515,0.007788181,0.137133025,0.170233521,0.010777505,0.031350372,0.52750888
201911,305701,19488,381333,364062,33654,91262,1575856,2771356,0.110307373,0.007031937,0.137597985,0.131366017,0.012143514,0.03293045,0.568622725
201912,199524,17516,379887,287188,32919,89406,1898952,2905392,0.068673694,0.006028791,0.130752408,0.098846558,0.011330313,0.03077244,0.653595797
202001,265559,17276,369667,314213,24458,98886,1676380,2766439,0.09599308,0.006244851,0.133625574,0.11358031,0.008840968,0.035744869,0.605970347
202002,277635,13439,331828,297888,24168,86730,1492892,2524580,0.109972748,0.005323262,0.131438893,0.117995072,0.009573078,0.034354229,0.591342718
202003,140062,8648,157276,202994,15051,41759,910479,1476269,0.094875663,0.005858011,0.106536139,0.13750475,0.010195296,0.02828685,0.61674329
202004,0,0,2620,43416,3268,1737,180630,231671,0,0,0.011309141,0.187403689,0.014106211,0.007497701,0.779683258
202005,0,0,3153,125030,3854,3708,270437,406182,0,0,0.00776253,0.307817678,0.009488357,0.009128913,0.665802522
202006,0,0,9882,250653,6554,11718,409293,688100,0,0,0.014361285,0.364268275,0.009524778,0.017029502,0.59481616
202007,0,1073,75255,402811,6926,21174,550742,1057981,0,0.001014196,0.071130767,0.380735571,0.006546431,0.020013592,0.520559443
202008,0,2903,148983,487837,6941,23998,593432,1264094,0,0.002296506,0.117857533,0.385918294,0.005490889,0.018984348,0.46945243
202009,0,4017,179124,451658,7089,24264,627094,1293246,0,0.003106138,0.138507291,0.349243686,0.005481556,0.018762092,0.484899238
202010,0,3226,195003,363400,6965,22100,651546,1242240,0,0.002596922,0.156976913,0.292536064,0.005606807,0.017790443,0.524492852
202011,0,1425,86027,228383,6241,17390,581324,920790,0,0.001547584,0.093427383,0.24802941,0.006777876,0.018885957,0.631331791
202012,0,1946,67425,145001,5961,13227,575963,809523,0,0.002403885,0.083289789,0.179119061,0.007363596,0.016339252,0.711484417
202101,0,1709,59392,148501,6141,12304,543019,771066,0,0.002216412,0.077025832,0.192591814,0.007964299,0.015957129,0.704244513
202102,0,1361,46958,120252,4966,11007,472526,657070,0,0.002071317,0.071465749,0.183012464,0.007557794,0.01675164,0.719141035
202103,0,0,86004,242713,6977,17189,648127,1001010,0,0,0.085917224,0.242468107,0.00696996,0.017171657,0.647473052
202104,0,3332,98431,269933,6509,20646,664162,1063013,0,0.003134487,0.092596234,0.253931984,0.006123161,0.019422152,0.624791983
202106,0,11278,382023,504102,6850,48748,891030,1844031,0,0.006115949,0.207167342,0.273369591,0.003714688,0.026435564,0.483196866
202107,0,15280,377712,513344,6226,58521,1002433,1973516,0,0.007742527,0.191390392,0.260116462,0.003154776,0.029653167,0.507942677
202108,0,13371,380699,549101,6642,52864,939638,1942315,0,0.006884053,0.196002708,0.282704402,0.003419631,0.027217007,0.4837722
202109,0,13321,428931,541631,6972,53764,947564,1992183,0,0.006686635,0.215307028,0.271878136,0.003499678,0.026987481,0.475641043
202110,0,11647,419385,448529,6954,47055,1007763,1941333,0,0.005999486,0.216029398,0.231041764,0.003582075,0.0242385,0.519108777
202111,0,8135,313358,310527,6697,48995,1020272,1707984,0,0.004762925,0.18346659,0.18180908,0.003920997,0.028685866,0.597354542
202112,0,4505,271848,253340,5938,40540,1049871,1626042,0,0.002770531,0.167183873,0.155801634,0.003651812,0.024931705,0.645660444
