yearmonth,BillyBey,Liberty Landing Ferry,NY Waterway,NYC Ferry,New York Water Taxi ,SeaStreak,Staten Island Ferry,Total,BillyBey Pct,Liberty Landing Ferry Pct,NY Waterway Pct,NYC Ferry Pct,New York Water Taxi Pct,SeaStreak Pct,Staten Island Ferry Pct
201301,348793,11081,321092,0,29756,56909,0,767631,0.454375865,0.014435321,0.418289517,0,0.038763416,0.07413588,0
201302,234264,8674,262219,0,23238,50787,1276640,1855822,0.126231934,0.00467394,0.14129534,0,0.012521675,0.02736631,0.687910802
201303,267196,11761,325211,0,51960,55251,1631047,2342426,0.114068064,0.005020863,0.138835122,0,0.022182131,0.023587085,0.696306735
201304,327442,15277,386063,0,60690,62484,1707987,2559943,0.127909879,0.005967711,0.150809217,0,0.023707559,0.024408356,0.667197277
201305,356595,19047,342397,0,73323,67991,1808760,2668113,0.133650636,0.007138753,0.128329272,0,0.02748122,0.025482804,0.677917315
201306,364005,23991,354417,0,94669,76517,1861459,2775058,0.131170231,0.008645225,0.127715168,0,0.034114242,0.027573117,0.670782016
201307,382173,25861,362078,0,105722,93558,1959736,2929128,0.130473301,0.008828907,0.123612898,0,0.036093336,0.031940564,0.669050994
201308,399909,31421,360658,0,114824,88075,1951930,2946817,0.1357088,0.010662691,0.122389005,0,0.038965433,0.029888181,0.66238589
201309,377178,19131,326943,0,99865,71455,1797530,2692102,0.14010539,0.007106343,0.12144525,0,0.037095548,0.026542456,0.667705013
201310,369278,18153,365086,0,80390,71349,1876540,2780796,0.132795789,0.006527987,0.131288307,0,0.028908989,0.025657761,0.674821166
201311,260414,14191,309128,0,48058,60269,1549614,2241674,0.116169434,0.006330537,0.137900515,0,0.021438443,0.026885711,0.691275359
201312,236840,11516,327323,0,52518,60939,1596699,2285835,0.103612028,0.005037984,0.14319625,0,0.022975412,0.026659405,0.698518922
201401,226972,9484,302021,0,26932,51992,1392005,2009406,0.112954774,0.004719803,0.150303622,0,0.013402966,0.025874313,0.692744523
201402,206889,9862,265733,0,28074,51199,1382093,1943850,0.106432595,0.005073437,0.136704478,0,0.014442472,0.026338966,0.711008051
201403,256732,14092,325289,0,40089,59878,1704410,2400490,0.106949831,0.005870468,0.135509417,0,0.01670034,0.024944074,0.71002587
201404,320007,18581,365402,0,64389,64888,1894570,2727837,0.117311628,0.006811624,0.133953018,0,0.023604416,0.023787345,0.694531968
201405,360535,22386,345150,0,67416.185,73111,1947808,2816406.185,0.12801243,0.007948427,0.122549795,0,0.023936954,0.025958969,0.691593425
201406,381259,26748,367999,0,69592,88604,1951515,2885717,0.132119331,0.0092691,0.127524286,0,0.024116017,0.030704328,0.676266938
