yearmonth,STG,WHT
201201,710133,786048
201202,764733,807976
201203,880823,935752
201204,912858,979372
201205,915327,1032326
201206,920841,1028153
201207,988052,1113278
201208,1008635,1137180
201209,888913,990547
201210,854469,923062
201211,0,0
201212,0,0
201301,0,0
201302,640761,635879
201303,816816,814231
201304,862388,845599
201305,913491,895269
201306,914764,946695
201307,967049,992687
201308,961385,990545
201309,892543,904987
201310,944326,932214
201311,761116,788498
201312,789075,807624
201401,688697,703308
201402,697492,684601
201403,847713,856697
201404,935499,959071
201405,955365,992443
201406,944235,1007280
201407,1037367,1102566
201408,1018855,1073464
201409,948118,981931
201410,1008538,1019662
201411,843705,917288
201412,883244,909030
201501,703048,672680
201502,678411,686119
201503,845710,835998
201504,947071,902634
201505,1013444,818513
201506,1026693,1076654
201507,1146997,1156508
201508,1129667,1115989
201509,1011938,1016250
201510,988879,987011
201511,843705,917288
201512,876471,927112
201601,711035,761782
201602,733831,755748.7143
201603,941570,972282.1478
201604,905890,964981.7685
201605,997720,1024265
201606,1028826,1090336
201607,1068763,1139529
201609,1000272,1088426
201610,985390,1064848
201611,878199,1023876
201612,880598,984258
201701,772417,845500
201702,739030,826623
201703,848072,944808
201704,941552,1062966
201705,1000646,1140421
201706,1125302,1216019
201707,1173070,1237241
201708,1188743,1232386
201709,1034707,1126902
201710,986191,1163071
201711,928799,1040123
201712,834976.1184,974080
201801,777125,874746.9176
201802,757176,873463
201803,878827,995223
201804,898118,1047101
201805,1014012,1213163
201806,1035701,1199579
201807,1117799,1269130
201808,1112603,1214204
201809,986667,1099432
201810,1135430,1167699
201811,988653,1057855
201812,1010393,1051727
201901,891945,919002
201902,841029,841674
201903,984324,991257
201904,1078375,1089810
201905,1130481,1166662
201906,1018358,1057467
201907,964794,988933
201908,961443,921083
201909,892946,872936
201910,923814,896415
201911,791028,784828
201912,896791,1002161
202001,805506,870874
202002,738678,754214
202003,448604,461875
202004,99286,81344
202005,132061,138376
202006,197424,211869
202007,266798,283944
202008,289282,304150
202009,309991,317103
202010,322173,329373
202011,288391,292933
202012,285811,290152
202101,269638,273381
202102,234719,237807
202103,323145,324982
202104,330408,333754
202105,375421,381919
202106,441364,449666
202107,496644,505789
202108,469654,469984
202109,468349,479215
202110,501674,506089
202111,490182,510136
202112,522150,527721
