YearMonth,Green Taxi,Yellow Taxi,For-Hire Vehicle,Unique Drivers,Unique Vehicles
2010-01,0,14860656,0,30659,13305
2010-02,0,11143132,0,28255,12171
2010-03,0,12882577,0,28709,12183
2010-04,0,15143940,0,30827,13326
2010-05,0,15480594,0,30950,13309
2010-06,0,14824110,0,30812,13305
2010-07,0,14655312,0,30562,13307
2010-08,0,12527565,0,28574,12206
2010-09,0,15539160,0,28989,12221
2010-10,0,14197876,0,29128,12268
2010-11,0,13911030,0,29348,12347
2010-12,0,13817537,0,29414,12491
2011-01,0,13463207,0,29682,12798
2011-02,0,14200676,0,30359,13253
2011-03,0,16064572,0,30960,13288
2011-04,0,14717310,0,31022,13302
2011-05,0,15552948,0,31259,13291
2011-06,0,15094560,0,31094,13285
2011-07,0,14739725,0,30683,13270
2011-08,0,13259940,0,30144,13295
2011-09,0,14624100,0,30917,13313
2011-10,0,15702492,0,31341,13322
2011-11,0,14523660,0,31022,13319
2011-12,0,14923710,0,31196,13323
2012-01,0,14967141,0,30944,13317
2012-02,0,14980965,0,30803,13317
2012-03,0,16143684,0,31401,13320
2012-04,0,15475440,0,31579,13319
2012-05,0,15565007,0,31723,13325
2012-06,0,15094170,0,31561,13332
2012-07,0,14377304,0,31174,13320
2012-08,0,14379071,0,30777,13318
2012-09,0,14543490,0,31698,13322
2012-10,0,14519687,0,32104,13328
2012-11,0,13773420,0,31701,13324
2012-12,0,14694155,0,32257,13346
2013-01,0,14772864,0,32213,13344
2013-02,0,13987568,0,32052,13338
2013-03,0,15745334,0,32965,13334
2013-04,0,15097470,0,33084,13343
2013-05,0,15281822,0,33267,13334
2013-06,0,14374440,0,33452,13341
2013-07,0,13821691,0,32748,13327
2013-08,8773,12593626,0,32517,13432
2013-09,48960,14104410,0,33770,13785
2013-10,169787,15001551,0,34678,14462
2013-11,380760,14385810,0,35351,15090
2013-12,602485,13969654,0,36652,16092
2014-01,803613,13780647,0,37339,17184
2014-02,1005060,13062616,0,37719,17583
2014-03,1293258,15427491,0,38849,18008
2014-04,1308750,14618250,0,38980,18335
2014-05,1421443,14773639,0,39196,18538
2014-06,1337700,13811790,0,38905,18720
2014-07,1273914,13105901,0,37695,18763
2014-08,1344811,12688455,0,37678,18758
2014-09,1361820,13373460,0,38502,18849
2014-10,1491100,14231697,0,38579,19012
2014-11,1548000,13217280,0,38882,19200
2014-12,1645418,13013056,0,38981,19454
2015-01,1508429,12748378,2720746,59457,39836
2015-02,1574776,12449724,3053148,59933,40757
2015-03,1722577,13350739,3245421,62012,42054
2015-04,1664190,13071030,3874500,69770,49592
2015-05,1786747,13158229,4232027,71841,47274
2015-06,1638840,12324930,4240500,71034,51666
2015-07,1541630,11562349,4384733,70373,53026
2015-08,1532299,11129899,5261351,76672,58160
2015-09,1494900,11224680,6582780,84666,65612
2015-10,1630538,12314564,8585326,95844,76038
2015-11,1529970,11312280,8318430,97134,77154
2015-12,1608280,11460266,8888754,98319,78856
2016-01,1445251,10906296,8510709,101265,82597
2016-02,1510697,11381630,9427784,98431,79972
2016-03,1576350,12210466,9613317,95916,77269
2016-04,1543740,11933400,10138140,100743,80730
2016-05,1536763,11838218,10739454,106324,82656
2016-06,1404510,11137710,10768560,103214,83862
2016-07,1332349,10299161,10977317,101746,82692
2016-08,1247471,9942258,11224852,105841,87140
2016-09,1162230,10119630,11759580,107933,88684
2016-10,1252555,10861780,12657889,109921,90517
2016-11,1148160,10102110,12436950,109782,90583
2016-12,1224128,10449201,13858705,111646,92663
2017-01,1069407,9710099,13657298,113117,95162
2017-02,1022252,9168628,13284880,114185,96460
2017-03,1157571,10294325,15703050,115935,97371
2017-04,1080720,10045950,14764800,117756,99234
2017-05,1059394,10101567,15397359,120417,102406
2017-06,976320,9656310,15060210,121332,104780
2017-07,914593,8588302,15403714,121756,105767
2017-08,867256,8421956,15673352,120716,105719
2017-09,882270,8944890,16413750,123271,107529
2017-10,925598,9767604,17695978,125456,108796
2017-11,874080,9284130,17862270,124664,108528
2017-12,905913,9507886,19739994,127066,110996
2018-01,792484,8759515,19711040,126829,111564
2018-02,768908,8491840,19124028,125270,110914
2018-03,835977,9429239,21780848,125820,110714
2018-04,799260,9305070,20802030,126749,111887
2018-05,796483,9222748,21588090,127307,113139
2018-06,738300,8710860,21075480,127520,113848
2018-07,683488,7848766,21449861,125550,111852
2018-08,665508,7848642,21867958,125223,112338
2018-09,665790,8039490,21561750,126948,112871
2018-10,709559,8807751,23164874,132062,117133
2018-11,655740,8145030,22799910,132628,118076
2018-12,684573,8171879,23847556,133693,120076
2019-01,630137,7666765,23041153,130008,116980
2019-02,573468,7018312,21858200,127707,116368
2019-03,598858,7831654,25175689,127752,115963
2019-04,512400,7432260,23624340,129549,117859
2019-05,503688,7564527,24300497,129191,117905
2019-06,470700,6940050,22814490,127720,116547
2019-07,433039,6275733,22063568,125855,115091
2019-08,398846,6038738,21782522,122692,112751
2019-09,389550,6532410,21088320,119912,108162
2019-10,386570,7166301,22966040,125768,113770
2019-11,362040,6829620,23270640,123534,111786
2019-12,359538,6844366,24085481,124763,113361
