Year,JFK Dom.,JFK Int.,EWR Dom.,EWR Int.,LGA Dom.,LGA Int.,Total,JFK Dom. Pct,JFK Int. Pct,EWR Dom. Pct,EWR Int. Pct,LGA Dom. Pct,LGA Int. Pct
2007,356116,1299011,698768,254788,9375,220,2618278,0.136011531,0.496131809,0.266880751,0.097311286,0.003580598,8.40E-05
2008,311921,1162899,624720,243601,8717,177,2352035,0.132617499,0.494422489,0.265608292,0.103570313,0.003706152,7.53E-05
2009,240487,921194,542058,219862,6497,215,1930313,0.124584459,0.477225196,0.280813526,0.113899663,0.003365775,0.000111381
2010,253935,1139861,569702,291268,7332,184,2262282,0.11224728,0.503854515,0.251826253,0.128749643,0.003240975,8.13E-05
2011,251606,1131343,536172,276169,7254,136,2202680,0.114227214,0.513621134,0.243418018,0.12537863,0.003293261,6.17E-05
2012,254228,1064990,494900,247998,6819,190,2069125,0.122867396,0.514705491,0.23918323,0.119856461,0.003295596,9.18E-05
2013,258062,1062973,418796,244359,6592,128,1990910,0.129620123,0.533913135,0.210354059,0.122737341,0.003311049,6.43E-05
2014,242833,1100222,413711,252867,7084,56,2016773,0.120406709,0.545535863,0.205135134,0.125381984,0.003512542,2.78E-05
2015,235007,1097054,449962,255252,7672,49,2044996,0.114918073,0.536457773,0.220030748,0.124817848,0.003751597,2.40E-05
2016,240980,1074377,486243,260528,7529,55,2069712,0.116431658,0.519094927,0.234932686,0.12587645,0.003637704,2.66E-05
2017,239415,1155093,533621,288968,6818,60,2223975,0.10765184,0.519382187,0.239940197,0.129933115,0.003065682,2.70E-05
2018,267483,1154677,542402,305759,5924,72,2276317,0.11750692,0.507256678,0.238280521,0.134321801,0.002602449,3.16E-05
2019,282471,1055944,538833,286432,6327,49,2170056,0.130167609,0.486597581,0.24830373,0.131992907,0.002915593,2.26E-05
2020,355870,796731,503899,191445,5825,1,1853771,0.191970853,0.429789332,0.271823758,0.103273274,0.003142244,5.39E-07
2021,478938,1053404,530645,260716,6146,0,2329849,0.205566112,0.452134022,0.227759396,0.111902531,0.002637939,0
