Year,EWR_Domestic,EWR_International,JFK_Domestic,JFK_International,LGA_Domestic,LGA_International
2015,25691410,11805317,26806854,30077876,26684923,1752745
2016,28218424,12344869,27324138,31779334,27996855,1790006
2017,30330568,12888553,26961081,32527901,27474292,2087936
2018,31730735,14128785,25117337,33518898,27857697,2224430
2019,32004140,14332312,28233791,34317281,28875041,2209853
2020,12121093,3771799,8267666,8362976,7853368,391824
2021,15020101,4385476,11880002,8719894,9323457,112094
