Year,JFK Dom.,JFK Int.,EWR Dom.,EWR Int.,LGA Dom.,LGA Int.,Total,JFK Dom. Pct,JFK Int. Pct,EWR Dom. Pct,EWR Int. Pct,LGA Dom. Pct,LGA Int. Pct
2007,26173691,21544125,25614110,10753100,23799365,1226902,109111293,0.239880679,0.197450918,0.234752144,0.098551669,0.21812009,0.011244501
2008,25204068,22599048,24222192,11138544,21941392,1131664,106236908,0.237243991,0.212723134,0.228001666,0.104846274,0.206532668,0.010652268
2009,24021233,21856709,22542675,10817448,21143013,1010223,101391301,0.236916114,0.215567892,0.222333423,0.1066901,0.208528866,0.009963606
2010,23398451,23116609,21716886,11477304,22948347,1032967,103690564,0.225656512,0.222938405,0.209439366,0.110688028,0.221315673,0.009962015
2011,23758513,23884964,22189669,11507823,23086756,1035722,105463447,0.225277228,0.226476231,0.210401515,0.109116697,0.218907656,0.009820673
2012,24216731,25057093,22836091,11147344,24274029,1433755,108965043,0.222243119,0.229955335,0.209572633,0.10230202,0.222768957,0.013157935
2013,23909175,26542647,23715659,11299399,24944227,1727528,112138635,0.213210862,0.236694936,0.211485176,0.100762766,0.222440972,0.015405288
2014,25021432,28198994,23762627,11781130,25157202,1814893,115736278,0.216193508,0.243648703,0.205317014,0.101792888,0.217366607,0.01568128
2015,26806854,30077876,25691410,11805317,26684923,1752745,122819125,0.218262864,0.244895703,0.209180858,0.096119534,0.217270095,0.014270945
2016,27324138,31779334,28218424,12344869,27996855,1790006,129453626,0.21107279,0.245488172,0.217980947,0.095361323,0.216269377,0.013827392
2017,26961081,32527901,30330568,12888553,27474292,2087936,132270331,0.203833171,0.245919858,0.229307417,0.097440998,0.207713187,0.015785369
2018,28117337,33518898,31730735,14128785,27857697,2224430,137577882,0.204373963,0.243635805,0.230638345,0.102696631,0.202486741,0.016168515
2019,28233791,34317281,32004140,14332312,28875041,2209853,139972418,0.201709675,0.245171738,0.228646047,0.10239383,0.206290935,0.015787775
2020,8267666,8362976,12121093,3771799,7853368,391824,40768726,0.202794318,0.20513214,0.297313509,0.09251697,0.192632166,0.009610896
2021,16667556,14076314,21628975,7509014,15241959,284753,75408571,0.221029994,0.186667295,0.286823828,0.099577726,0.202125021,0.003776136
