Year,Domestic_Freight,International_Freight
2007,1082384,1554326
2008,962975,1406782
2009,799745,1141324
2010,843903,1431313
2011,811377,1407661
2012,774842,1313381
2013,700393,1308008
2014,679116,1353169
2015,707657,1352483
2016,753926,1334961
2017,800548,1444261
2018,838227,1460898
2019,851209,1342454
2020,889740,988177
