id,name,latitude,longitude,domain,site,timezone,interval,counter
0,Manhattan Bridge 2012 Test Bike Counter,40.69981,-73.98589,New York City DOT,100005020,(UTC-05:00) US/Eastern;DST,15,
1,2nd Avenue - 26th St S,40.73971,-73.97954,New York City DOT,100009424,(UTC-05:00) US/Eastern;DST,15,
2,Prospect Park West,40.671288,-73.971382,New York City DOT,100009425,(UTC-05:00) US/Eastern;DST,15,Y2H13094304
3,Manhattan Bridge Ped Path,40.714573,-73.99495,New York City DOT,100009426,(UTC-05:00) US/Eastern;DST,15,Y2H13074107
4,Williamsburg Bridge Bike Path,40.71053,-73.96145,New York City DOT,100009427,(UTC-05:00) US/Eastern;DST,15,Y2H13074108
5,Ed Koch Queensboro Bridge Shared Path,40.751038,-73.94082,New York City DOT,100009428,(UTC-05:00) US/Eastern;DST,15,Y2H19111445
6,Manhattan Bridge 2013 to 2018 Bike Counter,40.699768,-73.98582,New York City DOT,100009429,(UTC-05:00) US/Eastern;DST,15,
7,Staten Island Ferry,40.643387,-74.072075,New York City DOT,100010017,(UTC-05:00) US/Eastern;DST,15,Y2H13094300
8,Pulaski Bridge,40.742563,-73.951492,New York City DOT,100010018,(UTC-05:00) US/Eastern;DST,15,Y2H13094301
9,Kent Ave btw North 8th St and North 9th St,40.720959,-73.96093,New York City DOT,100010019,(UTC-05:00) US/Eastern;DST,15,Y2H13094302
10,1st Avenue - 26th St N - Interference testing,40.73883,-73.977165,New York City DOT,100010020,(UTC-05:00) US/Eastern;DST,15,Y2H18044984
11,Brooklyn Bridge Bike Path,40.709274,-74.00099,New York City DOT,100010022,(UTC-05:00) US/Eastern;DST,15,Y2H13074106
12,Forsyth Plaza,40.715623,-73.994744,New York City DOT,100039064,(UTC-05:00) US/Eastern;DST,15,
13,Manhattan Bridge Display Bike Counter,40.7156,-73.99475,New York City DOT,100047029,(UTC-05:00) US/Eastern;DST,15,Y2H17062567
14,Manhattan Bridge Interference Calibration 2018 Bike Counter,0,0,New York City DOT,100048744,(UTC-05:00) US/Eastern;DST,15,
15,Manhattan Bridge 2012 to 2019 Bike Counter,40.69981,-73.98589,New York City DOT,100051865,(UTC-05:00) US/Eastern;DST,15,
16,Manhattan Bridge Interference Calibration 2019 Bike Counter,0,0,New York City DOT,100055175,(UTC-05:00) US/Eastern;DST,15,Y2H13074105
17,8th Ave at 50th St.,40.762348,-73.98612,New York City DOT,100057316,(UTC-05:00) US/Eastern;DST,15,Y2H18055363
18,Broadway at 50th St,40.76138,-73.98408,New York City DOT,100057318,(UTC-05:00) US/Eastern;DST,15,Y2H18055362
19,Amsterdam Ave at 86th St.,40.787745,-73.975021,New York City DOT,100057319,(UTC-05:00) US/Eastern;DST,15,Y2H18055357
20,Columbus Ave at 86th St.,40.787745,-73.975021,New York City DOT,100057320,(UTC-05:00) US/Eastern;DST,15,Y2H18055356
21,Kent Ave btw South 6th St. and Broadway,40.711282,-73.968386,New York City DOT,100058279,(UTC-05:00) US/Eastern;DST,15,
22,Manhattan Bridge Bike Comprehensive,40.7156,-73.99475,New York City DOT,100062893,(UTC-05:00) US/Eastern;DST,15,Y2H17062567
23,Brooklyn Bridge Bicycle Path (Roadway),40.712656,-74.004464,New York City DOT,300020241,(UTC-05:00) US/Eastern;DST,15,Y2H18055360
24,Test,40.707381,-73.998845,New York City DOT,300020692,(UTC-05:00) US/Eastern;DST,0,
25,Comprehensive Brooklyn Bridge Counter,40.711644,-74.004109,New York City DOT,300020904,(UTC-05:00) US/Eastern;DST,15,
