PWGTP,STPUMA,POWSPPUMA,RES,POW,TM,TT
25,03603203,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
12,03603311,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
53,03603313,03603800,Long Island,Manhattan,Carpool,30 to 59 Mins
13,03602802,03603800,Mid Hudson Valley,Manhattan,Rail,90 Mins or More
48,03603104,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
24,03603106,03603800,Lower Hudson Valley,Manhattan,Subway,60 to 89 Mins
25,03603208,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
36,03603107,03603700,Lower Hudson Valley,Bronx,Other,Less than 30 Mins
12,03603201,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
10,03602902,03604100,Mid Hudson Valley,Queens,Drive Alone,Less than 30 Mins
3,03603104,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
14,03603102,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
9,03603204,03604000,Long Island,Brooklyn,Drive Alone,60 to 89 Mins
22,03603202,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
27,03603204,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
21,03603310,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
14,03603105,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
13,03603105,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
38,03603106,03603700,Lower Hudson Valley,Bronx,Bus,30 to 59 Mins
15,03603309,03604100,Long Island,Queens,Carpool,30 to 59 Mins
16,03603206,03603800,Long Island,Manhattan,Drive Alone,30 to 59 Mins
15,03603102,03603700,Lower Hudson Valley,Bronx,Drive Alone,Less than 30 Mins
34,03603313,03603800,Long Island,Manhattan,Drive Alone,Less than 30 Mins
82,03603301,03603800,Long Island,Manhattan,Drive Alone,90 Mins or More
76,03603210,03604100,Long Island,Queens,Rail,30 to 59 Mins
14,03603202,03604000,Long Island,Brooklyn,Rail,60 to 89 Mins
13,03603202,03603800,Long Island,Manhattan,Rail,90 Mins or More
26,03603202,03604100,Long Island,Queens,Drive Alone,90 Mins or More
13,03603107,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
20,03603106,03603800,Lower Hudson Valley,Manhattan,Drive Alone,30 to 59 Mins
14,03603209,03604100,Long Island,Queens,Rail,60 to 89 Mins
27,03603211,03603700,Long Island,Bronx,Carpool,Less than 30 Mins
5,03603301,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
