PWGTP,RES,POW
25,Long Island,Queens
12,Long Island,Queens
53,Long Island,Manhattan
13,Mid-Hudson,Manhattan
48,Mid-Hudson,Manhattan
24,Mid-Hudson,Manhattan
25,Long Island,Queens
36,Mid-Hudson,Bronx
12,Long Island,Manhattan
10,Mid-Hudson,Queens
3,Mid-Hudson,Manhattan
14,Mid-Hudson,Manhattan
9,Long Island,Brooklyn
5,New York Other,Brooklyn
6,New York Other,Brooklyn
22,Long Island,Queens
27,Long Island,Queens
21,Long Island,Queens
14,Mid-Hudson,Manhattan
13,Mid-Hudson,Manhattan
38,Mid-Hudson,Bronx
15,Long Island,Queens
16,Long Island,Manhattan
15,Mid-Hudson,Bronx
34,Long Island,Manhattan
82,Long Island,Manhattan
76,Long Island,Queens
10,New York Other,Manhattan
14,Long Island,Brooklyn
13,Long Island,Manhattan
26,Long Island,Queens
13,Mid-Hudson,Manhattan
20,Mid-Hudson,Manhattan
14,Long Island,Queens
27,Long Island,Bronx
5,Long Island,Queens
25,Mid-Hudson,Manhattan
34,Mid-Hudson,Bronx
30,Mid-Hudson,Manhattan
12,Long Island,Manhattan
42,Mid-Hudson,Manhattan
5,Long Island,Manhattan
24,Long Island,Manhattan
24,Long Island,Manhattan
31,Mid-Hudson,Bronx
16,Long Island,Queens
18,Mid-Hudson,Manhattan
19,Long Island,Manhattan
14,Mid-Hudson,Brooklyn
13,Mid-Hudson,Manhattan
19,Mid-Hudson,Manhattan
16,Long Island,Manhattan
17,Mid-Hudson,Bronx
22,Long Island,Manhattan
14,Mid-Hudson,Manhattan
19,Mid-Hudson,Manhattan
23,Long Island,Manhattan
23,Long Island,Queens
43,Long Island,Manhattan
17,Long Island,Brooklyn
47,Long Island,Manhattan
13,Mid-Hudson,Manhattan
19,Mid-Hudson,Manhattan
42,Long Island,Queens
31,Long Island,Manhattan
11,Long Island,Manhattan
18,Long Island,Queens
42,Long Island,Queens
57,Long Island,Queens
9,Long Island,Manhattan
13,Mid-Hudson,Bronx
13,Long Island,Manhattan
17,Long Island,Queens
20,Mid-Hudson,Manhattan
33,Long Island,Brooklyn
9,Mid-Hudson,Manhattan
13,Long Island,Queens
13,Long Island,Manhattan
16,Long Island,Manhattan
16,Mid-Hudson,Manhattan
10,Mid-Hudson,Bronx
21,Long Island,Queens
8,New York Other,Manhattan
15,Long Island,Manhattan
23,Mid-Hudson,Manhattan
23,Mid-Hudson,Manhattan
36,Mid-Hudson,Manhattan
35,Mid-Hudson,Manhattan
8,Mid-Hudson,Manhattan
8,Mid-Hudson,Manhattan
17,Long Island,Manhattan
17,Mid-Hudson,Manhattan
29,Long Island,Brooklyn
20,Long Island,Manhattan
24,Long Island,Queens
10,Mid-Hudson,Manhattan
12,Mid-Hudson,Queens
12,Mid-Hudson,Manhattan
39,Mid-Hudson,Brooklyn
15,Mid-Hudson,Manhattan
6,Long Island,Manhattan
14,Mid-Hudson,Manhattan
14,Long Island,Manhattan
9,Long Island,Brooklyn
12,Long Island,Brooklyn
5,Long Island,Manhattan
13,Long Island,Queens
24,Long Island,Manhattan
45,Long Island,Manhattan
65,Long Island,Manhattan
30,Long Island,Queens
13,Long Island,Queens
12,Long Island,Queens
38,Long Island,Queens
13,Long Island,Manhattan
13,Mid-Hudson,Bronx
14,Long Island,Manhattan
14,Mid-Hudson,Manhattan
10,Long Island,Bronx
14,Long Island,Queens
2,New York Other,Manhattan
7,Long Island,Queens
11,Mid-Hudson,Manhattan
27,Long Island,Manhattan
33,Long Island,Queens
8,Mid-Hudson,Bronx
22,Long Island,Manhattan
22,Long Island,Manhattan
22,Mid-Hudson,Manhattan
10,Long Island,Brooklyn
25,Long Island,Manhattan
36,Long Island,Queens
27,Long Island,Queens
9,Mid-Hudson,Bronx
38,Long Island,Queens
9,Mid-Hudson,Manhattan
17,Mid-Hudson,Manhattan
12,Long Island,Brooklyn
12,Long Island,Queens
10,Long Island,Queens
11,Mid-Hudson,Manhattan
14,Mid-Hudson,Manhattan
52,Mid-Hudson,Manhattan
9,Long Island,Manhattan
7,Long Island,Manhattan
19,Mid-Hudson,Manhattan
