YearMonth,PedCounts
201801,285373
201802,315708
201803,366471
201804,384564
201805,401856
201806,421676
201807,417580
201808,420134
201809,394190
201810,402759
201811,378454
201812,360747
201901,299981
201902,308486
201903,366957
201904,375224
201905,375454
201906,394682
201907,403714
201908,404181
201909,377813
201910,366695
201911,337864
201912,342074
202001,303338
202002,331026
202003,169559
202004,33320
202005,43630
202006,45563
202007,68801
202008,87219
202009,105852
202010,107598
202011,106762
202012,105030
202101,89856
202102,88686
202103,111005
202104,133778
202105,148621
202106,169543
202107,211931
202108,209282
202109,218829
202110,227180
202111,232941
202112,244194
