Year,May AM,May PM,May Sat,Sept AM,Sept PM,Sept Sat
2007,109414,198017,170572.5,118230,214935,188870
2008,109776,221643.6667,176093,115237,212169.6667,173649.5
2009,103299,196018,158522.5,118070,215922,164541
2010,114833.5,213947.3333,174899.5,114934.5,212168.6667,164793
2011,112251.5,226692.3333,181039.5,122829.5,210990.3333,176781.5
2012,111173.5,211765,179534,123579,220190,192918.5
2013,118617.5,225494,199985.5,125130.5,222446,191673.5
2014,123139.5,226548.3333,190648.5,124291.5,216180.6667,166866
2015,125543,229248.6667,209113,124802.5,223088.3333,168611.5
2016,126477,237434.3333,191625,125577,224115.6667,185477
2017,126663.5,231309.6667,183557.5,129469,222438.3333,183065.5
