month,borough,average_speed
20-Jan,Bronx,8.460185845
20-Jan,Brooklyn,8.687084573
20-Jan,Manhattan,6.433445031
20-Jan,Queens,12.04824907
20-Jan,Staten Island,14.71764219
20-Feb,Bronx,8.443969865
20-Feb,Brooklyn,8.585348252
20-Feb,Manhattan,6.356608436
20-Feb,Queens,12.0224763
20-Feb,Staten Island,14.65658002
20-Mar,Bronx,8.988183527
20-Mar,Brooklyn,9.020710776
20-Mar,Manhattan,6.860523212
20-Mar,Queens,12.48771323
20-Mar,Staten Island,15.41640405
20-Apr,Bronx,10.13786944
20-Apr,Brooklyn,10.33574496
20-Apr,Manhattan,7.974679369
20-Apr,Queens,13.4584149
10-Apr,Staten Island,16.82495358
20-May,Bronx,9.736401725
20-May,Brooklyn,9.526079223
20-May,Manhattan,7.777779532
20-May,Queens,13.45300731
20-May,Staten Island,16.23143692
20-Jun,Bronx,9.035724504
20-Jun,Brooklyn,8.972415205
20-Jun,Manhattan,7.074845058
20-Jun,Queens,12.6814055
20-Jun,Staten Island ,15.71796821
20-Jul,Bronx,8.790194099
20-Jul,Brooklyn,8.91581371
20-Jul,Manhattan,6.804191521
20-Jul,Queens,12.53585443
20-Jul,Staten Island,15.20586562
20-Aug,Bronx,8.740520113
20-Aug,Brooklyn,8.838620187
20-Aug,Manhattan,6.832462716
20-Aug,Queens,12.4828831
20-Aug,Staten Island,15.10010631
20-Sep,Bronx,8.663662955
20-Sep,Brooklyn,8.776999036
20-Sep,Manhattan,6.818775752
20-Sep,Queens,12.48515647
20-Sep,Staten Island,14.99782903
20-Oct,Bronx,8.727047136
20-Oct,Brooklyn,8.804435307
20-Oct,Manhattan,6.777217187
20-Oct,Queens,12.52827045
20-Oct,Staten Island,14.90300058
20-Nov,Bronx,8.760109259
20-Nov,Brooklyn,8.826376575
20-Nov,Manhattan,6.836492953
20-Nov,Queens,12.57285957
20-Nov,Staten Island,15.20910225
20-Dec,Bronx,8.783358421
20-Dec,Brooklyn,8.718556938
20-Dec,Manhattan,6.819435093
20-Dec,Queens,12.60800689
20-Dec,Staten Island,15.15843999
21-Jan,Bronx,9.04314409
21-Jan,Brooklyn,9.099113114
10-Jan,Manhattan,6.950677402
21-Jan,Queens,12.54734115
21-Jan,Staten Island,15.52280504
21-Feb,Bronx,8.616095789
21-Feb,Brooklyn,8.509477424
21-Feb,Manhattan,6.745657687
21-Feb,Queens,12.04882516
21-Feb,Staten Island,13.46614942
21-Mar,Bronx,8.625202106
21-Mar,Brooklyn,8.810529275
21-Mar,Manhattan,6.844352398
21-Mar,Queens,12.28189796
21-Mar,Staten Island,15.18997483
21-Apr,Bronx,8.608922408
21-Apr,Brooklyn,8.703743294
21-Apr,Manhattan,6.732980565
21-Apr,Queens,12.20789855
21-Apr,Staten Island,15.17022116
21-May,Bronx,8.525487149
21-May,Brooklyn,8.677521062
21-May,Manhattan,6.642381142
21-May,Queens,12.02547326
21-May,Staten Island,14.93588533
21-Jun,Bronx,8.541729625
21-Jun,Brooklyn,8.630380247
21-Jun,Manhattan,6.606257309
21-Jun,Queens,11.91319153
21-Jun,Staten Island,14.63337627
21-Jul,Bronx,8.455790699
21-Jul,Brooklyn,8.749057801
21-Jul,Manhattan,6.971292072
21-Jul,Queens,11.9893949
21-Jul,Staten Island,15.10194427
21-Aug,Bronx,8.556695221
21-Aug,Brooklyn,8.70113005
21-Aug,Manhattan,6.80457652
21-Aug,Queens,11.98410534
21-Aug,Staten Island,15.16961968
21-Sep,Bronx,8.170235738
21-Sep,Brooklyn,8.527837995
21-Sep,Manhattan,6.44018288
21-Sep,Queens,11.56233933
21-Sep,Staten Island,14.26862783
21-Oct,Bronx,8.108234519
21-Oct,Brooklyn,8.20404184
21-Oct,Manhattan,6.412655888
21-Oct,Queens,11.56363166
21-Oct,Staten Island,14.20687008
21-Nov,Bronx,8.184787183
21-Nov,Brooklyn,8.28135475
21-Nov,Manhattan,6.489863596
21-Nov,Queens,11.71849028
21-Nov,Staten Island,14.44876026
