"Date","Bus","Bus7DayAverage"
2020-03-01,984900,NA
2020-03-02,2209100,NA
2020-03-03,2228600,NA
2020-03-04,2177200,NA
2020-03-05,2244500,NA
2020-03-06,2066700,NA
2020-03-07,1249100,1880014.28571429
2020-03-08,957200,1876057.14285714
2020-03-09,2124800,1864014.28571429
2020-03-10,2112000,1847357.14285714
2020-03-11,2113000,1838185.71428571
2020-03-12,1938400,1794457.14285714
2020-03-13,1715700,1744314.28571429
2020-03-14,993300,1707771.42857143
2020-03-15,711600,1672685.71428571
2020-03-16,1237300,1545900
2020-03-17,1094900,1400600
2020-03-18,1059500,1250100
2020-03-19,933600,1106557.14285714
2020-03-20,868600,985542.857142857
2020-03-21,564900,924342.857142857
2020-03-22,378900,876814.285714286
2020-03-23,578200,782657.142857143
2020-03-24,657800,720214.285714286
2020-03-25,618000,657142.857142857
2020-03-26,646100,616071.428571429
2020-03-27,641800,583671.428571429
2020-03-28,403700,560642.857142857
2020-03-29,306800,550342.857142857
2020-03-30,563900,548300
2020-03-31,514300,527800
2020-04-01,495400,510285.714285714
2020-04-02,472700,485514.285714286
2020-04-03,483800,462942.857142857
2020-04-04,383400,460042.857142857
2020-04-05,299600,459014.285714286
2020-04-06,454900,443442.857142857
2020-04-07,441000,432971.428571429
2020-04-08,431700,423871.428571429
2020-04-09,401900,413757.142857143
2020-04-10,414100,403800
2020-04-11,378200,403057.142857143
2020-04-12,279100,400128.571428571
2020-04-13,347800,384828.571428571
2020-04-14,470900,389100
2020-04-15,454100,392300
2020-04-16,447000,398742.857142857
2020-04-17,470300,406771.428571429
2020-04-18,352000,403028.571428571
2020-04-19,318100,408600
2020-04-20,498700,430157.142857143
2020-04-21,450900,427300
2020-04-22,518900,436557.142857143
2020-04-23,487300,442314.285714286
2020-04-24,475400,443042.857142857
2020-04-25,430800,454300
2020-04-26,293500,450785.714285714
2020-04-27,518400,453600
2020-04-28,555600,468557.142857143
2020-04-29,519600,468657.142857143
2020-04-30,488800,468871.428571429
2020-05-01,555300,480285.714285714
2020-05-02,478600,487114.285714286
2020-05-03,375900,498885.714285714
2020-05-04,578300,507442.857142857
2020-05-05,583400,511414.285714286
2020-05-06,538800,514157.142857143
2020-05-07,605600,530842.857142857
2020-05-08,573700,533471.428571429
2020-05-09,462400,531157.142857143
2020-05-10,386000,532600
2020-05-11,553300,529028.571428571
2020-05-12,594900,530671.428571429
2020-05-13,611300,541028.571428571
2020-05-14,616000,542514.285714286
2020-05-15,671500,556485.714285714
2020-05-16,530600,566228.571428571
2020-05-17,413500,570157.142857143
2020-05-18,624200,580285.714285714
2020-05-19,643600,587242.857142857
2020-05-20,654800,593457.142857143
2020-05-21,655300,599071.428571429
2020-05-22,690200,601742.857142857
2020-05-23,460700,591757.142857143
2020-05-24,461200,598571.428571429
2020-05-25,531600,585342.857142857
2020-05-26,709000,594685.714285714
2020-05-27,719200,603885.714285714
2020-05-28,710800,611814.285714286
2020-05-29,720800,616185.714285714
2020-05-30,622000,639228.571428571
2020-05-31,468300,640242.857142857
2020-06-01,764300,673485.714285714
2020-06-02,724400,675685.714285714
2020-06-03,741200,678828.571428571
2020-06-04,797700,691242.857142857
2020-06-05,772900,698685.714285714
2020-06-06,648000,702400
2020-06-07,531900,711485.714285714
2020-06-08,863400,725642.857142857
2020-06-09,916900,753142.857142857
2020-06-10,914700,777928.571428571
2020-06-11,830100,782557.142857143
2020-06-12,966300,810185.714285714
2020-06-13,706800,818585.714285714
2020-06-14,571200,824200
2020-06-15,940900,835271.428571429
2020-06-16,961000,841571.428571429
2020-06-17,977200,850500
2020-06-18,977700,871585.714285714
2020-06-19,1035300,881442.857142857
2020-06-20,768500,890257.142857143
2020-06-21,592400,893285.714285714
2020-06-22,1016200,904042.857142857
2020-06-23,1086200,921928.571428571
2020-06-24,1099900,939457.142857143
2020-06-25,1088500,955285.714285714
