Year,Brooklyn,Bronx,Manhattan,Queens,Staten Island
"2,015","202,960,156","174,385,554","133,326,664","223,893,375","38,822,492"
"2,016","201,470,709","168,831,140","128,212,381","224,625,421","38,404,316"
"2,017","190,965,796","156,662,777","118,715,667","218,948,349","37,147,936"
"2,018","179,169,441","142,690,932","116,996,185","214,805,777","34,993,288"
"2,019","175,415,701","134,889,542","119,868,296","212,084,034","34,939,479"
"2,020","102,269,950","85,610,030","57,417,780","117,556,839","19,418,626"
