month,borough,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2020-01,Bronx,LCL/LTD,BX12,Off-Peak,5306080,47980213.2,9.042497135
2020-01,Bronx,LCL/LTD,BX12,Peak,2366168,18182077.2,7.684186922
2020-01,Bronx,LCL/LTD,BX13,Off-Peak,3995772,25420093.2,6.361747667
2020-01,Bronx,LCL/LTD,BX13,Peak,2630146,14635792.8,5.564631317
2020-01,Bronx,LCL/LTD,BX15,Off-Peak,13808572,85955360.4,6.224782722
2020-01,Bronx,LCL/LTD,BX15,Peak,6592104,36642178.8,5.558495254
2020-01,Bronx,LCL/LTD,BX16,Off-Peak,2943226,26605432.8,9.039548033
2020-01,Bronx,LCL/LTD,BX16,Peak,1782503,13415122.8,7.52600293
2020-01,Bronx,LCL/LTD,BX17,Off-Peak,6613660,45828817.2,6.929418386
2020-01,Bronx,LCL/LTD,BX17,Peak,4080810,25236450,6.184176671
2020-01,Bronx,LCL/LTD,BX19,Off-Peak,12820072,70907198.4,5.530951651
2020-01,Bronx,LCL/LTD,BX19,Peak,5451899,27258123.6,4.999748455
2020-01,Bronx,LCL/LTD,BX2,Off-Peak,9474447,53055500.4,5.599851939
2020-01,Bronx,LCL/LTD,BX2,Peak,5042851,27583207.2,5.469764465
2020-01,Bronx,LCL/LTD,BX20,Off-Peak,222549,1777759.2,7.988169796
2020-01,Bronx,LCL/LTD,BX20,Peak,800216,5832144,7.288212183
2020-01,Bronx,LCL/LTD,BX21,Off-Peak,10244553,71850333.6,7.013515729
2020-01,Bronx,LCL/LTD,BX21,Peak,4642532,28804687.2,6.204520981
2020-01,Bronx,LCL/LTD,BX22,Off-Peak,6578065,42421100.4,6.448872184
2020-01,Bronx,LCL/LTD,BX22,Peak,4077017,23709657.6,5.815442418
2020-01,Bronx,LCL/LTD,BX23,Off-Peak,2445229,28539900,11.67166756
2020-01,Bronx,LCL/LTD,BX23,Peak,2342989,25720646.4,10.97770685
2020-01,Bronx,LCL/LTD,BX24,Off-Peak,1476143,14346892.8,9.719175446
2020-01,Bronx,LCL/LTD,BX24,Peak,633272,5472154.8,8.641081242
2020-01,Bronx,LCL/LTD,BX26,Off-Peak,5246046,36992422.8,7.051486548
2020-01,Bronx,LCL/LTD,BX26,Peak,2973833,19256896.8,6.475446604
2020-01,Bronx,LCL/LTD,BX27,Off-Peak,1997182,14459875.2,7.240138956
2020-01,Bronx,LCL/LTD,BX27,Peak,1355546,9152928,6.752207598
2020-01,Bronx,LCL/LTD,BX28,Off-Peak,7431474,54409622.4,7.321511506
2020-01,Bronx,LCL/LTD,BX28,Peak,2813817,17683531.2,6.284534922
2020-01,Bronx,LCL/LTD,BX29,Off-Peak,1622776,25402572,15.653776
2020-01,Bronx,LCL/LTD,BX29,Peak,926325,13657802.4,14.7440719
2020-01,Bronx,LCL/LTD,BX3,Off-Peak,7003327,52572668.4,7.506813319
2020-01,Bronx,LCL/LTD,BX3,Peak,3387474,21677544,6.399324098
2020-01,Bronx,LCL/LTD,BX30,Off-Peak,6590352,49104475.2,7.450963955
2020-01,Bronx,LCL/LTD,BX30,Peak,3350549,23391399.6,6.981363233
2020-01,Bronx,LCL/LTD,BX31,Off-Peak,6844663,54672318,7.987583611
2020-01,Bronx,LCL/LTD,BX31,Peak,3453588,24559430.4,7.111279747
2020-01,Bronx,LCL/LTD,BX32,Off-Peak,5464724,31523954.4,5.768626997
2020-01,Bronx,LCL/LTD,BX32,Peak,3359410,17701056,5.269096657
2020-01,Bronx,LCL/LTD,BX33,Off-Peak,1873714,13392194.4,7.147405847
2020-01,Bronx,LCL/LTD,BX33,Peak,1106239,6260583.6,5.659340884
2020-01,Bronx,LCL/LTD,BX34,Off-Peak,2850283,22115512.8,7.759058592
2020-01,Bronx,LCL/LTD,BX34,Peak,980838,6380910,6.505569727
2020-01,Bronx,LCL/LTD,BX35,Off-Peak,5428290,32592938.4,6.004273611
2020-01,Bronx,LCL/LTD,BX35,Peak,2643957,13236213.6,5.006213641
2020-01,Bronx,LCL/LTD,BX36,Off-Peak,14724161,90244454.4,6.129004865
2020-01,Bronx,LCL/LTD,BX36,Peak,7190680,41055811.2,5.709586743
2020-01,Bronx,LCL/LTD,BX38,Off-Peak,3998664,28302872.4,7.078082179
2020-01,Bronx,LCL/LTD,BX38,Peak,2222891,14860641.6,6.685276786
2020-01,Bronx,LCL/LTD,BX39,Off-Peak,8662615,56608300.8,6.534782026
2020-01,Bronx,LCL/LTD,BX39,Peak,4251598,25337548.8,5.959535403
2020-01,Bronx,LCL/LTD,BX4,Off-Peak,2771098,18578761.2,6.704476421
2020-01,Bronx,LCL/LTD,BX4,Peak,1557001,9129434.4,5.863473691
2020-01,Bronx,LCL/LTD,BX40,Off-Peak,7228588,47612991.6,6.586762394
2020-01,Bronx,LCL/LTD,BX40,Peak,3153040,18523472.4,5.874797782
2020-01,Bronx,LCL/LTD,BX41,Off-Peak,6118518,47865402,7.82303852
2020-01,Bronx,LCL/LTD,BX41,Peak,2366059,16056885.6,6.786342014
2020-01,Bronx,LCL/LTD,BX42,Off-Peak,7203564,45941414.4,6.37759509
2020-01,Bronx,LCL/LTD,BX42,Peak,2991653,17490711.6,5.846504123
2020-01,Bronx,LCL/LTD,BX46,Off-Peak,752917,8108424,10.76934642
2020-01,Bronx,LCL/LTD,BX46,Peak,297258,2850843.6,9.590468886
2020-01,Bronx,LCL/LTD,BX4A,Off-Peak,2860613,17904711.6,6.259047134
2020-01,Bronx,LCL/LTD,BX4A,Peak,1714798,9764964,5.694527285
2020-01,Bronx,LCL/LTD,BX5,Off-Peak,5205566,45773053.2,8.793098234
2020-01,Bronx,LCL/LTD,BX5,Peak,3380380,26131190.4,7.730252338
2020-01,Bronx,LCL/LTD,BX6,Off-Peak,7201884,52103232,7.234666929
2020-01,Bronx,LCL/LTD,BX6,Peak,3239685,19793653.2,6.109746225
2020-01,Bronx,LCL/LTD,BX7,Off-Peak,6337845,43790868,6.909425522
2020-01,Bronx,LCL/LTD,BX7,Peak,3497503,21565346.4,6.165926491
2020-01,Bronx,LCL/LTD,BX8,Off-Peak,6702502,55418468.4,8.26832553
2020-01,Bronx,LCL/LTD,BX8,Peak,3933754,31016412,7.884685214
2020-01,Bronx,LCL/LTD,BX9,Off-Peak,13706385,89128184.4,6.502676264
2020-01,Bronx,LCL/LTD,BX9,Peak,6684283,38839269.6,5.810536388
2020-01,Bronx,SBS,BX12-SBS,Off-Peak,10463340,101438179.2,9.694627069
2020-01,Bronx,SBS,BX12-SBS,Peak,5838524,51143947.2,8.75973914
2020-01,Bronx,SBS,BX41-SBS,Off-Peak,4395840,40027561.2,9.105782103
2020-01,Bronx,SBS,BX41-SBS,Peak,2402462,20311246.8,8.454346749
2020-01,Bronx,SBS,BX6-SBS,Off-Peak,5422205,42075352.8,7.759823319
2020-01,Bronx,SBS,BX6-SBS,Peak,3076652,21495942,6.986796687
2020-01,Brooklyn,EXP,BM1,Off-Peak,1720529,21730039.2,12.6298593
2020-01,Brooklyn,EXP,BM1,Peak,1527196,17194939.2,11.25915678
2020-01,Brooklyn,EXP,BM2,Off-Peak,1445119,17664156,12.22332279
2020-01,Brooklyn,EXP,BM2,Peak,1084398,11688278.4,10.7785872
2020-01,Brooklyn,EXP,BM3,Off-Peak,905207,11543896.8,12.75277014
2020-01,Brooklyn,EXP,BM3,Peak,618168,7387632,11.95084831
2020-01,Brooklyn,EXP,BM4,Off-Peak,615278,7550334,12.27141877
2020-01,Brooklyn,EXP,BM4,Peak,880576,9768765.6,11.09360873
2020-01,Brooklyn,EXP,BM5,Off-Peak,1158001,15884208,13.7169208
2020-01,Brooklyn,EXP,BM5,Peak,993284,11053987.2,11.12872774
2020-01,Brooklyn,EXP,X27,Off-Peak,2523931,32036828.4,12.69322672
2020-01,Brooklyn,EXP,X27,Peak,1423946,17588448,12.3519066
2020-01,Brooklyn,EXP,X28,Off-Peak,1889256,24191744.4,12.80490542
2020-01,Brooklyn,EXP,X28,Peak,1400224,16947241.2,12.10323577
2020-01,Brooklyn,EXP,X37,Off-Peak,458702,7221772.8,15.74393135
2020-01,Brooklyn,EXP,X37,Peak,1785262,24781550.4,13.88118405
2020-01,Brooklyn,EXP,X38,Off-Peak,583462,8872254,15.20622423
2020-01,Brooklyn,EXP,X38,Peak,1045910,14026680,13.41098182
2020-01,Brooklyn,LCL/LTD,B1,Off-Peak,10988149,80295444,7.307458608
2020-01,Brooklyn,LCL/LTD,B1,Peak,5469740,36912092.4,6.748418097
2020-01,Brooklyn,LCL/LTD,B100,Off-Peak,3599193,33140714.4,9.207818086
2020-01,Brooklyn,LCL/LTD,B100,Peak,3030059,25778793.6,8.507687012
2020-01,Brooklyn,LCL/LTD,B103,Off-Peak,11569538,93100320,8.047021411
2020-01,Brooklyn,LCL/LTD,B103,Peak,6720112,50378659.2,7.496699341
2020-01,Brooklyn,LCL/LTD,B11,Off-Peak,7733744,46047474,5.954098558
2020-01,Brooklyn,LCL/LTD,B11,Peak,4470833,23957636.4,5.358651598
2020-01,Brooklyn,LCL/LTD,B12,Off-Peak,8399117,50988362.4,6.070681287
2020-01,Brooklyn,LCL/LTD,B12,Peak,3924366,20034288,5.105101818
2020-01,Brooklyn,LCL/LTD,B13,Off-Peak,6813743,56057425.2,8.227111765
2020-01,Brooklyn,LCL/LTD,B13,Peak,3826112,28579582.8,7.469614794
2020-01,Brooklyn,LCL/LTD,B14,Off-Peak,4466341,31273819.2,7.002111841
2020-01,Brooklyn,LCL/LTD,B14,Peak,2282285,13748943.6,6.024201009
2020-01,Brooklyn,LCL/LTD,B15,Off-Peak,15224323,137507072.4,9.032064835
2020-01,Brooklyn,LCL/LTD,B15,Peak,5793318,41134471.2,7.100330277
2020-01,Brooklyn,LCL/LTD,B16,Off-Peak,6836627,50404629.6,7.372733601
2020-01,Brooklyn,LCL/LTD,B16,Peak,3631903,23538272.4,6.48097496
2020-01,Brooklyn,LCL/LTD,B17,Off-Peak,6861398,52205270.4,7.608547179
2020-01,Brooklyn,LCL/LTD,B17,Peak,3659980,23015023.2,6.288292067
2020-01,Brooklyn,LCL/LTD,B2,Off-Peak,1470280,13305214.8,9.049442827
2020-01,Brooklyn,LCL/LTD,B2,Peak,908730,7078993.2,7.789985144
2020-01,Brooklyn,LCL/LTD,B20,Off-Peak,6904964,46920996,6.795255703
2020-01,Brooklyn,LCL/LTD,B20,Peak,3683977,22530261.6,6.115744371
2020-01,Brooklyn,LCL/LTD,B24,Off-Peak,2806024,25954250.4,9.249475557
2020-01,Brooklyn,LCL/LTD,B24,Peak,1526814,11896668,7.79182533
2020-01,Brooklyn,LCL/LTD,B25,Off-Peak,8494686,53667543.6,6.317778385
2020-01,Brooklyn,LCL/LTD,B25,Peak,3660341,20670433.2,5.647133204
2020-01,Brooklyn,LCL/LTD,B26,Off-Peak,8511235,56328159.6,6.618094742
2020-01,Brooklyn,LCL/LTD,B26,Peak,4658386,27695898,5.945384947
2020-01,Brooklyn,LCL/LTD,B3,Off-Peak,8441709,59970992.4,7.104129318
2020-01,Brooklyn,LCL/LTD,B3,Peak,4201927,26595014.4,6.329242369
2020-01,Brooklyn,LCL/LTD,B31,Off-Peak,1570429,14590918.8,9.291040092
2020-01,Brooklyn,LCL/LTD,B31,Peak,1005715,7938018,7.892910019
2020-01,Brooklyn,LCL/LTD,B32,Off-Peak,928834,8821267.2,9.497140716
2020-01,Brooklyn,LCL/LTD,B32,Peak,594491,5089708.8,8.561456439
2020-01,Brooklyn,LCL/LTD,B35,Off-Peak,15929031,92416388.4,5.801758337
2020-01,Brooklyn,LCL/LTD,B35,Peak,8382928,43113841.2,5.143052785
2020-01,Brooklyn,LCL/LTD,B36,Off-Peak,6496030,49387780.8,7.602763657
2020-01,Brooklyn,LCL/LTD,B36,Peak,4164232,28851793.2,6.928478817
2020-01,Brooklyn,LCL/LTD,B37,Off-Peak,3285628,26824104,8.164072135
2020-01,Brooklyn,LCL/LTD,B37,Peak,1594967,11218266,7.033541133
2020-01,Brooklyn,LCL/LTD,B38,Off-Peak,14398272,93052404,6.46274803
2020-01,Brooklyn,LCL/LTD,B38,Peak,8091733,47377818,5.855089139
2020-01,Brooklyn,LCL/LTD,B4,Off-Peak,5780103,43331414.4,7.496650907
2020-01,Brooklyn,LCL/LTD,B4,Peak,3087437,20655248.4,6.690095506
2020-01,Brooklyn,LCL/LTD,B41,Off-Peak,20672504,141209060.4,6.83076711
2020-01,Brooklyn,LCL/LTD,B41,Peak,10014909,62723883.6,6.263050778
2020-01,Brooklyn,LCL/LTD,B43,Off-Peak,8546425,56123366.4,6.566882223
2020-01,Brooklyn,LCL/LTD,B43,Peak,4477442,24818356.8,5.542976726
2020-01,Brooklyn,LCL/LTD,B44,Off-Peak,11137934,79397604,7.128575551
2020-01,Brooklyn,LCL/LTD,B44,Peak,4579964,26804008.8,5.85244967
2020-01,Brooklyn,LCL/LTD,B44-SBS,Off-Peak,58123,516146.4,8.880243621
2020-01,Brooklyn,LCL/LTD,B45,Off-Peak,4727002,29023423.2,6.139921921
2020-01,Brooklyn,LCL/LTD,B45,Peak,2475923,13158612,5.314628928
2020-01,Brooklyn,LCL/LTD,B46,Off-Peak,13862043,98039458.8,7.072511519
2020-01,Brooklyn,LCL/LTD,B46,Peak,5718523,36207684,6.331649624
2020-01,Brooklyn,LCL/LTD,B46-SBS,Off-Peak,78278,613152,7.833005442
2020-01,Brooklyn,LCL/LTD,B47,Off-Peak,7940465,57869211.6,7.287886994
2020-01,Brooklyn,LCL/LTD,B47,Peak,3895033,24543280.8,6.301174034
2020-01,Brooklyn,LCL/LTD,B48,Off-Peak,4387405,30605058,6.975662835
2020-01,Brooklyn,LCL/LTD,B48,Peak,2420491,13639806,5.635140143
2020-01,Brooklyn,LCL/LTD,B49,Off-Peak,9560137,72090457.2,7.540734741
2020-01,Brooklyn,LCL/LTD,B49,Peak,4528964,29735164.8,6.565555566
2020-01,Brooklyn,LCL/LTD,B52,Off-Peak,8820534,56768000.4,6.435891568
2020-01,Brooklyn,LCL/LTD,B52,Peak,4514312,25871378.4,5.730968174
2020-01,Brooklyn,LCL/LTD,B54,Off-Peak,5984710,37005368.4,6.183318557
2020-01,Brooklyn,LCL/LTD,B54,Peak,3356997,17823232.8,5.309278739
2020-01,Brooklyn,LCL/LTD,B57,Off-Peak,6167006,42956740.8,6.965574673
2020-01,Brooklyn,LCL/LTD,B57,Peak,3092709,18857736,6.097481528
2020-01,Brooklyn,LCL/LTD,B6,Off-Peak,29214799,231641013.6,7.928892942
2020-01,Brooklyn,LCL/LTD,B6,Peak,14163179,99145839.6,7.000253234
2020-01,Brooklyn,LCL/LTD,B60,Off-Peak,8839434,60609528,6.856720464
2020-01,Brooklyn,LCL/LTD,B60,Peak,4506877,26932345.2,5.975833199
2020-01,Brooklyn,LCL/LTD,B61,Off-Peak,6231309,56595351.6,9.082417771
2020-01,Brooklyn,LCL/LTD,B61,Peak,3224974,26200861.2,8.124363545
2020-01,Brooklyn,LCL/LTD,B62,Off-Peak,7131632,55138179.6,7.731495344
2020-01,Brooklyn,LCL/LTD,B62,Peak,3799735,25278624,6.652733414
2020-01,Brooklyn,LCL/LTD,B63,Off-Peak,10600225,62335918.8,5.880622232
2020-01,Brooklyn,LCL/LTD,B63,Peak,4608701,24595761.6,5.336810004
2020-01,Brooklyn,LCL/LTD,B64,Off-Peak,4174697,33286788,7.973462026
2020-01,Brooklyn,LCL/LTD,B64,Peak,1903287,13684104,7.189721781
2020-01,Brooklyn,LCL/LTD,B65,Off-Peak,4227363,28286874,6.691375687
2020-01,Brooklyn,LCL/LTD,B65,Peak,2122142,12458653.2,5.870791493
2020-01,Brooklyn,LCL/LTD,B67,Off-Peak,4444311,29811207.6,6.707723109
2020-01,Brooklyn,LCL/LTD,B67,Peak,2682631,16001409.6,5.964819463
2020-01,Brooklyn,LCL/LTD,B68,Off-Peak,7850277,58885732.8,7.501102547
2020-01,Brooklyn,LCL/LTD,B68,Peak,3516376,24419016,6.944369999
2020-01,Brooklyn,LCL/LTD,B69,Off-Peak,3338970,22272843.6,6.670573141
2020-01,Brooklyn,LCL/LTD,B69,Peak,2252394,13317613.2,5.912648142
2020-01,Brooklyn,LCL/LTD,B7,Off-Peak,3949969,28958259.6,7.331262499
2020-01,Brooklyn,LCL/LTD,B7,Peak,2549403,16350847.2,6.413598478
2020-01,Brooklyn,LCL/LTD,B70,Off-Peak,4094082,28219903.2,6.892852464
2020-01,Brooklyn,LCL/LTD,B70,Peak,2315209,14570712,6.293475881
2020-01,Brooklyn,LCL/LTD,B74,Off-Peak,1140375,9434847.6,8.273460572
2020-01,Brooklyn,LCL/LTD,B74,Peak,807795,6216328.8,7.695428667
2020-01,Brooklyn,LCL/LTD,B8,Off-Peak,13386752,91557298.8,6.839396054
2020-01,Brooklyn,LCL/LTD,B8,Peak,5826299,35361543.6,6.069297782
2020-01,Brooklyn,LCL/LTD,B82,Off-Peak,12353379,90685213.2,7.340923742
2020-01,Brooklyn,LCL/LTD,B82,Peak,4651061,30858861.6,6.634800447
2020-01,Brooklyn,LCL/LTD,B83,Off-Peak,5311952,40944927.6,7.7080756
2020-01,Brooklyn,LCL/LTD,B83,Peak,2709548,18019256.4,6.650281302
2020-01,Brooklyn,LCL/LTD,B84,Off-Peak,419843,4436168.4,10.56625548
2020-01,Brooklyn,LCL/LTD,B84,Peak,250458,2321881.2,9.270541169
2020-01,Brooklyn,LCL/LTD,B9,Off-Peak,10826445,73569211.2,6.795324892
2020-01,Brooklyn,LCL/LTD,B9,Peak,5818975,35945658,6.177317827
2020-01,Brooklyn,SBS,B44-SBS,Off-Peak,8848548,83750518.8,9.464888341
2020-01,Brooklyn,SBS,B44-SBS,Peak,5139808,45130586.4,8.780597719
2020-01,Brooklyn,SBS,B46-SBS,Off-Peak,9812269,86485496.4,8.814016045
2020-01,Brooklyn,SBS,B46-SBS,Peak,7084336,58344325.2,8.235680126
2020-01,Brooklyn,SBS,B82-SBS,Off-Peak,8734839,75900128.4,8.689356312
2020-01,Brooklyn,SBS,B82-SBS,Peak,4208624,34249651.2,8.137968894
2020-01,Manhattan,LCL/LTD,M1,Off-Peak,9445010,56512652.4,5.983334311
2020-01,Manhattan,LCL/LTD,M1,Peak,5396283,32086461.6,5.946030184
2020-01,Manhattan,LCL/LTD,M10,Off-Peak,5438712,32580982.8,5.990569605
2020-01,Manhattan,LCL/LTD,M10,Peak,2929943,16009628.4,5.464143296
2020-01,Manhattan,LCL/LTD,M100,Off-Peak,11515818,62392082.4,5.417946202
2020-01,Manhattan,LCL/LTD,M100,Peak,4559116,24065186.4,5.278476441
2020-01,Manhattan,LCL/LTD,M101,Off-Peak,19040143,115016868,6.040756522
2020-01,Manhattan,LCL/LTD,M101,Peak,7105686,39757881.6,5.595220729
2020-01,Manhattan,LCL/LTD,M102,Off-Peak,9990389,58272480,5.832853956
2020-01,Manhattan,LCL/LTD,M102,Peak,4485961,22343940,4.980859174
2020-01,Manhattan,LCL/LTD,M103,Off-Peak,9331861,51737716.8,5.544201398
2020-01,Manhattan,LCL/LTD,M103,Peak,3775917,18679046.4,4.946890093
2020-01,Manhattan,LCL/LTD,M104,Off-Peak,7407809,42037869.6,5.674804736
2020-01,Manhattan,LCL/LTD,M104,Peak,3267216,16504225.2,5.051464366
2020-01,Manhattan,LCL/LTD,M106,Off-Peak,1300665,7836566.4,6.025045957
2020-01,Manhattan,LCL/LTD,M106,Peak,999828,5960174.4,5.961199726
2020-01,Manhattan,LCL/LTD,M11,Off-Peak,9467333,54077918.4,5.712054113
2020-01,Manhattan,LCL/LTD,M11,Peak,4303039,22996584,5.344265762
2020-01,Manhattan,LCL/LTD,M116,Off-Peak,4716266,27112737.6,5.748771931
2020-01,Manhattan,LCL/LTD,M116,Peak,2752700,14357246.4,5.215696008
2020-01,Manhattan,LCL/LTD,M12,Off-Peak,1377333,9716446.8,7.054537138
2020-01,Manhattan,LCL/LTD,M12,Peak,745340,4819212,6.465790109
2020-01,Manhattan,LCL/LTD,M15,Off-Peak,13095301,83183940,6.352197632
2020-01,Manhattan,LCL/LTD,M15,Peak,5324355,27874105.2,5.23520787
2020-01,Manhattan,LCL/LTD,M2,Off-Peak,12058275,78055164,6.473161708
2020-01,Manhattan,LCL/LTD,M2,Peak,5954221,36151776,6.07162146
2020-01,Manhattan,LCL/LTD,M20,Off-Peak,3069179,18358326,5.981510365
2020-01,Manhattan,LCL/LTD,M20,Peak,1680991,9383094,5.581882354
2020-01,Manhattan,LCL/LTD,M21,Off-Peak,1424594,8413887.6,5.906165265
2020-01,Manhattan,LCL/LTD,M21,Peak,888534,4779367.2,5.37893564
2020-01,Manhattan,LCL/LTD,M22,Off-Peak,2329833,12943526.4,5.555559733
2020-01,Manhattan,LCL/LTD,M22,Peak,1431367,7111321.2,4.968202564
2020-01,Manhattan,LCL/LTD,M3,Off-Peak,13647889,71890153.2,5.267492518
2020-01,Manhattan,LCL/LTD,M3,Peak,5949364,30906954,5.195001348
2020-01,Manhattan,LCL/LTD,M31,Off-Peak,6528645,32536666.8,4.983678359
2020-01,Manhattan,LCL/LTD,M31,Peak,3423980,15854526,4.630437678
2020-01,Manhattan,LCL/LTD,M4,Off-Peak,15229009,81531237.6,5.353679783
2020-01,Manhattan,LCL/LTD,M4,Peak,8153696,44351812.8,5.439473436
2020-01,Manhattan,LCL/LTD,M42,Off-Peak,4290221,21581258.4,5.030337225
2020-01,Manhattan,LCL/LTD,M42,Peak,2648055,12139326,4.584242397
2020-01,Manhattan,LCL/LTD,M5,Off-Peak,8487027,60491206.8,7.127490793
2020-01,Manhattan,LCL/LTD,M5,Peak,4017092,26087158.8,6.494040664
2020-01,Manhattan,LCL/LTD,M50,Off-Peak,2206364,12007209.6,5.442080092
2020-01,Manhattan,LCL/LTD,M50,Peak,1163687,5767131.6,4.955913059
2020-01,Manhattan,LCL/LTD,M55,Off-Peak,3358183,22050640.8,6.566241566
2020-01,Manhattan,LCL/LTD,M55,Peak,1537298,8804192.4,5.727056433
2020-01,Manhattan,LCL/LTD,M57,Off-Peak,4081501,19818208.8,4.855617774
2020-01,Manhattan,LCL/LTD,M57,Peak,2338783,10763816.4,4.602315136
2020-01,Manhattan,LCL/LTD,M66,Off-Peak,3606056,19956510,5.534165304
2020-01,Manhattan,LCL/LTD,M66,Peak,2547471,12818289.6,5.031770568
2020-01,Manhattan,LCL/LTD,M7,Off-Peak,8763782,51533913.6,5.880328105
2020-01,Manhattan,LCL/LTD,M7,Peak,3371368,17271874.8,5.123105754
2020-01,Manhattan,LCL/LTD,M72,Off-Peak,3448869,19381359.6,5.619627652
2020-01,Manhattan,LCL/LTD,M72,Peak,1624576,8937140.4,5.501214101
2020-01,Manhattan,LCL/LTD,M8,Off-Peak,1639843,9374569.2,5.716748006
2020-01,Manhattan,LCL/LTD,M8,Peak,1109052,5838472.8,5.264381472
2020-01,Manhattan,LCL/LTD,M9,Off-Peak,4325768,26251009.2,6.068519902
2020-01,Manhattan,LCL/LTD,M9,Peak,2675358,15648973.2,5.849300617
2020-01,Manhattan,LCL/LTD,M96,Off-Peak,5214423,31661856,6.071976899
2020-01,Manhattan,LCL/LTD,M96,Peak,3011595,16192436.4,5.376697863
2020-01,Manhattan,LCL/LTD,M98,Off-Peak,755044,7466166,9.888385313
2020-01,Manhattan,LCL/LTD,M98,Peak,1636322,14107935.6,8.621735575
2020-01,Manhattan,SBS,M14A-SBS,Off-Peak,6556913,39439195.2,6.014902928
2020-01,Manhattan,SBS,M14A-SBS,Peak,2719738,13979260.8,5.139929214
2020-01,Manhattan,SBS,M14D-SBS,Off-Peak,8142326,47112926.4,5.7861754
2020-01,Manhattan,SBS,M14D-SBS,Peak,4399527,23830898.4,5.416695568
2020-01,Manhattan,SBS,M15-SBS,Off-Peak,10167749,80830598.4,7.949704345
2020-01,Manhattan,SBS,M15-SBS,Peak,5594788,42047870.4,7.515543109
2020-01,Manhattan,SBS,M23-SBS,Off-Peak,4634599,28102230,6.063573138
2020-01,Manhattan,SBS,M23-SBS,Peak,2142033,12468517.2,5.82088007
2020-01,Manhattan,SBS,M34A-SBS,Off-Peak,3181163,16016720.4,5.034863162
2020-01,Manhattan,SBS,M34A-SBS,Peak,1835738,8946385.2,4.873454273
2020-01,Manhattan,SBS,M34-SBS,Off-Peak,2704686,14426164.8,5.333766951
2020-01,Manhattan,SBS,M34-SBS,Peak,1395238,6929136,4.966275288
2020-01,Manhattan,SBS,M60-SBS,Off-Peak,9855716,113065275.6,11.4720509
2020-01,Manhattan,SBS,M60-SBS,Peak,4070127,40600069.2,9.975135714
2020-01,Manhattan,SBS,M79-SBS,Off-Peak,4659383,29023682.4,6.229082778
2020-01,Manhattan,SBS,M79-SBS,Peak,2724468,15622711.2,5.734224516
2020-01,Manhattan,SBS,M86-SBS,Off-Peak,5934745,38729440.8,6.525881196
2020-01,Manhattan,SBS,M86-SBS,Peak,3477434,20690287.2,5.949872003
2020-01,Queens,EXP,QM12/QM42,Off-Peak,58685,760190.4,12.95374286
2020-01,Queens,EXP,QM12/QM42,Peak,351256,3676629.6,10.46709409
2020-01,Queens,EXP,QM15,Off-Peak,942179,11797182,12.52116848
2020-01,Queens,EXP,QM15,Peak,1214554,12852583.2,10.58214225
2020-01,Queens,EXP,QM17,Off-Peak,451894,6780650.4,15.0049578
2020-01,Queens,EXP,QM17,Peak,867035,11150114.4,12.86005109
