month,borough,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2020-01,Bronx,EXP,BXM1,Off-Peak,3627715,42052309.2,11.59195505
2020-01,Bronx,EXP,BXM1,Peak,2791195,29149185.6,10.44326376
2020-01,Bronx,EXP,BXM10,Off-Peak,2785454,31720028.4,11.38774089
2020-01,Bronx,EXP,BXM10,Peak,2323918,23223391.2,9.993205956
2020-01,Bronx,EXP,BXM11,Off-Peak,2531908,30050560.8,11.8687412
2020-01,Bronx,EXP,BXM11,Peak,2276246,23872647.6,10.48772742
2020-01,Bronx,EXP,BXM18,Off-Peak,365026,4298220,11.77510643
2020-01,Bronx,EXP,BXM18,Peak,1041558,10467046.8,10.04941328
2020-01,Bronx,EXP,BXM2,Off-Peak,2844327,33917742,11.92469853
2020-01,Bronx,EXP,BXM2,Peak,1555735,16329844.8,10.49654652
2020-01,Bronx,EXP,BXM3,Off-Peak,1818509,21449008.8,11.79483236
2020-01,Bronx,EXP,BXM3,Peak,1352201,14027587.2,10.37389205
2020-01,Bronx,EXP,BXM4,Off-Peak,1230705,11807463.6,9.594064865
2020-01,Bronx,EXP,BXM4,Peak,855858,7286666.4,8.513873096
2020-01,Bronx,EXP,BXM6,Off-Peak,1456949,18283766.4,12.54935238
2020-01,Bronx,EXP,BXM6,Peak,1232893,12933158.4,10.49008989
2020-01,Bronx,EXP,BXM7,Off-Peak,5070061,77139079.2,15.21462547
2020-01,Bronx,EXP,BXM7,Peak,4517950,59173736.4,13.09747483
2020-01,Bronx,EXP,BXM8,Off-Peak,2988340,37736186.4,12.62780888
2020-01,Bronx,EXP,BXM8,Peak,2452889,27431820,11.18347385
2020-01,Bronx,EXP,BXM9,Off-Peak,3416080,45587275.2,13.34490855
2020-01,Bronx,EXP,BXM9,Peak,2904546,33356142,11.48411559
2020-01,Bronx,LCL/LTD,BX1,Off-Peak,9954329,68746748.4,6.90621622
2020-01,Bronx,LCL/LTD,BX1,Peak,4598266,30683422.8,6.672824669
2020-01,Bronx,LCL/LTD,BX10,Off-Peak,6888124,59931864,8.700752774
2020-01,Bronx,LCL/LTD,BX10,Peak,3763874,28560121.2,7.587958896
2020-01,Bronx,LCL/LTD,BX11,Off-Peak,7948226,48243978,6.069779344
2020-01,Bronx,LCL/LTD,BX11,Peak,4745781,25119018,5.292915539
