Month,BronxMiles,BrooklynMiles,ManhattanMiles,QueensMiles,Staten IslandMiles,TotalMiles,BronxHours,BrooklynHours,ManhattanHours,QueensHours,Staten IslandHours,TotalHours,BronxSpeed,BrooklynSpeed,ManhattanSpeed,QueensSpeed,Staten IslandSpeed,AvgSpeed
2017-02,3114924541,4325506733,2001451946,5647710535,1930783572,17020377328,417753978,601761886,337947606,625885885,142695335,2126044690,7.456,7.188,5.922,9.024,13.531,8.006
2017-03,3507310714,4963178743,2201629604,6599808076,2244781894,19516709030,478065068,701440982,374068601,740684367,168764043,2463023061,7.336,7.076,5.886,8.910,13.301,7.924
2017-04,3284875714,4582541502,2036039796,5996684992,1767793867,17667935870,439683845,637923443,349322452,664657978,133392440,2224980158,7.471,7.184,5.829,9.022,13.253,7.941
2017-05,3471493979,4851879005,2057850191,6409748214,2112653009,18903624397,472630334,689438736,359135106,719793833,161384049,2402382058,7.345,7.037,5.730,8.905,13.091,7.869
2017-06,3476249190,4834304428,2107003604,6419804551,2019533249,18856895022,470379362,686076515,363561112,718278572,154444267,2392739828,7.390,7.046,5.795,8.938,13.076,7.881
2017-07,3260646508,4492466449,2039918123,5772527028,1911034073,17476592180,431253870,624636392,346192855,635738405,139971175,2177792697,7.561,7.192,5.892,9.080,13.653,8.025
2017-08,3769342358,5162756324,2385867161,6556895996,2212531690,20087393530,493571148,712174785,399910002,721002573,160006782,2486665290,7.637,7.249,5.966,9.094,13.828,8.078
2017-09,3120138086,4336742534,1823103641,5768420918,1849856008,16898261188,427520165,619679599,315201513,655446277,140334536,2158182090,7.298,6.998,5.784,8.801,13.182,7.830
2017-10,3489643912,4790173997,2080429211,6376675799,1962569596,18699492514,474831926,682080776,361065889,728289145,148397611,2394665347,7.349,7.023,5.762,8.756,13.225,7.809
2017-11,3178341688,4225102794,1886975089,5643444128,1844384357,16778248056,432191628,605071471,327871980,643214719,140932806,2149282604,7.354,6.983,5.755,8.774,13.087,7.806
2017-12,3126854574,4270069721,1891681175,5748251886,1829705357,16866562712,417121983,602796395,322444877,644115486,138265048,2124743789,7.496,7.084,5.867,8.924,13.233,7.938
2018-01,3364951774,4501903230,2174287565,6007699843,1982407943,18031250354,447916593,636267261,367410381,675706723,146468625,2273769583,7.512,7.075,5.918,8.891,13.535,7.930
2018-02,3199811249,4255006460,2010191742,5798902691,1839793507,17103705649,425092373,596581615,339784150,644835441,135395715,2141689294,7.527,7.132,5.916,8.993,13.588,7.986
2018-03,3452805540,4728089470,2171746368,6335123080,2032900553,18720665010,460254284,668636178,367378217,713327085,151537401,2361133165,7.502,7.071,5.911,8.881,13.415,7.929
2018-04,3434244404,4696107494,2177951116,6406144679,2025992077,18740439770,459381283,658944614,371991271,719857608,151101487,2361276263,7.476,7.127,5.855,8.899,13.408,7.937
2018-05,3340137604,4735698188,2092134478,6520841489,1998335516,18687147275,458090524,677952737,364292423,748078098,153264038,2401677820,7.291,6.985,5.743,8.717,13.039,7.781
2018-06,3283907011,4542283127,2053129086,6253468322,1931730001,18064517548,443590212,646093512,353158367,707383740,145650783,2295876614,7.403,7.030,5.814,8.840,13.263,7.868
2018-07,3319588238,4582568599,2082257658,6149299111,1901717741,18035431348,439327384,642267604,350954665,685009845,138773247,2256332745,7.556,7.135,5.933,8.977,13.704,7.993
2018-08,3543463847,4992391544,2227007282,6688461802,2254142095,19705466570,465695518,696044909,371588490,740599801,162035244,2435963962,7.609,7.173,5.993,9.031,13.911,8.089
2018-09,2908785528,3938043740,1647550800,5514117905,1870889166,15879387139,400276606,562627194,283363518,633220645,138231597,2017719560,7.267,6.999,5.814,8.708,13.534,7.870
2018-10,3499775608,4757487451,2102506758,6597710269,2464609205,19422089291,478618798,675354864,364888302,756319008,180631318,2455812290,7.312,7.044,5.762,8.723,13.644,7.909
2018-11,2888434966,4137016565,1776793018,5632765502,2110223948,16545233999,396416991,588097602,308807385,647287193,153660198,2094269369,7.286,7.035,5.754,8.702,13.733,7.900
2018-12,3002997503,4201738783,1887849641,5651930477,2083257068,16827773472,404182959,587847373,321307370,637604129,149294683,2100236514,7.430,7.148,5.876,8.864,13.954,8.012
2019-01,3384029246,4715837413,2295063785,6351996715,2292005009,19038932168,450460898,653524095,382102632,707953299,160189973,2354230897,7.512,7.216,6.006,8.972,14.308,8.087
2019-02,2940995106,4166472416,2020975870,5699480184,2038735199,16866658775,396051216,580787867,341656993,638431398,145264228,2102191702,7.426,7.174,5.915,8.927,14.035,8.023
2019-03,3245232269,4535830408,2210540069,6230910240,2260367431,18482880416,438453518,637680105,374485990,704912822,162294669,2317827104,7.402,7.113,5.903,8.839,13.928,7.974
2019-04,3339249016,4716253285,2221452475,6504678666,2289304094,19070937536,449793508,659930129,377695435,729935372,164263617,2381618061,7.424,7.147,5.882,8.911,13.937,8.008
2019-05,3231332118,4739322294,2186101879,6561253422,2293849969,19011859682,444019476,675699677,378562020,750338113,170380486,2418999772,7.277,7.014,5.775,8.744,13.463,7.859
2019-06,2883548876,4220788813,1974128303,5843810099,2067711916,16989988007,395841909,599194688,339766631,666631742,151622486,2153057456,7.285,7.044,5.810,8.766,13.637,7.891
2019-07,3257635169,4826362640,2211191968,6395947340,2254368193,18945505310,435846789,669630318,374874319,720932294,163061109,2364344829,7.474,7.208,5.898,8.872,13.825,8.013
2019-08,3257284561,4732924698,2319069647,6254538102,2244306359,18808123367,428818641,653294354,388661211,700445524,160681921,2331901651,7.596,7.245,5.967,8.929,13.967,8.066
2019-09,2830735152,4157360129,1899460494,5827676342,2017509656,16732741774,391462311,598214820,327758132,675680190,150641475,2143756928,7.231,6.950,5.795,8.625,13.393,7.805
2019-10,3328170772,4965640211,2353807973,6906037082,2382665774,19936321812,455606049,700180998,404843577,791517713,176196647,2528344984,7.305,7.092,5.814,8.725,13.523,7.885
2019-11,2796781601,4213390403,2010765751,5868249818,2023899624,16913087197,383022082,597341665,343716343,671207750,150169436,2145457276,7.302,7.054,5.850,8.743,13.477,7.883
2019-12,2934052027,4329327758,2051796200,6001391315,2036189567,17352756868,397926018,610464133,349852334,683750726,151347240,2193340451,7.373,7.092,5.865,8.777,13.454,7.912
2020-01,3416245265,4889123928,2346011791,6661040407,2290585892,19603007284,455968471,678029348,391595710,745747063,163562538,2434903130,7.492,7.211,5.991,8.932,14.004,8.051
2020-02,3065148497,4296906137,2119451944,6032758842,2094954646,17609220065,410743912,599417409,355257366,674764020,149654724,2189837431,7.462,7.168,5.966,8.941,13.999,8.041
2020-03,3177752026,4426541870,2316004625,6269806526,1857600158,18047705206,410173034,589033369,364432231,667912258,130439225,2161990117,7.747,7.515,6.355,9.387,14.241,8.348
2020-04,2082636569,2905381904,1809796842,4202650220,814318664.4,11814784200,257355879,336018950,235085494,394962889,57489151,1280912363,8.092,8.646,7.698,10.641,14.165,9.224
2020-05,2338199384,3016254020,1790014284,3548215487,922471455.6,11615154631,285142816,353880074,234481106,328708774,63221883,1265434653,8.200,8.523,7.634,10.794,14.591,9.179
2020-06,3128158872,4086225310,1836535504,5930412098,1410429586,16391761369,400977107,527596215,271904712,607654345,99190207,1907322586,7.801,7.745,6.754,9.760,14.219,8.594
2020-07,3249550976,4450776361,2332687565,6319630609,1628655217,17981300729,419853279,591542635,362603677,670397405,114159900,2158556896,7.740,7.524,6.433,9.427,14.266,8.330
2020-08,3034950898,4158132080,2256624950,5862975588,1511654339,16824337855,390609151,557760084,350421439,625755482,106423948,2030970104,7.770,7.455,6.440,9.369,14.204,8.284
2020-09,3227140390,4272645708,2385672750,6104290680,1635063844,17624813371,419035146,568653033,371929594,647336444,115252699,2122206916,7.701,7.514,6.414,9.430,14.187,8.305
2020-10,3412160345,4613771635,2455260368,6448763239,1752822889,18682778477,444982691,613575578,384403079,686078113,123550936,2252590397,7.668,7.519,6.387,9.399,14.187,8.294
2020-11,3137917648,4313864646,2286542236,6025239814,1522727651,17286291994,407160112,569380867,354232334,634802614,106722210,2072298137,7.707,7.576,6.455,9.492,14.268,8.342
2020-12,3218574200,4351082760,2426494676,6174853762,1675643224,17846648622,415930879,576233514,376748585,655671509,117581173,2142165660,7.738,7.551,6.441,9.418,14.251,8.331
2021-01,3197611958,4341697798,2349033592,5940595746,1592046400,17420985493,406467074,563709014,360905918,619269370,109714391,2060065767,7.867,7.702,6.509,9.593,14.511,8.457
2021-02,2720879489,3545069087,2022104635,5255734727,1475327956,15019115893,351604383,475929617,315874676,563736674,103794104,1810939454,7.738,7.449,6.402,9.323,14.214,8.294
2021-03,3438198994,4744317377,2584279735,6603560500,1820686442,19191043048,446009891,628955202,401955952,701640977,126520327,2305082349,7.709,7.543,6.429,9.412,14.390,8.326
2021-04,3258987253,4546839348,2423624144,6365677403,1774433488,18369561636,427280455,610275850,384951799,681284775,123461968,2227254847,7.627,7.450,6.296,9.344,14.372,8.248
2021-05,2949172312,4076480876,2189957620,5721625120,1589689303,16526925230,387195854,547864659,347651033,617415925,111616019,2011743490,7.617,7.441,6.299,9.267,14.242,8.215
2021-06,2988397195,4409573976,2312241520,6113472872,1726724624,17550410188,394166071,599188321,372824504,665501190,121415104,2153095190,7.582,7.359,6.202,9.186,14.222,8.151
2021-07,2888948275,4241808299,2186738957,5725508537,1561474030,16604478097,377119158,571626029,349314645,622175358,109042983,2029278173,7.661,7.421,6.260,9.202,14.320,8.182
2021-08,2954066036,4162552157,2225305415,5742365094,1499877385,16584166087,383399300,563873833,354314506,624624669,105192233,2031404541,7.705,7.382,6.281,9.193,14.258,8.164
2021-09,2651800882,3603527564,2008580663,5091894058,1470187379,14825990545,355696435,501654449,329021532,573420926,106164459,1865957801,7.455,7.183,6.105,8.880,13.848,7.946
2021-10,2710932347,3709268874,1976507878,5545825596,1647084395,15589619089,368026019,526901604,327059160,628098488,119771973,1969857244,7.366,7.040,6.043,8.830,13.752,7.914
2021-11,2820134110,3820818258,1988498671,5727974990,1683858762,16041284791,379792691,534558032,325977866,638918271,120168910,1999415770,7.425,7.148,6.100,8.965,14.012,8.023
2021-12,3151600063,4263581005,2172116261,6281237268,1733582668,17602117265,416828461,582244974,347884140,691026327,122738777,2160722679,7.561,7.323,6.244,9.090,14.124,8.146
