Date,Subways: Total Estimated Ridership,Subways: Average Estimated Ridership ,Buses: Total Estimated Ridership,Buses: Average Estimated Ridership
1/30/2022,1252204,2233730,413101,974017
1/29/2022,996277,2232968,254605,990444
1/28/2022,2699150,2317100,1121180,1047589
1/27/2022,2723672,2298708,1238796,1051765
1/26/2022,2716524,2273965,1251369,1043495
1/25/2022,2706524,2264128,1299712,1048497
1/24/2022,2541758,2241254,1239355,1037395
1/23/2022,1246871,2107037,528090,959496
1/22/2022,1585201,2095593,654619,949235
1/21/2022,2570406,2074296,1150413,937580
1/20/2022,2550469,2068202,1180910,942756
1/19/2022,2647666,2065182,1286383,948134
1/18/2022,2546405,2038980,1221994,932926
1/17/2022,1602238,1999641,694066,907010
1/16/2022,1166766,2106789,456257,971764
1/15/2022,1436125,2097777,573037,974504
1/14/2022,2527746,2105150,1186647,982833
1/13/2022,2529329,2047696,1218552,939169
1/12/2022,2464248,2028662,1179931,928933
1/11/2022,2271033,2001283,1040581,914445
1/10/2022,2352277,2004585,1147341,920413
1/9/2022,1103682,1978938,475438,899365
1/8/2022,1487737,1995741,631341,899316
1/7/2022,2125569,1930233,880997,859245
1/6/2022,2396085,1859417,1146904,833352
1/5/2022,2272601,1831742,1078511,802082
1/4/2022,2294147,1817238,1082360,779661
1/3/2022,2172744,1799902,1000002,761314
1/2/2022,1221306,1776892,475096,745613
1/1/2022,1029180,1786203,350845,751871
12/31/2021,1629859,1755169,699749,748828
12/30/2021,2202359,1747724,928012,755551
12/29/2021,2171073,1789028,921562,789686
12/28/2021,2172791,1856040,953933,836980
12/27/2021,2011675,1931798,890096,886343
12/26/2021,1286484,2033335,518897,941708
12/25/2021,811945,2075480,329549,958494
12/24/2021,1577738,2228482,746809,1023711
12/23/2021,2491489,2448589,1166953,1113508
12/22/2021,2640159,2553640,1252621,1152256
12/21/2021,2703097,2640628,1299476,1178475
12/20/2021,2722430,2723228,1277654,1189724
12/19/2021,1581503,2781112,636393,1197734
12/18/2021,1882956,2816855,786073,1196393
12/17/2021,3118492,2871941,1375383,1196402
12/16/2021,3226842,2915553,1438193,1200515
12/15/2021,3249076,2946122,1436154,1200328
12/14/2021,3281294,2965636,1378221,1199464
12/13/2021,3127619,2979045,1333718,1210166
12/12/2021,1831705,2981179,627007,1218811
12/11/2021,2268556,2967728,786137,1224257
12/10/2021,3423782,2974820,1404176,1235489
12/9/2021,3440822,2968642,1436883,1237618
12/8/2021,3385675,2957973,1430106,1239369
12/7/2021,3375157,2950553,1453136,1244123
12/6/2021,3142556,2927578,1394230,1241181
12/5/2021,1737545,2907599,665129,1239385
12/4/2021,2318203,2869009,864764,1228950
12/3/2021,3380539,2806786,1419078,1212696
12/2/2021,3366133,2622848,1449142,1130483
12/1/2021,3333735,2336142,1463384,996289
11/30/2021,3214333,2301591,1432539,979147
11/29/2021,3002707,2312941,1381661,978054
11/28/2021,1467414,2332163,592081,983278
11/27/2021,1882638,2361965,750986,995059
11/26/2021,2092977,2398460,843588,1010886
11/25/2021,1359188,2574297,509782,1094628
11/24/2021,3091878,2868665,1343391,1236872
11/23/2021,3293785,2909328,1424890,1259493
11/22/2021,3137259,2917118,1418226,1269096
11/21/2021,1676033,2914333,674551,1271837
11/20/2021,2138098,2918458,861772,1269349
11/19/2021,3323841,2923322,1429787,1262683
11/18/2021,3419760,2900597,1505488,1251372
11/17/2021,3376522,2830307,1501740,1207479
11/16/2021,3348316,2827866,1492110,1209295
11/15/2021,3117761,2819126,1437414,1213031
11/14/2021,1704908,2812653,657129,1216426
11/13/2021,2172149,2839376,815114,1210338
11/12/2021,3164764,2843108,1350608,1217393
11/11/2021,2927728,2862457,1198235,1232594
11/10/2021,3359437,2914428,1514453,1273838
11/9/2021,3287134,2906094,1518264,1272814
11/8/2021,3072454,2844204,1461178,1235659
11/7/2021,1891963,2839723,614513,1233820
11/6/2021,2198274,2819254,864499,1239776
11/5/2021,3300207,2797570,1457014,1233364
11/4/2021,3291525,2791594,1486942,1229068
11/3/2021,3301103,2803316,1507287,1233146
11/2/2021,2853901,2804249,1258180,1232610
11/1/2021,3041089,2783393,1448304,1229107
10/31/2021,1748679,2777804,656203,1230924
10/30/2021,2046487,2756826,819620,1231364
10/29/2021,3258376,2761575,1426938,1235361
10/28/2021,3373576,2757823,1515489,1241684
10/27/2021,3307634,2743769,1503535,1236104
10/26/2021,2707913,2734318,1233660,1239258
10/25/2021,3001962,2802538,1461023,1278838
10/24/2021,1601835,2800786,659283,1278955
10/23/2021,2079731,2805073,847596,1279621
10/22/2021,3232113,2800025,1471199,1280963
10/21/2021,3275195,2800274,1476434,1283806
10/20/2021,3241475,2796399,1525608,1291107
10/19/2021,3185458,2785425,1510722,1289071
10/18/2021,2989693,2774669,1461843,1289626
10/17/2021,1631844,2671499,663944,1230201
10/16/2021,2044396,2652600,856990,1221326
10/15/2021,3233854,2653792,1491099,1221229
10/14/2021,3248072,2645404,1527543,1218773
10/13/2021,3164655,2638257,1511356,1218148
10/12/2021,3110171,2635872,1514608,1221193
10/11/2021,2267498,2634160,1045865,1219073
10/10/2021,1499551,2720366,601821,1272400
10/9/2021,2052746,2731522,856308,1282604
10/8/2021,3175133,2733447,1473912,1286546
10/7/2021,3198045,2732600,1523168,1289265
10/6/2021,3147958,2726303,1532668,1288253
10/5/2021,3098187,2715239,1499767,1285469
10/4/2021,2870940,2691861,1419155,1279420
10/3/2021,1577642,2693167,673253,1289461
10/2/2021,2066222,2698777,883902,1287175
10/1/2021,3169206,2708204,1492942,1285545
9/30/2021,3153965,2702324,1516081,1282226
9/29/2021,3070509,2683590,1513184,1277510
9/28/2021,2934542,2677507,1457421,1276514
9/27/2021,2880083,2690474,1489441,1283426
9/26/2021,1616915,2691856,657257,1282317
9/25/2021,2132211,2689257,872490,1284712
9/24/2021,3128041,2672859,1469705,1284524
9/23/2021,3022830,2659521,1483075,1282595
9/22/2021,3027925,2590525,1506211,1243594
9/21/2021,3025310,2585642,1505803,1243225
9/20/2021,2889759,2584590,1481676,1243988
9/19/2021,1598720,2580186,674024,1238251
9/18/2021,2017430,2579176,871175,1241185
9/17/2021,3034676,2574582,1456201,1241130
9/16/2021,2539853,2547603,1210069,1222020
9/15/2021,2993744,2571637,1503627,1227630
9/14/2021,3017947,2506080,1511145,1183240
9/13/2021,2858929,2394726,1441516,1124844
9/12/2021,1591655,2203930,694561,1023762
9/11/2021,1985273,2178964,870791,1012914
9/10/2021,2845820,2149602,1322430,1007723
9/9/2021,2708091,2085177,1249341,993329
9/8/2021,2534847,1936047,1192895,984700
9/7/2021,2238469,1902354,1102372,969451
9/6/2021,1523354,1945140,733947,990035
9/5/2021,1416893,2059761,618622,1054172
9/4/2021,1779743,2057439,834456,1055838
9/3/2021,2394842,2040489,1221668,1047557
9/2/2021,1664178,2040169,1188941,1036926
9/1/2021,2298999,2157448,1086148,1041791
8/31/2021,2537974,2186651,1246463,1063247
8/30/2021,2325695,2176570,1182908,1061593
8/29/2021,1400642,2138147,630281,1040148
8/28/2021,1661095,2044598,776489,1002857
8/27/2021,2392602,2052504,1147249,1009407
8/26/2021,2485132,2062265,1222996,1014558
8/25/2021,2503420,2056459,1236342,1010470
8/24/2021,2467406,2048902,1234884,1006815
8/23/2021,2056731,2043942,1032792,1003208
8/22/2021,745800,2077609,369246,1022840
8/21/2021,1716439,2175440,822340,1064620
8/20/2021,2460924,2175695,1183308,1063118
8/19/2021,2444495,2171938,1194375,1063992
8/18/2021,2450516,2173203,1210760,1068176
8/17/2021,2432692,2177541,1209633,1073254
8/16/2021,2292396,2179618,1170216,1078402
8/15/2021,1430620,2179887,661705,1080236
8/14/2021,1718222,2166067,811826,1071217
8/13/2021,2434624,2174958,1189426,1074772
8/12/2021,2453353,2187718,1223666,1079475
8/11/2021,2480877,2199280,1246306,1084570
8/10/2021,2447231,2206872,1245670,1086223
8/9/2021,2294279,2212848,1183050,1088562
8/8/2021,1333885,2219197,598574,1092195
8/7/2021,1780458,2221684,836715,1096679
8/6/2021,2523944,2230334,1222343,1099625
8/5/2021,2534287,2235840,1259332,1101522
8/4/2021,2534018,2221443,1257876,1091138
8/3/2021,2489064,2222263,1262043,1093769
8/2/2021,2338722,2222837,1208484,1094592
8/1/2021,1351294,2220615,629963,1096114
7/31/2021,1841007,2222549,857333,1095497
7/30/2021,2562489,2224177,1235623,1095342
7/29/2021,2433507,2223399,1186642,1093004
7/28/2021,2539760,2245374,1276296,1106309
7/27/2021,2493079,2241052,1267804,1099066
7/26/2021,2323169,2237329,1219135,1091923
7/25/2021,1364830,2238658,625645,1090445
7/24/2021,1852402,2244446,856250,1092584
7/23/2021,2557043,2225171,1219255,1083884
7/22/2021,2587338,2222907,1279778,1083864
7/21/2021,2509502,2222829,1225595,1083303
7/20/2021,2467017,2224705,1217802,1088224
7/19/2021,2332473,2224080,1208792,1091259
7/18/2021,1405344,2212294,640618,1085934
7/17/2021,1717480,2206874,795347,1085205
7/16/2021,2541195,2216366,1219118,1093856
7/15/2021,2586791,2185154,1275846,1079121
7/14/2021,2522633,2154046,1260044,1063216
7/13/2021,2462643,2142540,1239045,1059583
7/12/2021,2249975,2120261,1171521,1051351
7/11/2021,1367403,2012796,635511,994036
7/10/2021,1783921,2027499,855908,991106
7/9/2021,2322712,1993189,1115969,974275
7/8/2021,2369035,1989988,1164513,975010
7/7/2021,2442092,1979706,1234617,966439
7/6/2021,2306692,1966673,1181416,952906
7/5/2021,1497714,1972639,770321,951171
7/4/2021,1470325,2081098,615001,1005699
7/3/2021,1543756,2094109,738089,1011557
7/2/2021,2300302,2138696,1121116,1026342
7/1/2021,2297059,2179713,1104516,1039629
6/30/2021,2350864,2216946,1139886,1060247
6/29/2021,2348456,2245743,1169268,1077991
6/28/2021,2256926,2247323,1152019,1078397
6/27/2021,1561403,2249044,656004,1084086
6/26/2021,1855861,2224465,841585,1083594
6/25/2021,2587425,2214244,1214123,1083584
6/24/2021,2557684,2212692,1248843,1086663
6/23/2021,2552443,2212664,1264095,1091336
6/22/2021,2359521,2208627,1172110,1094757
6/21/2021,2268969,2225083,1191844,1109770
6/20/2021,1389352,2219143,652557,1107610
6/19/2021,1784312,2217801,841519,1106871
6/18/2021,2576562,2216548,1235675,1107965
6/17/2021,2557486,2201700,1281552,1105938
6/16/2021,2524189,2190434,1288040,1105273
6/15/2021,2474710,2171351,1277203,1101125
6/14/2021,2227391,2142129,1176722,1086573
6/13/2021,1379959,2142160,647385,1090004
6/12/2021,1775538,2139787,849178,1091060
6/11/2021,2472629,2142168,1221484,1094684
6/10/2021,2478619,2119555,1276901,1085948
6/9/2021,2390612,2085229,1259005,1066842
6/8/2021,2270152,2079215,1175335,1065428
6/7/2021,2227613,2078270,1200737,1073255
6/6/2021,1363344,1958797,654780,1002121
6/5/2021,1792204,1916338,874545,977848
6/4/2021,2314340,1856233,1160335,945511
6/3/2021,2238336,1845134,1143159,941945
6/2/2021,2348517,1862034,1249102,956675
6/1/2021,2263536,1852290,1230127,955525
5/31/2021,1391302,1854018,702801,958935
5/30/2021,1066132,1958564,484864,1028885
5/29/2021,1371467,1987729,648192,1051828
5/28/2021,2236646,2027099,1135369,1079212
5/27/2021,2356638,2041312,1246269,1091529
5/26/2021,2280311,2029494,1241052,1091200
5/25/2021,2275628,2026867,1253998,1092990
5/24/2021,2123129,2009544,1192453,1087515
5/23/2021,1270286,1995750,645466,1082588
5/22/2021,1647055,1985984,839877,1079200
5/21/2021,2336140,1984582,1221591,1079802
5/20/2021,2273912,1975267,1243965,1079591
5/19/2021,2261916,1960017,1253578,1070788
5/18/2021,2154370,1949239,1215676,1068704
5/17/2021,2026574,1948979,1157960,1071020
5/16/2021,1201918,1944310,621750,1069756
5/15/2021,1637242,1930998,844096,1063220
5/14/2021,2270937,1903488,1220112,1053947
5/13/2021,2167164,1899334,1182347,1054323
5/12/2021,2186470,1904612,1238990,1065207
5/11/2021,2152549,1889173,1231886,1053701
5/10/2021,1993889,1885131,1149109,1053038
5/9/2021,1108734,1882397,576000,1055381
5/8/2021,1444674,1888788,779188,1061675
5/7/2021,2241860,1898865,1222741,1067314
5/6/2021,2204111,1887624,1258536,1061968
5/5/2021,2078394,1863095,1158445,1048762
5/4/2021,2124252,1871870,1227250,1058667
5/3/2021,1974754,1860651,1165505,1054531
5/2/2021,1153471,1858419,620063,1053303
5/1/2021,1515211,1834355,818655,1042007
4/30/2021,2163175,1835048,1185321,1040651
4/29/2021,2032405,1829606,1166096,1040490
4/28/2021,2139820,1831273,1227777,1040527
4/27/2021,2045718,1806971,1198299,1027954
4/26/2021,1959131,1812816,1156913,1031574
4/25/2021,985027,1806506,540989,1030298
4/24/2021,1520057,1820431,809163,1039775
4/23/2021,2125087,1806856,1184193,1038945
4/22/2021,2044069,1800765,1166357,1035133
4/21/2021,1969710,1781659,1139762,1023237
4/20/2021,2086630,1789120,1223642,1031835
4/19/2021,1914960,1779034,1147977,1027937
4/18/2021,1082503,1769647,607333,1019340
4/17/2021,1425036,1743671,803352,1004637
4/16/2021,2082447,1739058,1157507,1002733
4/15/2021,1910326,1731624,1083083,1000847
4/14/2021,2021936,1746907,1199954,1014383
4/13/2021,2016030,1742227,1196355,1010441
4/12/2021,1849254,1732233,1087799,1004548
4/11/2021,900666,1728359,504407,1004684
4/10/2021,1392745,1735586,790023,1006885
4/9/2021,2030410,1725189,1144311,1001264
