month,borough,trip_type,route_id,period,average_speed
2018-01,Manhattan,LCL/LTD,M14A,Off-Peak,4.871812125
2018-01,Manhattan,LCL/LTD,M14A,Peak,4.491474839
2018-01,Manhattan,LCL/LTD,M14D,Off-Peak,4.978402375
2018-01,Manhattan,LCL/LTD,M14D,Peak,4.596670642
2018-02,Manhattan,LCL/LTD,M14A,Off-Peak,4.869815605
2018-02,Manhattan,LCL/LTD,M14A,Peak,4.5475913
2018-02,Manhattan,LCL/LTD,M14D,Off-Peak,4.976841302
2018-02,Manhattan,LCL/LTD,M14D,Peak,4.676787358
2018-03,Manhattan,LCL/LTD,M14A,Off-Peak,4.911822485
2018-03,Manhattan,LCL/LTD,M14A,Peak,4.539256451
2018-03,Manhattan,LCL/LTD,M14D,Off-Peak,5.010346489
2018-03,Manhattan,LCL/LTD,M14D,Peak,4.627445332
2018-04,Manhattan,LCL/LTD,M14A,Off-Peak,4.788390589
2018-04,Manhattan,LCL/LTD,M14A,Peak,4.474972226
2018-04,Manhattan,LCL/LTD,M14D,Off-Peak,4.909784147
2018-04,Manhattan,LCL/LTD,M14D,Peak,4.643272227
2018-05,Manhattan,LCL/LTD,M14A,Off-Peak,4.644874734
2018-05,Manhattan,LCL/LTD,M14A,Peak,4.340801862
2018-05,Manhattan,LCL/LTD,M14D,Off-Peak,4.739242124
2018-05,Manhattan,LCL/LTD,M14D,Peak,4.490032464
2018-06,Manhattan,LCL/LTD,M14A,Off-Peak,4.610439088
2018-06,Manhattan,LCL/LTD,M14A,Peak,4.304056505
2018-06,Manhattan,LCL/LTD,M14D,Off-Peak,4.6508812
2018-06,Manhattan,LCL/LTD,M14D,Peak,4.422760118
2018-07,Manhattan,LCL/LTD,M14A,Off-Peak,4.755796931
2018-07,Manhattan,LCL/LTD,M14A,Peak,4.499662832
2018-07,Manhattan,LCL/LTD,M14D,Off-Peak,4.787608845
2018-07,Manhattan,LCL/LTD,M14D,Peak,4.573156631
2018-08,Manhattan,LCL/LTD,M14A,Off-Peak,4.816492551
2018-08,Manhattan,LCL/LTD,M14A,Peak,4.601831167
2018-08,Manhattan,LCL/LTD,M14D,Off-Peak,4.875185321
2018-08,Manhattan,LCL/LTD,M14D,Peak,4.747532079
2018-09,Manhattan,LCL/LTD,M14A,Off-Peak,4.433413346
2018-09,Manhattan,LCL/LTD,M14A,Peak,4.290058916
2018-09,Manhattan,LCL/LTD,M14D,Off-Peak,4.78948998
2018-09,Manhattan,LCL/LTD,M14D,Peak,4.390208935
2018-10,Manhattan,LCL/LTD,M14A,Off-Peak,4.556816803
2018-10,Manhattan,LCL/LTD,M14A,Peak,4.252042378
2018-10,Manhattan,LCL/LTD,M14D,Off-Peak,4.626886082
2018-10,Manhattan,LCL/LTD,M14D,Peak,4.352200835
2018-11,Manhattan,LCL/LTD,M14A,Off-Peak,4.46319305
2018-11,Manhattan,LCL/LTD,M14A,Peak,4.212826031
2018-11,Manhattan,LCL/LTD,M14D,Off-Peak,4.715751699
2018-11,Manhattan,LCL/LTD,M14D,Peak,4.326305337
2018-12,Manhattan,LCL/LTD,M14A,Off-Peak,4.62541463
2018-12,Manhattan,LCL/LTD,M14A,Peak,4.360672226
2018-12,Manhattan,LCL/LTD,M14D,Off-Peak,4.779465069
2018-12,Manhattan,LCL/LTD,M14D,Peak,4.474189
2019-01,Manhattan,LCL/LTD,M14A,Off-Peak,4.827747313
2019-01,Manhattan,LCL/LTD,M14A,Peak,4.507645244
2019-01,Manhattan,LCL/LTD,M14D,Off-Peak,4.953267958
2019-01,Manhattan,LCL/LTD,M14D,Peak,4.635468737
2019-02,Manhattan,LCL/LTD,M14A,Off-Peak,4.696454756
2019-02,Manhattan,LCL/LTD,M14A,Peak,4.417046409
2019-02,Manhattan,LCL/LTD,M14D,Off-Peak,4.822823141
2019-02,Manhattan,LCL/LTD,M14D,Peak,4.541344016
2019-03,Manhattan,LCL/LTD,M14A,Off-Peak,4.710337403
2019-03,Manhattan,LCL/LTD,M14A,Peak,4.460668579
2019-03,Manhattan,LCL/LTD,M14D,Off-Peak,4.806652468
2019-03,Manhattan,LCL/LTD,M14D,Peak,4.580387027
2019-04,Manhattan,LCL/LTD,M14A,Off-Peak,4.761113022
2019-04,Manhattan,LCL/LTD,M14A,Peak,4.474510854
2019-04,Manhattan,LCL/LTD,M14D,Off-Peak,4.800935794
2019-04,Manhattan,LCL/LTD,M14D,Peak,4.604649085
2019-05,Manhattan,LCL/LTD,M14A,Off-Peak,5.090333385
2019-05,Manhattan,LCL/LTD,M14A,Peak,4.416553726
2019-05,Manhattan,LCL/LTD,M14D,Off-Peak,4.714825778
2019-05,Manhattan,LCL/LTD,M14D,Peak,4.49987921
2019-06,Manhattan,LCL/LTD,M14A,Off-Peak,5.249101256
2019-06,Manhattan,LCL/LTD,M14A,Peak,4.581413582
2019-06,Manhattan,LCL/LTD,M14D,Off-Peak,4.830000468
2019-06,Manhattan,LCL/LTD,M14D,Peak,4.653388639
2019-07,Manhattan,SBS,M14A-SBS,Off-Peak,5.354017068
2019-07,Manhattan,SBS,M14A-SBS,Peak,4.695125877
2019-07,Manhattan,SBS,M14D-SBS,Off-Peak,5.373173225
2019-07,Manhattan,SBS,M14D-SBS,Peak,5.077730864
2019-08,Manhattan,SBS,M14A-SBS,Off-Peak,5.380212136
2019-08,Manhattan,SBS,M14A-SBS,Peak,4.787855633
2019-08,Manhattan,SBS,M14D-SBS,Off-Peak,5.396995345
2019-08,Manhattan,SBS,M14D-SBS,Peak,5.193293692
2019-09,Manhattan,SBS,M14A-SBS,Off-Peak,5.740955378
