Zip_code,nadir,rec
10001,0.096595172,0.515721784
10002,0.330031205,0.779025441
10003,0.25091031,0.548633693
10005,0.073143394,0.464095508
10006,0.049764669,0.42675367
10007,0.130123875,0.484630112
10009,0.446790728,0.70703638
10010,0.226433016,0.530065105
10012,0.094939962,0.791847179
10013,0.115758787,0.681976495
10014,0.173007992,0.692246218
10016,0.182472865,0.58439454
10017,0.090396556,0.461854215
10018,0.068165541,0.5213538
10019,0.130598088,0.50793524
10020,0.031657116,0.372595549
10021,0.384452808,0.747224379
10022,0.11650072,0.486952287
10023,0.225073305,0.688702418
10024,0.286634986,0.863215859
10025,0.48452122,0.89960021
10027,0.378238874,0.74692745
10028,0.348360214,0.824224371
10029,0.695854805,0.912159003
10030,0.838825388,0.998880464
10031,0.866108638,0.772301449
10032,0.587468116,1.002479904
10033,0.550032391,0.979899746
10034,0.688621309,1.081604903
10035,0.885067163,0.812708569
10036,0.084971865,0.501998621
10037,0.751771602,0.844132569
10038,0.128126391,0.462038789
10039,1.132252408,0.887687056
10040,0.695628388,0.956083994
10103,0.024497012,0.420776165
10110,0.075172296,0.446161927
10111,0.019249957,0.401433418
10112,0.020789844,0.335365957
10119,0.043636371,0.428703107
10128,0.437760881,0.741952781
10152,0.052691218,0.29189602
10153,0.136975196,0.514258679
10154,0.111245335,0.350771439
10162,0.459025917,1.498677849
10165,0.039833668,0.499501985
10167,0.063360926,0.363320457
10168,0.044165042,0.51755797
10169,0.021935619,0.268390326
10170,0.039660835,0.436057212
10171,0.074864299,0.414997298
10172,0.083391473,0.384302267
10173,0.047553468,0.526968158
10174,0.055340577,0.399551769
10177,0.027700326,0.342225001
10271,0.049229854,0.444586283
10278,0.129045347,0.929539715
10279,0.07992645,0.474416587
10280,0.07402838,0.444099105
10282,0.087665924,0.360521191
10452,0.599567758,1.010068296
10453,0.93567249,0.998469167
10455,0.596641516,0.874564797
10456,1.024934623,1.021221474
10457,0.690440181,0.989653782
10458,0.459558305,0.927650681
10459,0.781659666,0.856861892
10460,0.669303334,0.810517921
10461,0.796046815,1.061289647
10462,0.725233878,0.912888723
10464,0.607444613,0.542195958
10465,0.961106446,1.121123891
10466,0.906740076,0.831685249
10467,0.896056007,0.982588331
10468,0.628905759,0.968263166
10469,0.838067974,0.978709081
10470,0.9139897,1.019227612
10471,0.573200369,1.089433956
10472,0.758949736,0.854931128
10473,0.763915247,0.918360398
10474,0.846253249,0.829489019
10475,0.532545569,1.038907974
11001,0.829664289,1.116867616
11004,0.902209889,1.18925881
11096,0.838932564,0.855143201
11101,0.395564772,0.896624467
11102,0.94004961,0.973145183
11103,0.506673063,1.105500512
11104,0.693174602,0.986210638
11105,0.906745656,1.14460769
11106,0.203214881,0.615760021
11109,0.591058781,0.705672221
11201,0.309405426,0.633040567
11203,0.94291588,1.082473646
11204,0.814596434,0.689258405
11205,0.616765211,0.932217171
11206,0.758373094,1.005181277
11207,0.802451339,0.785772226
11208,0.762729749,0.814816588
11209,0.779125741,0.839656077
11210,0.805676606,0.883599025
11211,0.470837999,0.805580412
11212,0.880615259,0.8490832
11213,0.819182595,0.884701204
11214,0.608579752,1.146887356
11215,0.618748129,1.025273201
11216,0.782951486,0.949739186
11217,0.439161027,0.762445368
11218,0.754364999,1.042231767
11219,0.981794071,1.017477744
11220,0.892002176,0.931543249
11221,1.037691095,0.996275309
11222,0.711997141,0.967589664
11223,0.84002974,1.041799685
11224,0.834571644,1.109046904
11225,0.820644447,0.936302635
11226,0.909247831,1.016688569
11228,0.892140942,1.238201182
11229,0.915280288,1.06360556
11230,0.882316906,0.834522833
11231,0.604333866,0.859029397
11232,0.39426038,0.553609555
11233,0.841049896,0.958552362
11234,0.685058888,1.030586097
11235,0.764415148,1.178873026
11236,1.068568603,0.989007523
11237,0.669571434,1.027722849
11238,0.818498591,0.751463093
11239,0.812122745,1.188184373
11354,0.584258201,1.064860875
11355,0.358902171,1.060976728
11356,0.678003574,1.469022502
11357,1.140623151,1.153715066
11358,0.614541465,1.073485667
11360,0.258134131,1.827564393
11361,0.790431781,1.252518242
11362,1.44709873,0.995229353
11363,0.945550138,0.692091079
11364,0.827332994,2.280785681
11365,0.538061304,1.210319977
11366,0.514767584,0.833257906
11367,0.825825595,1.303464435
11368,0.848261126,1.065910957
11369,0.750739549,1.418891114
11370,0.830004417,1.451768009
11372,0.452692517,1.125204723
11373,0.499641092,1.145040343
11374,0.691197534,1.536480267
11375,0.746424215,1.349660918
11377,0.953986737,1.185089831
11378,1.432819558,1.665501449
11379,0.867082879,1.676573097
11385,0.845338569,1.143101452
11411,0.762375209,2.678308087
11412,1.138976544,1.285482014
11413,0.789189013,0.793904584
11414,0.813380492,1.270160153
11415,0.655139289,1.207394501
11416,0.515591371,1.421492053
11417,0.669689964,1.329013388
11418,1.543510348,1.163952156
11419,0.922885412,1.63504519
11420,0.72226649,1.127317342
11421,1.331925003,1.346956976
11422,1.226509272,1.80924366
11423,0.873391766,2.271594276
11426,0.925443088,1.222630627
11427,0.92960234,1.33494095
11428,0.939616919,2.080956014
11429,1.107907501,1.346446218
11430,0.113355779,0.53694343
11432,0.454489588,1.533157607
11433,0.383083421,1.114489999
11434,0.735579808,1.4009563
11435,0.547968489,1.136984315
11436,0.544288583,0.97124049
11451,0.125774025,3.668465347
11691,0.953419739,0.814079055
11692,0.933952311,3.685001406
11693,0.97025316,1.368207258
11694,0.946516728,2.074956978
