Year,County,Vehicles
2008,BRONX,227231
2008,Brooklyn,394044
2008,Manhattan,223700
2008,QUEENS,661228
2008,Staten Island,245302
2009,BRONX,228207
2009,Brooklyn,398696
2009,Manhattan,220822
2009,QUEENS,663487
2009,Staten Island,245651
2010,BRONX,227955
2010,Brooklyn,403811
2010,Manhattan,221048
2010,QUEENS,667643
2010,Staten Island,246634
2011,BRONX,224051
2011,Brooklyn,404389
2011,Manhattan,220511
2011,QUEENS,668190
2011,Staten Island,247099
2012,BRONX,227105
2012,Brooklyn,408007
2012,Manhattan,221916
2012,QUEENS,671816
2012,Staten Island,247692
2013,BRONX,229628
2013,Brooklyn,419264
2013,Manhattan,223089
2013,QUEENS,684826
2013,Staten Island,251231
2014,BRONX,233854
2014,Brooklyn,429873
2014,Manhattan,224995
2014,QUEENS,696009
2014,Staten Island,253310
2015,BRONX,241115
2015,Brooklyn,442691
2015,Manhattan,226785
2015,QUEENS,711553
2015,Staten Island,257320
2016,BRONX,247957
2016,Brooklyn,453515
2016,Manhattan,227709
2016,QUEENS,722850
2016,Staten Island,261632
2017,BRONX,249216
2017,Brooklyn,457980
2017,Manhattan,225179
2017,QUEENS,725906
2017,Staten Island,264760
2018,BRONX,248120
2018,Brooklyn,456759
2018,Manhattan,221180
2018,QUEENS,721426
2018,Staten Island,264983
