YearMonth,Counts
201911,1869413
201912,1865036
202001,1863812
202002,1862532
202003,1857450
202004,1840871
202005,1830437
202006,1834771
202007,1848433
202008,1853631
202009,1861345
202010,1869847
202011,1875367
202012,1879784
202101,1881547
202102,1878425
202103,1884084
202104,1929055
202105,1932627
202106,1943261
202107,1950024
202108,1950812
202109,1951614
202110,1949249
202111,1946104
202112,1939886
