Boro,No Vehicle,1 Vehicle,2 Vehicles,3 or More Vehicles,Total Households,No Vehicle Pct,1 Vehicle Pct,2 Vehicles Pct,3 or More Vehicles Pct,Total Vehicles,Ratio
Bronx,318078,147975,38211,9626,513890,0.618961256,0.287950729,0.07435638,0.018731635,256654,0.499433731
Brooklyn,545385,332236,83199,17271,978091,0.557601491,0.339678005,0.085062637,0.017657866,554591,0.567013703
Manhattan,596127,151780,15827,4469,768203,0.776001916,0.197577984,0.020602627,0.005817473,199960,0.260295781
Queens,292320,313875,132843,45514,784552,0.372594806,0.400069084,0.169323385,0.058012726,728793,0.928928866
Staten Island,28383,57821,56186,23907,166297,0.170676561,0.347697192,0.337865385,0.143760862,251098,1.50993704
