Year,George_Washington_Bridge,Lincoln_Tunnel,Holland_Tunnel,Goethals_Bridge,Outerbridge_Crossing,Bayonne_Bridge,Total
January-11,3695684,1487813,1236450,1013561,1053365,262283,8749156
February-11,3587374,1453817,1226770,1000142,1039569,257419,8565091
March-11,4221447,1711098,1435707,1168410,1208881,302679,10048222
April-11,4255625,1704764,1403554,1166681,1215639,300070,10046333
May-11,4483446,1744676,1457144,1249166,1297228,313124,10544784
June-11,4474718,1729257,1447245,1249564,1315660,314230,10530674
July-11,4646097,1713646,1469957,1325269,1357849,306207,10819025
August-11,4415798,1663648,1391267,1255443,1281346,301245,10308747
September-11,4195808,1638207,1347191,1198164,1225084,297538,9901992
October-11,4145059,1686179,1391174,1186503,1217997,294054,9920966
November-11,4101174,1624250,1360280,1169558,1175896,290553,9721711
December-11,4175177,1672079,1422961,1195988,1229855,297024,9993084
January-12,3781788,1510709,1287761,1061906,1106579,277750,9026493
February-12,3716610,1464800,1258525,1039786,1086885,271941,8838547
March-12,4124500,1634450,1408648,1148825,1197527,299551,9813501
April-12,4134467,1633764,1365421,1166113,1197886,293024,9790675
May-12,4348902,1652937,1440753,1216872,1261677,308448,10229589
June-12,4298201,1624182,1424569,1230779,1291571,303953,10173255
July-12,4276079,1609256,1421140,1277963,1310687,299695,10194820
August-12,4422202,1641481,1444077,1296117,1343245,312325,10459447
September-12,4070506,1561978,1348588,1153291,1202396,283566,9620325
October-12,3949978,1556431,1272003,1091633,1131840,279714,9281599
November-12,3892052,1520182,1046097,1153915,1148408,280807,9041461
December-12,4095636,1604865,1399951,1166420,1227962,287728,9782562
January-13,3830276,1474388,1283310,1068959,1125764,279932,9062629
February-13,3426080,1325372,1157853,947736,1000685,249747,8107473
March-13,4065855,1587688,1369232,1134529,1192967,283081,9633352
April-13,4112127,1565983,1355016,1123174,1193917,288071,9638288
May-13,4343637,1634667,1409980,1182806,1264417,302573,10138080
June-13,4291856,1597360,1386529,1186320,1278407,293505,10033977
July-13,4465522,1579328,1403023,1309880,1188235,299264,10245252
August-13,4500807,1655961,1406358,1368812,1200648,307269,10439855
September-13,4098852,1562146,1323592,1240948,1062572,286315,9574425
October-13,4270770,1634586,1396817,1240313,1117240,301657,9961383
November-13,4016385,1559777,1326572,1122564,1112196,282641,9420135
December-13,3980077,1568694,1339287,1140219,1138312,266325,9432914
January-14,3569088,1409508,1182062,975666,998439,236061,8370824
February-14,3172907,1277459,1061542,876723,899500,207434,7495565
March-14,4003444,1574585,1314376,1099805,1123228,247515,9362953
April-14,4118130,1594801,1276855,1156609,1158505,240789,9545689
May-14,4412253,1666298,1360976,1249255,1239181,230416,10158379
June-14,4247633,1635328,1347706,1226958,1246114,249395,9953134
July-14,4366984,1603049,1366826,1270819,1279123,250536,10137337
August-14,4503805,1643217,1397065,1318147,1324550,215960,10402744
September-14,4141635,1576301,1313770,1184505,1182443,215817,9614471
October-14,4246759,1658428,1339190,1193422,1190251,243349,9871399
November-14,4063038,1548544,1278995,1139796,1130360,207807,9368540
December-14,4190613,1603447,1331235,1184769,1193810,232744,9736618
January-15,3613894,1401488,1146262,1025364,1018022,198710,8403740
February-15,3376558,1344534,1103138,979080,943618,166023,7912951
March-15,3962433,1582276,1258086,1139980,1109119,194723,9246617
April-15,4186615,1596498,1302519,1218600,1185048,167765,9657045
May-15,4465676,1669186,1375465,1255932,1292734,191820,10250813
June-15,4387567,1610822,1330957,1244082,1282536,181418,10037382
July-15,4622590,1614447,1354588,1334481,1321375,169705,10417186
August-15,4721645,1659999,1364192,1343397,1372381,160308,10621922
September-15,4247572,1555832,1262846,1252046,1218191,161798,9698285
October-15,4364137,1674385,1329328,1299405,1235862,149906,10053023
November-15,4199613,1590190,1267025,1263763,1191523,148348,9660462
December-15,4308497,1631931,1314614,1307038,1258111,167150,9987341
January-16,3719694,3719694,1143834,1120404,1079561,129334,8612839
February-16,3741641,3741641,1154912,1126553,1082731,124720,8681847
March-16,4271470,4271470,1307874,1287266,1238581,145374,9880972
April-16,4214925,4214925,1290454,1292835,1239590,128212,9770105
May-16,4466486,4466486,1337951,1376413,1309716,147981,10326501
June-16,4446971,4446971,1307961,1374100,1347362,139225,10262559
July-16,4666357,4666357,1324314,1428957,1394180,121084,10578762
August-16,4763470,4763470,1329611,1434492,1412729,135982,10734982
September-16,4366695,4366695,1274144,1313677,1284812,132910,9966761
October-16,4414346,4414346,1317156,1303599,1306641,144614,10143540
November-16,4245113,4245113,1317156,1276940,1241045,164979,9785758
December-16,4313273,4313273,1305930,1316571,1294487,166993,10026745
January-17,3950784,1479737,1171765,1202508,1159905,137495,9102194
February-17,3634905,1387010,1081274,1134782,1086744,122429,8447144
March-17,4062892,1548623,1202299,1228811,1218530,172505,9433660
April-17,4318938,1608477,1232657,1308801,1300541,193946,9963360
May-17,4493279,1647122,1271683,1369561,1331365,220123,10333133
June-17,4486650,1634891,1271115,1326189,1403174,240046,10362065
July-17,4688669,1619943,1288208,1426336,1431282,197634,10652072
August-17,4744720,1649198,1299780,1453376,1439517,218735,10805326
September-17,4347181,1610040,1247725,1353060,1316205,197682,10071893
October-17,4423487,1662992,1297407,1364580,1334252,212596,10295314
November-17,4285938,1582289,1240604,1306292,1264972,217591,9897686
December-17,4282644,1608888,1267026,1339165,1301480,231341,10030544
January-18,3871359,1467644,1133249,1165265,1157212,221407,9016136
February-18,3683941,1385630,1083022,1144772,1085164,197449,8579978
March-18,4104040,1573439,1221060,1277638,1207349,221336,9604862
April-18,4275331,1605337,1217665,1347937,1276282,223598,9946150
May-18,4527996,1657619,1303068,1391407,1346432,263953,10490475
June-18,4534633,1632375,1297741,1394377,1378805,284046,10521977
July-18,4601082,1639848,1304644,1526011,1384088,235085,10690758
August-18,4695184,1624844,1327294,1561510,1401026,260558,10870416
September-18,4281397,1574976,1261964,1414861,1267688,232294,10033180
October-18,4384187,1652776,1335361,1478759,1286469,241842,10379394
November-18,4176934,1555649,1255408,1412225,1215941,234599,9850756
December-18,4368600,1589869,1330588,1462778,1283285,238527,10273647
January-19,3920647,1438391,1209966,1326867,1143834,202396,9242101
February-19,3677566,1357207,1128086,1244714,1069614,191748,8668935
March-19,4241762,1585107,1266571,1431155,1229237,248778,10002610
April-19,4278887,1567347,1300323,1492767,1239935,219997,10099256
May-19,4511523,1628922,1362005,1550624,1304329,295167,10652570
June-19,4504891,1584281,1330235,1552833,1309411,302228,10583879
July-19,4655381,1536618,1330571,1585402,1336098,308588,10752658
August-19,4712338,1609042,1357102,1606482,1365593,325927,10976484
September-19,4333042,1576712,1313449,1469194,1281867,315625,10289889
October-19,4439508,1588721,1367121,1493013,1279201,317235,10484799
November-19,4331476,1522676,1312946,1425892,1241748,308973,10143711
