Year,George_Washington_Bridge,Lincoln_Tunnel,Holland_Tunnel,Goethals_Bridge,Outerbridge_Crossing,Bayonne_Bridge,Total
December-19,4353941,1539284,1356034,1486423,1277033,318069,10330784
January-20,4063426,1432628,1250810,1373385,1177020,280005,9577274
February-20,3939733,1393271,1221499,1338786,1124163,266860,9284312
March-20,3121055,1026043,909070,1061686,894861,222456,7235171
April-20,1788278,477458,445082,575424,538947,139765,3964954
May-20,2822993,726692,689010,901309,823950,192345,6156299
June-20,3538604,972034,837446,1174939,1066783,235439,7825245
July-20,4045269,1174071,971196,1361413,1201538,259010,9012497
August-20,4156713,1311846,1043546,1432570,1253091,273843,9471609
September-20,3952200,1301439,1023213,1374221,1192707,268193,9111973
October-20,4017151,1387270,1067144,1334297,1208797,295202,9309861
November-20,3680223,1236769,985005,1289189,1058353,253603,8503142
December-20,3616544,1243134,996097,1252335,1027063,241598,8376771
January-21,3598788,1196872,989988,1227474,1011533,234965,8259620
February-21,3083196,1032133,845360,1035230,840209,197916,7034044
March-21,4012394,1400125,1111118,1352009,1113919,258596,9248161
April-21,4008591,1452684,1120903,1378093,1156266,269080,9385617
May-21,4354080,1544681,1203078,1477971,1266023,311412,10157245
June-21,4398152,1591763,1236678,1500682,1307649,336332,10371256
July-21,4626275,1604648,1234735,1572358,1316647,330634,10685297
August-21,4571841,1606606,1246009,1585296,1302183,340005,10651940
September-21,4128656,1587710,1224037,1470208,1192822,328987,9932420
October-21,4240306,1699251,1297801,1528612,1263570,361670,10391210
November-21,4154044,1610170,1261555,1468645,1196797,346386,10037597
