Date,Total_CBDInbound,Avg_CBDInbound,Total_MNInbound,Avg_MNInbound,MIM_Midtown_Speed,ERB_In7a7p,Avg_ERB_In7a7p
9/16/2019,342309,412624,786152,954104.4,,157423,159883.4286
9/17/2019,347387,406804.8,800291,950263.6,,157178,157432.2857
9/18/2019,450687,402272.6,1035521,946319,,163008,155858.4286
9/19/2019,459701,396275.6,1057233,942974.4,,161567,153146.5714
9/20/2019,463036,391223.2,1091325,938745.2,,158993,151674.5714
9/21/2019,,389119.4,,934842.6,,163104,150906.5714
9/22/2019,,401171.5,,961783.3333,,157911,151171.1429
9/23/2019,313213,405243,766948,972877.8571,,140265,151169
9/24/2019,324726,420581.3333,780568,1007199.5,,146161,153128.8571
9/25/2019,420702,437773.5,1018798,1045192.667,,144025,154257.5714
9/26/2019,434439,439600.5,1036087,1044231.833,,151263,155657.7143
9/27/2019,452517,438540.6667,1071812,1037596.333,,153617,155268.1429
9/28/2019,461432,440862.6667,1096487,1038961,,164956,157104.7143
9/29/2019,429672,441272.8333,1039445,1035357,,157896,157479.2857
9/30/2019,,442046,,1030438.5,,153984,157575.5714
10/1/2019,427879,441662.2857,1008527,1028211.286,,154062,158162.7143
10/2/2019,431664,441974,1013033,1027298,,153826,158616.4286
10/3/2019,428080,438815.7143,996274,1017759.143,,148536,157785.2857
10/4/2019,466449,442780.1429,1080000,1025159.143,,166473,160456
10/5/2019,463893,443954.1429,1074863,1027817.571,,167578,160696.8571
10/6/2019,434311,444104,1009934,1027784.143,,158570,160968.2857
10/7/2019,439360,444782.2857,1014848,1031834.714,,158094,161299.1429
10/8/2019,430061,441042.5714,1002134,1028183.714,,157238,160040
10/9/2019,409556,443985.4286,946261,1034283.857,,148008,161342.5714
10/10/2019,455831,447621.5714,1048074,1042815.143,,167231,162324
10/11/2019,474667,448609.2857,1098609,1044201.429,,168159,162317
10/12/2019,464942,447962,1074629,1042915.714,,169478,161938.7143
10/13/2019,439059,448403.7143,1038288,1045943.143,,160886,161980.2857
10/14/2019,413182,446766.5714,989291,1039779.714,,149280,161231.4286
10/15/2019,450661,450110.7143,1044835,1044484.714,,166356,162862.1429
10/16/2019,435009,447262.5714,1005980,1035269.286,,154878,160985.4286
10/17/2019,462745,448824.2857,1057778,1039499.143,,167182,161834
10/18/2019,470136,446676,1089609,1037402.857,,165511,160452.4286
10/19/2019,468034,447073.8571,1095821,1038359.857,,169769,160662.5714
10/20/2019,427599,448117.8571,995144,1037966.857,,155644,160952.8571
10/21/2019,436591,448227.7143,1022226,1032534.429,,160695,160200.2857
10/22/2019,430724,449395.2857,980327,1033795.714,,153219,160103.2857
10/23/2019,445941,449094.1429,1035589,1034169.429,,160818,159870.4286
10/24/2019,447707,446960.2857,1043104,1028661.286,,157511,158779
10/25/2019,472921,443790.2857,1096308,1018657.429,,166982,157216.8571
10/26/2019,475342,442890.2857,1093070,1014857.571,,171801,156364.2857
10/27/2019,428368,439443.8571,957117,1008498.429,,150376,155548.4286
10/28/2019,444764,434341.7143,1031055,1006733.143,,160016,150750.8571
10/29/2019,428616,434220.8571,982943,1006949.143,,151589,150670.4286
10/30/2019,431004,435182,997032,1008441.286,,153178,151352.4286
10/31/2019,425517,437121,973077,1013249.857,,146576,152236.1429
11/1/2019,466621,439874.2857,1069709,1021601.714,,161014,154052.4286
11/2/2019,451217,438719.4286,1048556,1021884.857,,166090,154552.4286
11/3/2019,392653,439490,944760,1022904.857,,116793,154875.5714
11/4/2019,443918,446104.7143,1032567,1031967.857,,159453,161538.2857
11/5/2019,435344,441151.5714,993388,1024068.857,,156363,160305.4286
11/6/2019,444577,438138.2857,1030692,1020737.143,,159364,157416.2857
11/7/2019,444790,436257.1429,1031540,1016997.571,,159290,156577.8571
11/8/2019,458537,436890.4286,1071691,1015904.714,,164514,157136.8571
11/9/2019,456611,435280.2857,1055696,1015574.143,,168352,156191.7143
11/10/2019,438956,434274.7143,1008201,1013103.714,,163432,154895.2857
11/11/2019,409246,432682.8571,977274,1004857.857,,150823,154154.8571
11/12/2019,414251,430794.8571,970066,994963.4286,,136139,150569.8571
11/13/2019,431409,432553.1429,1004515,994640.8571,,153495,153235.1429
11/14/2019,449223,433177.1429,1023890,994294.4286,,163203,153848.2857
11/15/2019,447266,432920,1069377,995641.2857,,157898,153287
11/16/2019,449572,432468.7143,1038403,990632.8571,,159277,152300
11/17/2019,427813,432665,950480,991934.1429,,158249,152863.1429
11/18/2019,396030,428306,908013,987023,,125728,150285.7143
11/19/2019,426559,433176.1429,967808,1001738.429,,154796,154617.5714
11/20/2019,435777,433439.4286,1002090,1007449.429,,157787,154607.2857
11/21/2019,447423,433049.8333,1033318,1008342.667,,159274,153865.7143
11/22/2019,444107,421040,1034318,993797.6667,,150989,149554.5714
11/23/2019,450946,411645.3333,1047512,981025,,163219,148697.1429
11/24/2019,397300,404268.3333,916102,975635.8333,,140207,147932.1429
11/25/2019,430121,400810.8333,1011021,969035,,156051,148284.5714
11/26/2019,428402,389149,1007785,942068.6667,,154724,142323.1429
11/27/2019,,379613.5,,923951.1667,,152596,138034.2857
11/28/2019,375364,382641,946048,922492.1429,,129096,136923
11/29/2019,387739,391374.4286,957682,928723.1429,,144987,140427
11/30/2019,406684,399705.2857,1015177,938208.2857,,157864,141385.8571
12/1/2019,376555,406141.4286,876497,940228.8571,,142674,141756.1429
12/2/2019,360150,413597.1429,849223,953498,,114321,144238.7143
12/3/2019,371189,419538.2857,899080,961498.7143,,124702,147098.5714
12/4/2019,400806,424628.1429,913738,965982.4286,,144817,148802.4286
12/5/2019,436498,426616,989665,968244.4286,,153624,148440
12/6/2019,446055,428021.5714,1024078,972954.5714,,151699,148625.7143
12/7/2019,451737,426883.7143,1029321,968088.7143,,160456,147087
12/8/2019,428745,422019.2857,969381,956384.8571,,160052,144189.2857
12/9/2019,401738,413825.4286,905228,949701.1429,,134340,138865.5714
12/10/2019,406818,413204.1429,930466,955106.4286,,136629,138342.1429
12/11/2019,414721,413214.4286,929572,951646.4286,,142280,138472
12/12/2019,446337,413638,1022636,957605.2857,,154924,139152.2857
12/13/2019,438090,410672.5714,990017,952235.7143,,140928,138190.5714
12/14/2019,417686,412048.2857,947394,957540.7143,,140172,139465.2857
12/15/2019,371388,415257.8571,922595,966981.4286,,122786,142006.5714
12/16/2019,397389,420580.8571,943065,970818.5714,,130676,145722
12/17/2019,406890,423027,906246,977010.4286,,137538,148396.5714
12/18/2019,417686,420183.1429,971284,983670.1429,,147042,149408.1429
12/19/2019,425579,408229,985049,961962.7143,,148192,145027.4286
12/20/2019,447720,400970,1027152,946940.2857,,149851,143337.2857
12/21/2019,440153,392425.1429,1013479,933630.2857,,157961,141534.1429
12/22/2019,408649,383168.7143,949455,921920.4286,,148794,139103.1429
12/23/2019,414512,374881.2857,986408,908612.1429,,149398,136918.1429
12/24/2019,386983,368498.5714,952864,889738,,144619,133628
12/25/2019,334007,365517.8571,819332,881172.7143,,116377,131831.7143
12/26/2019,374766,368352,879892,881572.8571,,136361,132189.4286
12/27/2019,387906,370478.7143,933982,889246,,137229,133735.7143
12/28/2019,375358,369262.8571,931510,885561.8571,,140944,133156.7143
12/29/2019,350637,367092.4286,856297,874473.8571,,133499,131509
12/30/2019,369833,368733.2857,854289,871407.4286,,126367,133353.1429
12/31/2019,366118,369211,892907,873270.1429,,132045,135383.8571
1/1/2020,353846,371410.7143,822133,873334.2857,,118881,137651.1429
1/2/2020,389653,375690.4286,933604,882907.7143,,147185,141326.1429
1/3/2020,379395,377483.5714,908193,883074.1429,,133176,141495.7143
1/4/2020,360165,381365.7143,853894,888922.7143,,129410,143144.4286
1/5/2020,362123,388659.5714,834832,902973.8571,,146408,146364.7143
1/6/2020,373177,392130.1429,867328,910765.1429,,140582,146442.8571
1/7/2020,381516,393705.5714,893356,913971.1429,,147916,146265.1429
1/8/2020,383804,392240.1429,889147,909610.5714,,144606,144981.8571
1/9/2020,402205,393938.7143,934769,913945.7143,,148372,145543
1/10/2020,406570,395377.5714,949133,913821.5714,,144717,145272.8571
1/11/2020,411222,398790.4286,952252,919271.4286,,151952,146543.8571
1/12/2020,386417,392558.5714,889371,897734,,146955,142758.4286
1/13/2020,384205,389210.4286,889770,886809.8571,,139338,141808.8571
1/14/2020,371258,384775.4286,862832,877497.8571,,138933,141357
1/15/2020,395694,384710.8571,919493,874031.2857,,148534,142552.8571
1/16/2020,412277,384642.4286,933900,872420.2857,,146481,142557.4286
1/17/2020,430460,386589.8571,987282,876172.8571,,153614,144233.7143
1/18/2020,367599,386334.8571,801490,875322.7143,,125454,144439
1/19/2020,362980,390378.8571,812902,879201.7143,,140308,145958.8571
1/20/2020,353160,396297.4286,824586,893914,,136175,148077.8571
1/21/2020,370806,404711.2857,838566,911189.1429,,147304,150415.5714
1/22/2020,395215,411096.8571,908216,927124.1429,,148566,151954.8571
1/23/2020,425909,415622.8571,960168,934598.1429,,158215,153793
1/24/2020,428675,417330.4286,981331,938338.5714,,155051,154348.1429
1/25/2020,395907,417926.8571,828643,938700.8571,,136093,154609.8571
1/26/2020,404410,420848.7143,915888,953525.8571,,155141,156817
1/27/2020,412057,418355.2857,945512,947070.5714,,152539,156032.4286
1/28/2020,415505,417312.1429,950111,945772.7143,,158079,155838.4286
1/29/2020,426897,414332,960534,940148,,161433,154678
1/30/2020,437862,408639.7143,986351,933666.5714,,162101,152139.7143
1/31/2020,432850,400402.5714,983867,919157.4286,,156883,146349.5714
2/1/2020,416360,399573.8571,932418,916755.4286,,151543,145117.4286
2/2/2020,386956,403153.1429,870701,926769.1429,,149649,147012
2/3/2020,404755,406569.2857,936427,934162.1429,,151181,147993.8571
2/4/2020,394644,403921.4286,910738,928826.2857,,149956,144572.4286
2/5/2020,387051,403068.8571,915164,927684.5714,,143665,142651.2857
2/6/2020,380202,408796.4286,884787,936284,,121570,145342.8571
2/7/2020,427049,411133.5714,967053,936041.8571,,148258,148098.7143
2/8/2020,441415,414853,1002514,947786.5714,,164805,149454.5714
2/9/2020,410869,413323.1429,922452,945658.4286,,156522,148906.4286
2/10/2020,386220,411889.5714,899076,946057.7143,,127231,148453.8571
2/11/2020,388676,411662,902746,947710.1429,,136508,150744.1429
2/12/2020,427144,412492.4286,975360,950061.7143,,162506,152128
2/13/2020,396562,410206.5714,883092,948134,,140861,151012.5714
2/14/2020,453085,416628.4286,1049266,966586.2857,,157749,154398.8571
2/15/2020,430706,413042.2857,987617,957314.4286,,160968,154911.2857
2/16/2020,400834,411356.8571,925247,953764.5714,,153354,155198
2/17/2020,384627,409982.2857,910643,950306.1429,,143263,155400.4286
2/18/2020,394489,412592.4286,919207,953610,,146195,157452.4286
2/19/2020,411143,412672.1429,961866,951983,,154698,157521.1429
2/20/2020,441515,409303.5714,1012258,941752.5714,,164565,155302
2/21/2020,427982,405962.4286,984363,934305.2857,,161336,154413.2857
2/22/2020,418908,406879.8571,962768,937944.8571,,162975,154856.8571
2/23/2020,391212,406900.8571,901038,939338.2857,,154771,155171.2857
2/24/2020,402898,407456.8571,933770,943823.2857,,157627,154672.1429
2/25/2020,395047,408770.8571,907818,947852.7143,,146676,154049.5714
2/26/2020,387563,411253,890253,955917.5714,,139164,154918.1429
2/27/2020,418127,417514.2857,960127,971854.2857,,158344,157702.1429
2/28/2020,434404,421080.8571,1009840,981632.1429,,164441,158120.7143
2/29/2020,419055,421205.7143,972522,982132.4286,,165176,156430
3/1/2020,395104,422183.8571,932433,985596.8571,,151277,156076.5714
3/2/2020,412096,421701.5714,961976,983730,,153269,156252.7143
3/3/2020,412422,421402,964272,984845.5714,,152756,156897.7143
3/4/2020,431392,421658.4286,1001810,977297.5714,,158652,157604
3/5/2020,443093,420756,1028572,972672.2857,,161274,158451.1429
3/6/2020,435278,418079.7143,1013342,964439,,152606,158096.7143
3/7/2020,425902,413827.7143,996773,955372.7143,,162702,158556.1429
3/8/2020,391728,401358.2857,919365,929862,,152510,156587.5714
3/9/2020,409999,386445,969785,898345.5714,,157784,153166
3/10/2020,414217,380219.1429,911436,880435.7143,,157700,153653.4286
3/11/2020,425075,367127.5714,969433,858512,,164582,151522.5714
3/12/2020,424359,351549.2857,970939,827806,6.77,158793,148777
3/13/2020,405514,330790.1429,949878,783537.2857,7.25,155822,143969.5714
3/14/2020,338616,312743.1429,818198,744862,10.82,148922,139762.8571
3/15/2020,287335,292598.8571,698750,699862.2857,11.88,128559,132566.7143
3/16/2020,366418,273211.1429,844416,653253.1429,8.81,161196,125382
3/17/2020,322576,247050.5714,757970,595659.5714,9.87,142784,113999.8571
3/18/2020,316027,230135.2857,754491,558244.1429,10.28,145363,107281.7143
3/19/2020,279045,213214.1429,661058,518346.7143,11.21,125141,99662.28571
3/20/2020,279185,202298.1429,679151,494266.1429,11.43,126375,95419.71429
3/21/2020,197606,191406.5714,503200,468988.5714,13.2,98549,90912.85714
3/22/2020,151621,181628.1429,372486,443891.4286,13.67,78266,86095.85714
3/23/2020,183294,175296.2857,441261,428650,12.48,81521,82518.85714
3/24/2020,204169,174525.2857,496062,427812.5714,12.87,95757,83255
3/25/2020,197579,170683.2857,475209,419057.1429,12.72,92027,81845.85714
3/26/2020,202633,168639.4286,492494,415092.8571,12.65,95443,81647.42857
3/27/2020,202944,165633.5714,502208,408615,12.66,94827,81048
3/28/2020,129157,162358.1429,327520,400703.2857,13.65,64830,80383.85714
3/29/2020,107298,162639,265796,401969.7143,14.51,53227,80881
3/30/2020,177897,164304.7143,435399,406255.1429,13.14,86674,82116.14286
3/31/2020,177275,164379.1429,434774,406801.8571,13.26,85893,82453
4/1/2020,183272,164684.4286,447459,407868.5714,12.93,90638,83025.42857
4/2/2020,181592,163752.5714,447149,405850.5714,13.15,91247,82682
4/3/2020,180016,161507.2857,446826,400001.1429,13.13,90178,81109.57143
4/4/2020,131123,160894.4286,336385,397865.2857,14.38,68310,81159.71429
4/5/2020,118958,162144.7143,295794,400703.8571,14.06,61873,81888
4/6/2020,178418,162825.8571,439226,401831.1429,13.13,89032,82191
4/7/2020,179412,160266.4286,442241,394058.2857,13,89900,80371.71429
4/8/2020,176749,162520,433333,399931.1429,13.27,88234,81865.28571
4/9/2020,165875,164392.5714,406203,404780,13.21,80240,82790.14286
4/10/2020,175726,168677.1429,431875,415233.1429,13.34,90529,85659.71429
4/11/2020,139875,173060,356255,426872,13.91,73408,87861.85714
4/12/2020,123726,173919.2857,303685,428799.4286,13.93,63994,88043.42857
4/13/2020,160502,177608.1429,384816,439004.7143,12.61,76297,90171.42857
4/14/2020,195187,184254.1429,483351,456299.5714,12.84,100355,94134.14286
4/15/2020,189857,185463,467275,456920.2857,13.2,94708,94415.85714
4/16/2020,195867,190209.1429,479375,466749.5714,13.22,100327,96617.71429
4/17/2020,206406,193746.2857,513347,474156.4286,13.03,105944,98314
4/18/2020,145890,194356.4286,369747,474392,13.4,74679,98042
4/19/2020,149548,199835.4286,375122,489427.5714,13.04,78890,101235.7143
4/20/2020,207024,198039,505880,484219.1429,12.47,104036,99873.28571
4/21/2020,203649,199870.7143,487696,487233.4286,12.31,102327,101009.7143
4/22/2020,223080,204391.4286,536080,499404.4286,12.41,110121,103106.8571
4/23/2020,220627,205623.7143,531223,501679.8571,12.34,112201,104076.8571
4/24/2020,210677,206404.1429,514996,503033.8571,12.36,104040,104027.7143
4/25/2020,184243,210928.1429,474996,513598.1429,13.57,97035,106280.7143
4/26/2020,136973,213633.1429,338663,520916.5714,13.31,69353,107240
4/27/2020,219846,219884.1429,526980,539220.2857,12.39,111991,110370.4286
4/28/2020,235294,223527,572893,548392.1429,12.16,117007,111736.4286
4/29/2020,231706,225709.5714,552008,552866.4286,12.99,116911,112764
4/30/2020,226090,227649.4286,540701,558026.5714,12.6,111857,113249.1429
5/1/2020,242345,232496.4286,588946,571041.5714,12.53,119811,115318.7143
5/2/2020,203178,234238.1429,526225,576043.2857,13.81,103750,115855.8571
5/3/2020,180730,233991.1429,466789,574755.4286,14.01,91266,115982.8571
5/4/2020,245346,236913.8571,591183,582943.5714,12.88,121553,117063.4286
5/5/2020,250572,238163.5714,604213,585578.7143,12.15,124200,117542
5/6/2020,245285,239912.1429,588129,590047.5714,12.16,120307,117974.4286
5/7/2020,260019,243408,631806,598555.4286,12.66,126344,119171.7143
5/8/2020,254537,245909.5714,623958,603606.8571,12.4,123571,120160.1429
5/9/2020,201449,250111,517210,615271.1429,13.85,104639,121746.1429
5/10/2020,201189,253867.4286,524106,628285.5714,13.99,98830,121987.8571
5/11/2020,254094,254088.8571,609629,629307,12.72,124903,122184.1429
5/12/2020,262812,257501.1429,635495,638691,12.5,127227,123897.2857
5/13/2020,269756,260880,647684,646928,12.91,128688,125704.5714
5/14/2020,277530,263726.7143,667166,654737,12.62,133263,127155.8571
5/15/2020,283947,265711,705608,662286,12.49,134673,127346.7143
5/16/2020,227744,267689.2857,608311,670000.5714,14,106331,127386.5714
5/17/2020,202739,264145.2857,531256,659552.1429,14.19,100204,126507.8571
5/18/2020,277980,266676.4286,675317,667614.4286,12.29,136895,127374.2857
5/19/2020,286464,258587.8571,693154,654677.1429,12.18,139878,122595.5714
5/20/2020,289683,260921.7143,702347,661501.2857,12.23,138847,122522.2857
5/21/2020,291420,263335,720009,668158.5714,11.8,134599,122950.1429
5/22/2020,297795,264628.8571,759610,670848.5714,11.69,134952,123790.7143
5/23/2020,202936,265184.2857,535172,670186.8571,13.98,100180,124489.5714
5/24/2020,220457,271155.2857,587692,688212.5714,13.34,106269,126478.8571
5/25/2020,221360,271997.7143,584756,692803.5714,13.69,103444,126103.7143
5/26/2020,302801,283311.2857,740923,715852,11.6,139365,131119
5/27/2020,306576,279487.1429,748948,709998.8571,11.31,141842,131545.1429
