YearMonth,Green Taxi,Yellow Taxi,For-Hire Vehicle,Total Trips,Green Taxi Pct,Yellow Taxi Pct,For-Hire Vehicle Pct,Unique Drivers,Unique Vehicles
2010-01,0,14860656,0,14860656,0.0000,1.0000,0.0000,30659,13305
2010-02,0,11143132,0,11143132,0.0000,1.0000,0.0000,28255,12171
2010-03,0,12882577,0,12882577,0.0000,1.0000,0.0000,28709,12183
2010-04,0,15143940,0,15143940,0.0000,1.0000,0.0000,30827,13326
2010-05,0,15480594,0,15480594,0.0000,1.0000,0.0000,30950,13309
2010-06,0,14824110,0,14824110,0.0000,1.0000,0.0000,30812,13305
2010-07,0,14655312,0,14655312,0.0000,1.0000,0.0000,30562,13307
2010-08,0,12527565,0,12527565,0.0000,1.0000,0.0000,28574,12206
2010-09,0,15539160,0,15539160,0.0000,1.0000,0.0000,28989,12221
2010-10,0,14197876,0,14197876,0.0000,1.0000,0.0000,29128,12268
2010-11,0,13911030,0,13911030,0.0000,1.0000,0.0000,29348,12347
2010-12,0,13817537,0,13817537,0.0000,1.0000,0.0000,29414,12491
2011-01,0,13463207,0,13463207,0.0000,1.0000,0.0000,29682,12798
2011-02,0,14200676,0,14200676,0.0000,1.0000,0.0000,30359,13253
2011-03,0,16064572,0,16064572,0.0000,1.0000,0.0000,30960,13288
2011-04,0,14717310,0,14717310,0.0000,1.0000,0.0000,31022,13302
2011-05,0,15552948,0,15552948,0.0000,1.0000,0.0000,31259,13291
2011-06,0,15094560,0,15094560,0.0000,1.0000,0.0000,31094,13285
2011-07,0,14739725,0,14739725,0.0000,1.0000,0.0000,30683,13270
2011-08,0,13259940,0,13259940,0.0000,1.0000,0.0000,30144,13295
2011-09,0,14624100,0,14624100,0.0000,1.0000,0.0000,30917,13313
2011-10,0,15702492,0,15702492,0.0000,1.0000,0.0000,31341,13322
2011-11,0,14523660,0,14523660,0.0000,1.0000,0.0000,31022,13319
2011-12,0,14923710,0,14923710,0.0000,1.0000,0.0000,31196,13323
2012-01,0,14967141,0,14967141,0.0000,1.0000,0.0000,30944,13317
2012-02,0,14980965,0,14980965,0.0000,1.0000,0.0000,30803,13317
2012-03,0,16143684,0,16143684,0.0000,1.0000,0.0000,31401,13320
2012-04,0,15475440,0,15475440,0.0000,1.0000,0.0000,31579,13319
2012-05,0,15565007,0,15565007,0.0000,1.0000,0.0000,31723,13325
2012-06,0,15094170,0,15094170,0.0000,1.0000,0.0000,31561,13332
2012-07,0,14377304,0,14377304,0.0000,1.0000,0.0000,31174,13320
2012-08,0,14379071,0,14379071,0.0000,1.0000,0.0000,30777,13318
2012-09,0,14543490,0,14543490,0.0000,1.0000,0.0000,31698,13322
2012-10,0,14519687,0,14519687,0.0000,1.0000,0.0000,32104,13328
2012-11,0,13773420,0,13773420,0.0000,1.0000,0.0000,31701,13324
2012-12,0,14694155,0,14694155,0.0000,1.0000,0.0000,32257,13346
2013-01,0,14772864,0,14772864,0.0000,1.0000,0.0000,32213,13344
2013-02,0,13987568,0,13987568,0.0000,1.0000,0.0000,32052,13338
2013-03,0,15745334,0,15745334,0.0000,1.0000,0.0000,32965,13334
2013-04,0,15097470,0,15097470,0.0000,1.0000,0.0000,33084,13343
2013-05,0,15281822,0,15281822,0.0000,1.0000,0.0000,33267,13334
2013-06,0,14374440,0,14374440,0.0000,1.0000,0.0000,33452,13341
2013-07,0,13821691,0,13821691,0.0000,1.0000,0.0000,32748,13327
2013-08,8773,12593626,0,12602399,0.0007,0.9993,0.0000,32517,13432
2013-09,48960,14104410,0,14153370,0.0035,0.9965,0.0000,33770,13785
2013-10,169787,15001551,0,15171338,0.0112,0.9888,0.0000,34678,14462
2013-11,380760,14385810,0,14766570,0.0258,0.9742,0.0000,35351,15090
2013-12,602485,13969654,0,14572139,0.0413,0.9587,0.0000,36652,16092
2014-01,803613,13780647,0,14584260,0.0551,0.9449,0.0000,37339,17184
2014-02,1005060,13062616,0,14067676,0.0714,0.9286,0.0000,37719,17583
2014-03,1293258,15427491,0,16720749,0.0773,0.9227,0.0000,38849,18008
2014-04,1308750,14618250,0,15927000,0.0822,0.9178,0.0000,38980,18335
2014-05,1421443,14773639,0,16195082,0.0878,0.9122,0.0000,39196,18538
2014-06,1337700,13811790,0,15149490,0.0883,0.9117,0.0000,38905,18720
2014-07,1273914,13105901,0,14379815,0.0886,0.9114,0.0000,37695,18763
2014-08,1344811,12688455,0,14033266,0.0958,0.9042,0.0000,37678,18758
2014-09,1361820,13373460,0,14735280,0.0924,0.9076,0.0000,38502,18849
2014-10,1491100,14231697,0,15722797,0.0948,0.9052,0.0000,38579,19012
2014-11,1548000,13217280,0,14765280,0.1048,0.8952,0.0000,38882,19200
2014-12,1645418,13013056,0,14658474,0.1123,0.8877,0.0000,38981,19454
2015-01,1508429,12748378,2720746,16977553,0.0888,0.7509,0.1603,59457,39836
2015-02,1574776,12449724,3053148,17077648,0.0922,0.7290,0.1788,59933,40757
2015-03,1722577,13350739,3245421,18318737,0.0940,0.7288,0.1772,62012,42054
2015-04,1664190,13071030,3874500,18609720,0.0894,0.7024,0.2082,69770,49592
2015-05,1786747,13158229,4232027,19177003,0.0932,0.6861,0.2207,71841,47274
2015-06,1638840,12324930,4240500,18204270,0.0900,0.6770,0.2329,71034,51666
2015-07,1541630,11562349,4384733,17488712,0.0882,0.6611,0.2507,70373,53026
2015-08,1532299,11129899,5261351,17923549,0.0855,0.6210,0.2935,76672,58160
2015-09,1494900,11224680,6582780,19302360,0.0774,0.5815,0.3410,84666,65612
2015-10,1630538,12314564,8585326,22530428,0.0724,0.5466,0.3811,95844,76038
2015-11,1529970,11312280,8318430,21160680,0.0723,0.5346,0.3931,97134,77154
2015-12,1608280,11460266,8888754,21957300,0.0732,0.5219,0.4048,98319,78856
2016-01,1445251,10906296,8510709,20862256,0.0693,0.5228,0.4079,101265,82597
