YearMonth,Green Taxi,Yellow Taxi,For-Hire Vehicle,Total Trips,Green Taxi Pct,Yellow Taxi Pct,For-Hire Vehicle Pct,Unique Drivers,Unique Vehicles
2016-02,1510697,11381630,9427784,22320111,0.0677,0.5099,0.4224,98431,79972
2016-03,1576350,12210466,9613317,23400133,0.0674,0.5218,0.4108,95916,77269
2016-04,1543740,11933400,10138140,23615280,0.0654,0.5053,0.4293,100743,80730
2016-05,1536763,11838218,10739454,24114435,0.0637,0.4909,0.4454,106324,82656
2016-06,1404510,11137710,10768560,23310780,0.0603,0.4778,0.4620,103214,83862
2016-07,1332349,10299161,10977317,22608827,0.0589,0.4555,0.4855,101746,82692
2016-08,1247471,9942258,11224852,22414581,0.0557,0.4436,0.5008,105841,87140
2016-09,1162230,10119630,11759580,23041440,0.0504,0.4392,0.5104,107933,88684
2016-10,1252555,10861780,12657889,24772224,0.0506,0.4385,0.5110,109921,90517
2016-11,1148160,10102110,12436950,23687220,0.0485,0.4265,0.5250,109782,90583
2016-12,1224128,10449201,13858705,25532034,0.0479,0.4093,0.5428,111646,92663
2017-01,1069407,9710099,13657298,24436804,0.0438,0.3974,0.5589,113117,95162
2017-02,1022252,9168628,13284880,23475760,0.0435,0.3906,0.5659,114185,96460
2017-03,1157571,10294325,15703050,27154946,0.0426,0.3791,0.5783,115935,97371
2017-04,1080720,10045950,14764800,25891470,0.0417,0.3880,0.5703,117756,99234
2017-05,1059394,10101567,15397359,26558320,0.0399,0.3804,0.5798,120417,102406
2017-06,976320,9656310,15060210,25692840,0.0380,0.3758,0.5862,121332,104780
2017-07,914593,8588302,15403714,24906609,0.0367,0.3448,0.6185,121756,105767
2017-08,867256,8421956,15673352,24962564,0.0347,0.3374,0.6279,120716,105719
2017-09,882270,8944890,16413750,26240910,0.0336,0.3409,0.6255,123271,107529
2017-10,925598,9767604,17695978,28389180,0.0326,0.3441,0.6233,125456,108796
2017-11,874080,9284130,17862270,28020480,0.0312,0.3313,0.6375,124664,108528
2017-12,905913,9507886,19739994,30153793,0.0300,0.3153,0.6546,127066,110996
2018-01,792484,8759515,19711040,29263039,0.0271,0.2993,0.6736,126829,111564
2018-02,768908,8491840,19124028,28384776,0.0271,0.2992,0.6737,125270,110914
2018-03,835977,9429239,21780848,32046064,0.0261,0.2942,0.6797,125820,110714
2018-04,799260,9305070,20802030,30906360,0.0259,0.3011,0.6731,126749,111887
2018-05,796483,9222748,21588090,31607321,0.0252,0.2918,0.6830,127307,113139
2018-06,738300,8710860,21075480,30524640,0.0242,0.2854,0.6904,127520,113848
2018-07,683488,7848766,21449861,29982115,0.0228,0.2618,0.7154,125550,111852
2018-08,665508,7848642,21867958,30382108,0.0219,0.2583,0.7198,125223,112338
2018-09,665790,8039490,21561750,30267030,0.0220,0.2656,0.7124,126948,112871
2018-10,709559,8807751,23164874,32682184,0.0217,0.2695,0.7088,132062,117133
2018-11,655740,8145030,22799910,31600680,0.0208,0.2577,0.7215,132628,118076
2018-12,684573,8171879,23847556,32704008,0.0209,0.2499,0.7292,133693,120076
2019-01,630137,7666765,23041153,31338055,0.0201,0.2446,0.7352,130008,116980
2019-02,573468,7018312,21858200,29449980,0.0195,0.2383,0.7422,127707,116368
2019-03,598858,7831654,25175689,33606201,0.0178,0.2330,0.7491,127752,115963
2019-04,512400,7432260,23624340,31569000,0.0162,0.2354,0.7483,129549,117859
2019-05,503688,7564527,24300497,32368712,0.0156,0.2337,0.7507,129191,117905
2019-06,470700,6940050,22814490,30225240,0.0156,0.2296,0.7548,127720,116547
2019-07,433039,6275733,22063568,28772340,0.0151,0.2181,0.7668,125855,115091
2019-08,398846,6038738,21782522,28220106,0.0141,0.2140,0.7719,122692,112751
2019-09,389550,6532410,21088320,28010280,0.0139,0.2332,0.7529,119912,108162
2019-10,386570,7166301,22966040,30518911,0.0127,0.2348,0.7525,125768,113770
2019-11,362040,6829620,23270640,30462300,0.0119,0.2242,0.7639,123534,111786
2019-12,359538,6844366,24085481,31289385,0.0115,0.2187,0.7698,124763,113361
2020-01,416826,6404724,22405033,29226583,0.0143,0.2191,0.7666,122067,111493
2020-02,398547,6299264,23398215,30096026,0.0132,0.2093,0.7775,120362,109897
2020-03,223355,3006783,14630388,17860526,0.0125,0.1683,0.8191,116450,107099
2020-04,35580,237840,4791960,5065380,0.0070,0.0470,0.9460,30815,30943
2020-05,57350,348347,6815660,7221357,0.0079,0.0482,0.9438,38176,38352
2020-06,63090,549750,8521710,9134550,0.0069,0.0602,0.9329,41511,41734
2020-07,72230,800296,10950347,11822873,0.0061,0.0677,0.9262,51418,51121
2020-08,81034,1007221,12191959,13280214,0.0061,0.0758,0.9181,65434,64399
2020-09,87960,1339380,13232850,14660190,0.0060,0.0914,0.9026,67827,66664
2020-10,95077,1680851,14368345,16144273,0.0059,0.1041,0.8900,70135,68788
2020-11,88590,1508550,12692340,14289480,0.0062,0.1056,0.8882,70948,69628
2020-12,83111,1461495,12745433,14290039,0.0058,0.1023,0.8919,69152,68046
2021-01,76477,1365612,12980816,14422905,0.0053,0.0947,0.9000,63750,62804
2021-02,64540,1357972,12610388,14032900,0.0046,0.0968,0.8986,62603,61759
2021-03,83793,1910933,15532860,17527586,0.0048,0.1090,0.8862,68942,67381
2021-04,86880,2159460,15312690,17559030,0.0049,0.1230,0.8721,71803,69698
2021-05,88133,2495469,16003905,18587507,0.0047,0.1343,0.8610,74973,72661
2021-06,86730,2823900,16289550,19200180,0.0045,0.1471,0.8484,78695,76115
2021-07,83638,2821341,16139592,19044571,0.0044,0.1481,0.8475,78324,75459
2021-08,83483,2786931,15578120,18448534,0.0045,0.1511,0.8444,77731,74877
2021-09,95700,2961720,13824300,16881720,0.0057,0.1754,0.8189,86167,82178
2021-10,110794,3460778,17765666,21337238,0.0052,0.1622,0.8326,91642,86651
2021-11,108210,3469800,17171700,20749710,0.0052,0.1672,0.8276,91918,86824
2021-12,99913,3211135,17396921,20707969,0.0048,0.1551,0.8401,95500,90453
