Year,Bronx,Brooklyn,Manhattan,Queens,Staten Island,Total,Bronx Pct,Brooklyn Pct,Manhattan Pct,Queens Pct,Staten Island Pct
2006,50432,31613,171393,48887,1772,304096,0.165840721,0.103955659,0.56361478,0.160761733,0.005827107
2007,47704,31772,169162,45036,2184,295857,0.161240331,0.10738821,0.571770436,0.152220756,0.007380267
2008,49854,31304,165387,37183,1545,285271,0.174758388,0.1097325,0.579752236,0.130340974,0.005415903
2009,55497,30048,166757,34904,1545,288680,0.192067674,0.104087751,0.577585177,0.120907442,0.005351956
2010,55863,29592,168041,46159,1568,301223,0.185452614,0.098239673,0.557863373,0.153238885,0.005205454
2011,46383,28590,166031,46290,1666,288959,0.160515852,0.098941372,0.574583245,0.160194007,0.005765524
2012,53453,30649,170100,48294,1666,304098,0.175774217,0.10078511,0.559360074,0.158809263,0.005271336
2013,54837,31065,164694,46854,1569,293157,0.187055059,0.105965404,0.561199289,0.140428166,0.005352081
2014,61777,34912,170728,51481,1643,320541,0.192726036,0.108916034,0.532625362,0.16060685,0.005125717
2015,56432,34234,163914,50414,2139,307131,0.183739186,0.11146221,0.533692463,0.164143313,0.006962827
2016,55589,33511,156893,49001,1977,296971,0.187186943,0.112842858,0.528310051,0.165002921,0.006657227
2017,57929,31487,155452,50492,2083,297442,0.194755944,0.105857791,0.5226305,0.169754389,0.007001377
2018,57815,29098,150358,52413,1730,291413,0.198393689,0.099851414,0.515960166,0.179858139,0.005936592
2019,56951,31146,151600,53010,1242,293948,0.193743781,0.105955996,0.515738355,0.180336625,0.004225244
2020,56719,30846,147374,50136,650,282526,0.189685533,0.109177756,0.521629021,0.177208783,0.002298908
2021,54381,29299,136536,48022,601,268838,0.202280188,0.108984052,0.507875575,0.178626494,0.002233691
