time,Bronx,Brooklyn,Manhattan,Queens,Staten Island,Allowed,Bronx Pct,Brooklyn Pct,Manhattan Pct,Queens Pct,Staten Island Pct,Free,Metered,No,Total,Free Pct,Metered Pct,No Pct
Mon 00:00,220278,451414,115355,679761,240726,1707534,0.129003581,0.264366039,0.067556488,0.398095148,0.140978745,1707534,0,818924,2526458,0.67586083,0,0.32413917
Mon 00:30,220278,451414,115355,679761,240726,1707534,0.129003581,0.264366039,0.067556488,0.398095148,0.140978745,1707534,0,818924,2526458,0.67586083,0,0.32413917
Mon 01:00,220278,451404,115130,679761,240726,1707299,0.129021337,0.26439657,0.067434,0.398149943,0.14099815,1707299,0,819159,2526458,0.675767814,0,0.324232186
Mon 01:30,220278,451404,115130,679761,240726,1707299,0.129021337,0.26439657,0.067434,0.398149943,0.14099815,1707299,0,819159,2526458,0.675767814,0,0.324232186
Mon 02:00,220278,450985,114764,679710,240726,1706463,0.129084545,0.264280562,0.067252557,0.398315111,0.141067225,1706463,0,819995,2526458,0.675436916,0,0.324563084
Mon 02:30,220278,450985,114764,679710,240726,1706463,0.129084545,0.264280562,0.067252557,0.398315111,0.141067225,1706463,0,819995,2526458,0.675436916,0,0.324563084
Mon 03:00,221017,457220,114802,679961,240726,1713726,0.128968692,0.266798776,0.066989705,0.396773463,0.140469363,1713726,0,812732,2526458,0.678311692,0,0.321688308
Mon 03:30,221017,457220,114802,679961,240726,1713726,0.128968692,0.266798776,0.066989705,0.396773463,0.140469363,1713726,0,812732,2526458,0.678311692,0,0.321688308
Mon 04:00,221001,457275,114787,679954,240726,1713743,0.128958076,0.266828223,0.066980288,0.396765443,0.14046797,1713743,0,812715,2526458,0.67831842,0,0.32168158
Mon 04:30,221001,457275,114686,679954,240726,1713642,0.128965677,0.26684395,0.066925297,0.396788828,0.140476249,1713642,0,812816,2526458,0.678278444,0,0.321721556
Mon 05:00,221151,457624,114659,680473,240721,1714628,0.128978997,0.266894043,0.066871065,0.396863343,0.140392552,1714628,0,811830,2526458,0.678668713,0,0.321331287
Mon 05:30,221151,457622,114513,680473,240721,1714480,0.128990131,0.266915916,0.06679168,0.396897602,0.140404671,1714480,0,811978,2526458,0.678610133,0,0.321389867
Mon 06:00,221896,459717,115142,681079,240651,1718485,0.129123036,0.267512955,0.06700204,0.396325252,0.140036718,1718485,0,807973,2526458,0.680195357,0,0.319804643
Mon 06:30,221900,459545,115148,680991,240665,1718249,0.129143099,0.267449595,0.067014734,0.396328472,0.1400641,1718249,0,808209,2526458,0.680101945,0,0.319898055
Mon 07:00,215697,443438,96101,667419,238014,1660669,0.129885606,0.267023712,0.057868847,0.401897669,0.143324166,1660078,591,865789,2526458,0.65707722,0.000233924,0.342688855
Mon 07:30,213083,439108,94261,664504,238022,1648978,0.129221251,0.266291,0.057163285,0.4029793,0.144345164,1647480,1498,877480,2526458,0.652090793,0.000592925,0.347316282
Mon 08:00,208354,420340,82855,659138,237812,1608499,0.129533186,0.261324378,0.051510756,0.409784526,0.147847154,1590579,17920,917959,2526458,0.629568748,0.007092934,0.363338318
Mon 08:30,202776,407408,80874,651550,237812,1580420,0.128305134,0.25778464,0.051172473,0.412263829,0.150473925,1549520,30900,946038,2526458,0.613317142,0.012230562,0.374452296
Mon 09:00,201485,398436,79040,654471,238493,1571925,0.128177235,0.253470108,0.050282297,0.416350017,0.151720343,1511581,60344,954533,2526458,0.598300467,0.023884822,0.377814711
Mon 09:30,197886,397507,77280,647335,238493,1558501,0.126972007,0.255057263,0.049586109,0.415357449,0.153027172,1497399,61102,967957,2526458,0.592687074,0.024184847,0.383128079
Mon 10:00,204650,415502,80698,656815,238508,1596173,0.128212919,0.260311382,0.050557176,0.411493616,0.149424906,1532251,63922,930285,2526458,0.606481881,0.025301034,0.368217085
Mon 10:30,207639,427740,84693,657917,238508,1616497,0.128449975,0.264609214,0.052392921,0.407001683,0.147546206,1552567,63930,909961,2526458,0.614523178,0.025304201,0.360172621
Mon 11:00,213940,426315,83224,662106,238508,1624093,0.13172891,0.262494204,0.051243371,0.407677393,0.146856122,1560109,63984,902365,2526458,0.617508385,0.025325574,0.35716604
Mon 11:30,201479,406960,80386,652833,238508,1580166,0.127504958,0.257542562,0.05087187,0.413142037,0.150938572,1516182,63984,946292,2526458,0.600121593,0.025325574,0.374552832
Mon 12:00,201487,403059,80425,653288,238508,1576767,0.127784891,0.255623691,0.051006268,0.414321203,0.151263947,1512643,64124,949691,2526458,0.598720818,0.025380988,0.375898194
Mon 12:30,202476,418334,84920,656534,238508,1600772,0.12648647,0.261332657,0.053049404,0.410135859,0.14899561,1536648,64124,925686,2526458,0.608222262,0.025380988,0.36639675
Mon 13:00,214967,437790,88276,666268,238508,1645809,0.130614792,0.26600292,0.053636844,0.404827049,0.144918396,1581426,64383,880649,2526458,0.625945889,0.025483503,0.348570608
Mon 13:30,214967,441834,88276,667029,238435,1650541,0.130240327,0.267690412,0.05348307,0.404127495,0.144458696,1586158,64383,875917,2526458,0.627818867,0.025483503,0.34669763
Mon 14:00,214969,442891,88160,667040,238421,1651481,0.130167407,0.268178078,0.053382388,0.403904132,0.144367995,1587142,64339,874977,2526458,0.628208345,0.025466087,0.346325567
Mon 14:30,214969,442889,88160,667040,238421,1651479,0.130167565,0.268177191,0.053382453,0.403904621,0.144368169,1587140,64339,874979,2526458,0.628207554,0.025466087,0.346326359
Mon 15:00,215031,442999,88099,666990,238189,1651308,0.13021859,0.268271576,0.053351041,0.403916168,0.144242625,1587040,64268,875150,2526458,0.628167973,0.025437985,0.346394043
Mon 15:30,215031,442999,88099,666990,238189,1651308,0.13021859,0.268271576,0.053351041,0.403916168,0.144242625,1587040,64268,875150,2526458,0.628167973,0.025437985,0.346394043
Mon 16:00,219968,449506,90964,672584,239994,1673016,0.131479914,0.268680037,0.054371267,0.402018869,0.143449913,1610376,62640,853442,2526458,0.637404619,0.024793604,0.337801776
Mon 16:30,219966,449514,90964,672585,239994,1673023,0.131478169,0.268683694,0.05437104,0.402017785,0.143449313,1610383,62640,853435,2526458,0.63740739,0.024793604,0.337799006
Mon 17:00,220386,450598,91202,673234,240035,1675455,0.131538,0.268940676,0.054434169,0.401821595,0.143265561,1613124,62331,851003,2526458,0.638492308,0.024671299,0.336836393
Mon 17:30,220386,450599,91204,673234,240035,1675458,0.131537765,0.268940791,0.054435265,0.401820875,0.143265304,1613127,62331,851000,2526458,0.638493496,0.024671299,0.336835206
