time,Bronx,Brooklyn,Manhattan,Queens,Staten Island,Allowed,Bronx Pct,Brooklyn Pct,Manhattan Pct,Queens Pct,Staten Island Pct,Free,Metered,No,Total,Free Pct,Metered Pct,No Pct
Mon 18:00,221697,455998,103261,678347,240293,1699596,0.130440999,0.268297878,0.060756203,0.399122497,0.141382423,1634146,65450,826862,2526458,0.646813048,0.025905833,0.327281118
Mon 18:30,221697,455998,103261,678347,240293,1699596,0.130440999,0.268297878,0.060756203,0.399122497,0.141382423,1634146,65450,826862,2526458,0.646813048,0.025905833,0.327281118
Mon 19:00,222065,460441,115777,682087,241026,1721396,0.129002856,0.267481161,0.067257621,0.396240609,0.140017753,1712207,9189,805062,2526458,0.677710455,0.003637108,0.318652438
Mon 19:30,222065,460444,115777,682087,241026,1721399,0.129002631,0.267482437,0.067257504,0.396239919,0.140017509,1712210,9189,805059,2526458,0.677711642,0.003637108,0.31865125
Mon 20:00,222074,460532,115926,682222,240961,1721715,0.128984181,0.267484456,0.067331701,0.396245604,0.139954057,1712813,8902,804743,2526458,0.677950316,0.00352351,0.318526174
Mon 20:30,222074,460532,115926,682222,240961,1721715,0.128984181,0.267484456,0.067331701,0.396245604,0.139954057,1712813,8902,804743,2526458,0.677950316,0.00352351,0.318526174
Mon 21:00,222099,460496,115941,681397,240961,1720894,0.129060244,0.267591147,0.06737254,0.395955242,0.140020826,1712078,8816,805564,2526458,0.677659395,0.00348947,0.318851135
Mon 21:30,222099,460496,115941,681397,240961,1720894,0.129060244,0.267591147,0.06737254,0.395955242,0.140020826,1712078,8816,805564,2526458,0.677659395,0.00348947,0.318851135
Mon 22:00,221970,460410,116090,680747,240816,1720033,0.12904985,0.267675097,0.067492891,0.395775546,0.140006616,1715487,4546,806425,2526458,0.679008715,0.001799357,0.319191928
Mon 22:30,221970,460410,116090,680747,240816,1720033,0.12904985,0.267675097,0.067492891,0.395775546,0.140006616,1715487,4546,806425,2526458,0.679008715,0.001799357,0.319191928
Mon 23:00,221977,460435,115414,680698,240717,1719241,0.12911337,0.267812948,0.067130786,0.395929367,0.140013529,1715211,4030,807217,2526458,0.678899471,0.001595119,0.31950541
Mon 23:30,221977,460435,115414,680698,240717,1719241,0.12911337,0.267812948,0.067130786,0.395929367,0.140013529,1715211,4030,807217,2526458,0.678899471,0.001595119,0.31950541
Tue 00:00,220281,451359,115304,679745,240726,1707415,0.129014329,0.264352252,0.067531327,0.398113522,0.14098857,1707415,0,819043,2526458,0.675813728,0,0.324186272
Tue 00:30,220281,451359,115304,679745,240726,1707415,0.129014329,0.264352252,0.067531327,0.398113522,0.14098857,1707415,0,819043,2526458,0.675813728,0,0.324186272
Tue 01:00,220281,451348,115105,679745,240726,1707205,0.129030198,0.264378326,0.067423069,0.398162494,0.141005913,1707205,0,819253,2526458,0.675730608,0,0.324269392
Tue 01:30,220281,451348,115105,679745,240726,1707205,0.129030198,0.264378326,0.067423069,0.398162494,0.141005913,1707205,0,819253,2526458,0.675730608,0,0.324269392
Tue 02:00,220281,450961,114782,679655,240726,1706405,0.129090691,0.26427548,0.067265391,0.398296418,0.14107202,1706405,0,820053,2526458,0.675413959,0,0.324586041
Tue 02:30,220281,450961,114782,679655,240726,1706405,0.129090691,0.26427548,0.067265391,0.398296418,0.14107202,1706405,0,820053,2526458,0.675413959,0,0.324586041
Tue 03:00,221136,457577,115040,679722,240726,1714201,0.129002375,0.266933108,0.067109983,0.396524095,0.14043044,1714201,0,812257,2526458,0.678499702,0,0.321500298
Tue 03:30,221136,457577,115040,679722,240726,1714201,0.129002375,0.266933108,0.067109983,0.396524095,0.14043044,1714201,0,812257,2526458,0.678499702,0,0.321500298
Tue 04:00,221120,457632,114995,679715,240726,1714188,0.128994019,0.266967217,0.06708424,0.396523018,0.140431505,1714188,0,812270,2526458,0.678494556,0,0.321505444
Tue 04:30,221120,457632,114883,679715,240726,1714076,0.129002448,0.266984661,0.067023283,0.396548928,0.140440681,1714076,0,812382,2526458,0.678450226,0,0.321549774
Tue 05:00,221253,457948,114856,680272,240721,1715050,0.129006734,0.267017288,0.066969476,0.396648494,0.140358007,1715050,0,811408,2526458,0.678835746,0,0.321164254
Tue 05:30,221253,457946,114728,680272,240721,1714920,0.129016514,0.267036363,0.066899914,0.396678562,0.140368647,1714920,0,811538,2526458,0.67878429,0,0.32121571
Tue 06:00,221877,459768,115083,681062,240651,1718441,0.129115285,0.267549482,0.066969422,0.396325507,0.140040304,1718441,0,808017,2526458,0.680177941,0,0.319822059
Tue 06:30,221877,459581,115145,680979,240665,1718247,0.129129863,0.267470858,0.067013066,0.396321949,0.140064263,1718247,0,808211,2526458,0.680101153,0,0.319898847
Tue 07:00,215674,443447,96095,667373,238014,1660603,0.129876918,0.267039744,0.057867534,0.401885941,0.143329863,1660012,591,865855,2526458,0.657051097,0.000233924,0.342714979
Tue 07:30,212935,438972,94182,664155,238022,1648266,0.129187279,0.266323518,0.057140049,0.402941637,0.144407517,1646768,1498,878192,2526458,0.651808975,0.000592925,0.3475981
Tue 08:00,207782,420397,82743,659057,237757,1607736,0.12923888,0.261483851,0.051465539,0.40992862,0.14788311,1589816,17920,918722,2526458,0.629266744,0.007092934,0.363640322
Tue 08:30,202022,407080,80838,649852,237757,1577549,0.128060681,0.258045867,0.051242782,0.411937759,0.15071291,1546649,30900,948909,2526458,0.612180768,0.012230562,0.37558867
Tue 09:00,200637,397934,78356,652729,238438,1568094,0.1279496,0.253769226,0.049968943,0.416256296,0.152055935,1507750,60344,958364,2526458,0.596784114,0.023884822,0.379331063
Tue 09:30,195734,395387,76541,644393,238438,1550493,0.126239848,0.255007278,0.049365589,0.41560523,0.153782055,1489391,61102,975965,2526458,0.589517419,0.024184847,0.386297734
Tue 10:00,202746,414003,79951,655079,238453,1590232,0.127494605,0.260341258,0.050276312,0.411939264,0.149948561,1526310,63922,936226,2526458,0.604130367,0.025301034,0.370568598
Tue 10:30,205900,426422,84479,655457,238453,1610711,0.127831746,0.264741471,0.052448267,0.40693644,0.148042076,1546781,63930,915747,2526458,0.612233016,0.025304201,0.362462784
Tue 11:00,213536,426096,82578,660303,238508,1621021,0.131729324,0.262856558,0.050941968,0.407337721,0.147134429,1557037,63984,905437,2526458,0.616292454,0.025325574,0.358381972
Tue 11:30,199261,405058,79306,651119,238508,1573252,0.126655488,0.257465428,0.050408962,0.413868217,0.151601905,1509268,63984,953206,2526458,0.597384956,0.025325574,0.37728947
Tue 12:00,199278,400953,79345,652489,238508,1570573,0.126882354,0.255290903,0.050519778,0.415446464,0.151860499,1506449,64124,955885,2526458,0.596269164,0.025380988,0.378349848
Tue 12:30,200650,416267,84361,656344,238508,1596130,0.125710312,0.260797679,0.052853464,0.411209613,0.149428931,1532006,64124,930328,2526458,0.606384907,0.025380988,0.368234105
Tue 13:00,214956,437401,88269,666153,238508,1645287,0.130649546,0.265850882,0.053649606,0.404885591,0.144964374,1580904,64383,881171,2526458,0.625739276,0.025483503,0.348777221
Tue 13:30,214956,441668,88269,666969,238435,1650297,0.130252918,0.267629402,0.053486736,0.404150889,0.144480054,1585914,64383,876161,2526458,0.627722289,0.025483503,0.346794208
Tue 14:00,214958,442854,88156,666953,238421,1651342,0.130171703,0.268178245,0.053384459,0.403885446,0.144380147,1587003,64339,875116,2526458,0.628153328,0.025466087,0.346380585
Tue 14:30,214958,442852,88156,666953,238421,1651340,0.13017186,0.268177359,0.053384524,0.403885935,0.144380321,1587001,64339,875118,2526458,0.628152536,0.025466087,0.346381377
Tue 15:00,215020,442964,88095,666919,238189,1651187,0.130221471,0.268270038,0.053352528,0.403902768,0.144253195,1586919,64268,875271,2526458,0.62812008,0.025437985,0.346441936
Tue 15:30,215020,442964,88095,666919,238189,1651187,0.130221471,0.268270038,0.053352528,0.403902768,0.144253195,1586919,64268,875271,2526458,0.62812008,0.025437985,0.346441936
Tue 16:00,219961,449473,90960,672513,239994,1672901,0.131484768,0.26867878,0.054372614,0.402004064,0.143459774,1610261,62640,853557,2526458,0.637359101,0.024793604,0.337847295
Tue 16:30,219959,449481,90960,672514,239994,1672908,0.131483022,0.268682438,0.054372386,0.402002979,0.143459174,1610268,62640,853550,2526458,0.637361872,0.024793604,0.337844524
Tue 17:00,220379,450565,91198,673163,240035,1675340,0.131542851,0.268939439,0.054435518,0.401806797,0.143275395,1613009,62331,851118,2526458,0.63844679,0.024671299,0.336881911
Tue 17:30,220379,450566,91200,673163,240035,1675343,0.131542615,0.268939554,0.054436614,0.401806078,0.143275138,1613012,62331,851115,2526458,0.638447977,0.024671299,0.336880724
Tue 18:00,221690,455987,103261,678309,240293,1699540,0.130441178,0.268300246,0.060758205,0.399113289,0.141387081,1634090,65450,826918,2526458,0.646790883,0.025905833,0.327303284
Tue 18:30,221690,455987,103261,678309,240293,1699540,0.130441178,0.268300246,0.060758205,0.399113289,0.141387081,1634090,65450,826918,2526458,0.646790883,0.025905833,0.327303284
Tue 19:00,222058,460449,115776,682094,241026,1721403,0.128998265,0.26748472,0.067256767,0.396243065,0.140017184,1712214,9189,805055,2526458,0.677713225,0.003637108,0.318649667
Tue 19:30,222058,460452,115776,682094,241026,1721406,0.12899804,0.267485997,0.06725665,0.396242374,0.14001694,1712217,9189,805052,2526458,0.677714413,0.003637108,0.318648479
Tue 20:00,222067,460540,115925,682229,240961,1721722,0.128979591,0.267488015,0.067330847,0.396248059,0.139953488,1712820,8902,804736,2526458,0.677953087,0.00352351,0.318523403
Tue 20:30,222067,460540,115925,682229,240961,1721722,0.128979591,0.267488015,0.067330847,0.396248059,0.139953488,1712820,8902,804736,2526458,0.677953087,0.00352351,0.318523403
Tue 21:00,222092,460504,115940,681404,240961,1720901,0.129055652,0.267594708,0.067371685,0.395957699,0.140020257,1712085,8816,805557,2526458,0.677662166,0.00348947,0.318848364
Tue 21:30,222092,460504,115940,681404,240961,1720901,0.129055652,0.267594708,0.067371685,0.395957699,0.140020257,1712085,8816,805557,2526458,0.677662166,0.00348947,0.318848364
Tue 22:00,221970,460424,116085,680754,240816,1720049,0.129048649,0.267680746,0.067489356,0.395775934,0.140005314,1715503,4546,806409,2526458,0.679015048,0.001799357,0.319185595
Tue 22:30,221970,460424,116085,680754,240816,1720049,0.129048649,0.267680746,0.067489356,0.395775934,0.140005314,1715503,4546,806409,2526458,0.679015048,0.001799357,0.319185595
Tue 23:00,221977,460449,115409,680705,240717,1719257,0.129112169,0.267818598,0.067127253,0.395929753,0.140012226,1715227,4030,807201,2526458,0.678905804,0.001595119,0.319499077
Tue 23:30,221977,460449,115409,680705,240717,1719257,0.129112169,0.267818598,0.067127253,0.395929753,0.140012226,1715227,4030,807201,2526458,0.678905804,0.001595119,0.319499077
Wed 00:00,221791,459115,115396,680357,240726,1717385,0.129144601,0.267333766,0.067192854,0.396158695,0.140170084,1717385,0,809073,2526458,0.679759964,0,0.320240036
Wed 00:30,221791,459115,115396,680357,240726,1717385,0.129144601,0.267333766,0.067192854,0.396158695,0.140170084,1717385,0,809073,2526458,0.679759964,0,0.320240036
Wed 01:00,221791,459101,115197,680357,240726,1717172,0.12916062,0.267358774,0.067085301,0.396207835,0.140187471,1717172,0,809286,2526458,0.679675657,0,0.320324343
Wed 01:30,221791,459101,115197,680357,240726,1717172,0.12916062,0.267358774,0.067085301,0.396207835,0.140187471,1717172,0,809286,2526458,0.679675657,0,0.320324343
Wed 02:00,221791,459083,114950,680357,240726,1716907,0.129180555,0.267389556,0.066951792,0.396268988,0.140209109,1716907,0,809551,2526458,0.679570767,0,0.320429233
Wed 02:30,221791,459083,114950,680357,240726,1716907,0.129180555,0.267389556,0.066951792,0.396268988,0.140209109,1716907,0,809551,2526458,0.679570767,0,0.320429233
Wed 03:00,221919,459813,114971,680136,240726,1717565,0.12920559,0.267712139,0.066938369,0.395988507,0.140155394,1717565,0,808893,2526458,0.67983121,0,0.32016879
Wed 03:30,221919,459813,114971,680136,240726,1717565,0.12920559,0.267712139,0.066938369,0.395988507,0.140155394,1717565,0,808893,2526458,0.67983121,0,0.32016879
Wed 04:00,221903,459868,114930,680129,240726,1717556,0.129196952,0.267745564,0.066914849,0.395986506,0.140156129,1717556,0,808902,2526458,0.679827648,0,0.320172352
Wed 04:30,221903,459868,114855,680129,240726,1717481,0.129202594,0.267757256,0.066874102,0.396003799,0.140162249,1717481,0,808977,2526458,0.679797962,0,0.320202038
Wed 05:00,222085,459810,114829,680597,240721,1718042,0.129266339,0.267636065,0.066837132,0.396146893,0.140113571,1718042,0,808416,2526458,0.680020012,0,0.319979988
Wed 05:30,222085,459808,114829,680597,240721,1718040,0.12926649,0.267635212,0.06683721,0.396147354,0.140113734,1718040,0,808418,2526458,0.680019221,0,0.319980779
Wed 06:00,221891,459725,115165,681067,240651,1718499,0.129119074,0.267515431,0.067014878,0.39631504,0.140035578,1718499,0,807959,2526458,0.680200898,0,0.319799102
Wed 06:30,221891,459538,115116,680979,240665,1718189,0.12914237,0.267454861,0.06699845,0.396335327,0.140068991,1718189,0,808269,2526458,0.680078196,0,0.319921804
Wed 07:00,215688,443555,96062,667421,238014,1660740,0.129874634,0.267082746,0.057842889,0.401881691,0.143318039,1660149,591,865718,2526458,0.657105323,0.000233924,0.342660753
Wed 07:30,213436,439763,94423,664902,238022,1650546,0.129312361,0.266434865,0.05720713,0.402837606,0.144208038,1649048,1498,875912,2526458,0.652711424,0.000592925,0.346695651
Wed 08:00,212325,434603,84057,659649,237812,1628446,0.130385042,0.266882046,0.051617923,0.40507883,0.14603616,1610526,17920,898012,2526458,0.637463991,0.007092934,0.355443075
Wed 08:30,212276,429115,84265,653966,237812,1617434,0.131242449,0.265306034,0.052097953,0.404323144,0.14703042,1586534,30900,909024,2526458,0.627967692,0.012230562,0.359801746
Wed 09:00,213199,431384,86029,657322,238493,1626427,0.131084272,0.265234161,0.052894474,0.404150939,0.146636154,1566083,60344,900031,2526458,0.61987296,0.023884822,0.356242217
Wed 09:30,211741,424732,85336,652482,238493,1612784,0.131289125,0.263353307,0.052912231,0.404568746,0.147876591,1551682,61102,913674,2526458,0.614172886,0.024184847,0.361642268
Wed 10:00,212865,435261,87048,660526,238508,1634208,0.130255757,0.266343697,0.053266169,0.404187227,0.14594715,1570286,63922,892250,2526458,0.621536554,0.025301034,0.353162412
Wed 10:30,213215,435607,87053,661327,238508,1635710,0.130350123,0.266310654,0.053220314,0.404305775,0.145813133,1571780,63930,890748,2526458,0.622127896,0.025304201,0.352567903
Wed 11:00,214901,440063,87996,663471,238508,1644939,0.13064375,0.267525422,0.053494993,0.403340793,0.144995042,1580955,63984,881519,2526458,0.625759462,0.025325574,0.348914963
Wed 11:30,211748,431314,86979,657977,238508,1626526,0.130184209,0.26517498,0.053475321,0.404529039,0.146636451,1562542,63984,899932,2526458,0.618471394,0.025325574,0.356203032
Wed 12:00,211756,431454,87018,658596,238508,1627332,0.130124646,0.265129672,0.053472801,0.404709058,0.146563823,1563208,64124,899126,2526458,0.618735004,0.025380988,0.355884008
Wed 12:30,211756,433809,87018,661509,238508,1632600,0.129704765,0.265716648,0.053300257,0.405187431,0.146090898,1568476,64124,893858,2526458,0.620820136,0.025380988,0.353798876
Wed 13:00,214936,442757,88277,667012,238508,1651490,0.130146716,0.268095477,0.053452942,0.403884977,0.144419887,1587107,64383,874968,2526458,0.628194492,0.025483503,0.346322005
Wed 13:30,214936,442757,88277,667012,238435,1651417,0.130152469,0.268107328,0.053455305,0.40390283,0.144382067,1587034,64383,875041,2526458,0.628165598,0.025483503,0.346350899
Wed 14:00,214938,442850,88161,666993,238421,1651363,0.130157936,0.268172413,0.053386808,0.403904532,0.144378311,1587024,64339,875095,2526458,0.62816164,0.025466087,0.346372273
Wed 14:30,214938,442848,88161,666993,238421,1651361,0.130158094,0.268171526,0.053386873,0.403905021,0.144378485,1587022,64339,875097,2526458,0.628160848,0.025466087,0.346373065
Wed 15:00,215000,442958,88100,666966,238189,1651213,0.130207308,0.268262181,0.053354716,0.403924872,0.144250923,1586945,64268,875245,2526458,0.628130371,0.025437985,0.346431645
Wed 15:30,215000,442958,88100,666966,238189,1651213,0.130207308,0.268262181,0.053354716,0.403924872,0.144250923,1586945,64268,875245,2526458,0.628130371,0.025437985,0.346431645
Wed 16:00,219944,449463,90965,672560,239994,1672926,0.131472641,0.268668788,0.05437479,0.402026151,0.143457631,1610286,62640,853532,2526458,0.637368996,0.024793604,0.337837399
Wed 16:30,219942,449471,90965,672561,239994,1672933,0.131470896,0.268672445,0.054374563,0.402025066,0.14345703,1610293,62640,853525,2526458,0.637371767,0.024793604,0.337834629
Wed 17:00,220386,450565,91203,673210,240035,1675399,0.131542397,0.268929968,0.054436585,0.401820701,0.143270349,1613068,62331,851059,2526458,0.638470143,0.024671299,0.336858559
Wed 17:30,220386,450566,91205,673210,240035,1675402,0.131542161,0.268930084,0.054437681,0.401819981,0.143270093,1613071,62331,851056,2526458,0.63847133,0.024671299,0.336857371
Wed 18:00,221697,455993,103266,678347,240293,1699596,0.130440999,0.268294936,0.060759145,0.399122497,0.141382423,1634146,65450,826862,2526458,0.646813048,0.025905833,0.327281118
Wed 18:30,221697,455997,103266,678347,240293,1699600,0.130440692,0.268296658,0.060759002,0.399121558,0.14138209,1634150,65450,826858,2526458,0.646814631,0.025905833,0.327279535
Wed 19:00,222065,460440,115781,682087,241026,1721399,0.129002631,0.267480114,0.067259828,0.396239919,0.140017509,1712210,9189,805059,2526458,0.677711642,0.003637108,0.31865125
Wed 19:30,222065,460443,115781,682087,241026,1721402,0.129002406,0.26748139,0.06725971,0.396239228,0.140017265,1712213,9189,805056,2526458,0.67771283,0.003637108,0.318650063
Wed 20:00,222074,460533,115930,682222,240961,1721720,0.128983807,0.26748426,0.067333829,0.396244453,0.139953651,1712818,8902,804738,2526458,0.677952295,0.00352351,0.318524195
Wed 20:30,222074,460533,115930,682222,240961,1721720,0.128983807,0.26748426,0.067333829,0.396244453,0.139953651,1712818,8902,804738,2526458,0.677952295,0.00352351,0.318524195
Wed 21:00,222099,460497,115945,681397,240961,1720899,0.129059869,0.267590951,0.067374669,0.395954091,0.14002042,1712083,8816,805559,2526458,0.677661374,0.00348947,0.318849156
Wed 21:30,222099,460497,115945,681397,240961,1720899,0.129059869,0.267590951,0.067374669,0.395954091,0.14002042,1712083,8816,805559,2526458,0.677661374,0.00348947,0.318849156
Wed 22:00,221970,460415,116090,680747,240816,1720038,0.129049474,0.267677226,0.067492695,0.395774396,0.140006209,1715492,4546,806420,2526458,0.679010694,0.001799357,0.319189949
Wed 22:30,221970,460415,116090,680747,240816,1720038,0.129049474,0.267677226,0.067492695,0.395774396,0.140006209,1715492,4546,806420,2526458,0.679010694,0.001799357,0.319189949
Wed 23:00,221977,460440,115414,680698,240717,1719246,0.129112995,0.267815077,0.067130591,0.395928215,0.140013122,1715216,4030,807212,2526458,0.67890145,0.001595119,0.319503431
Wed 23:30,221977,460440,115414,680698,240717,1719246,0.129112995,0.267815077,0.067130591,0.395928215,0.140013122,1715216,4030,807212,2526458,0.67890145,0.001595119,0.319503431
Thu 00:00,220364,451554,115327,679768,240726,1707739,0.129038454,0.264416284,0.067531982,0.398051459,0.140961821,1707739,0,818719,2526458,0.675941971,0,0.324058029
Thu 00:30,220364,451554,115327,679768,240726,1707739,0.129038454,0.264416284,0.067531982,0.398051459,0.140961821,1707739,0,818719,2526458,0.675941971,0,0.324058029
Thu 01:00,220364,451544,115102,679768,240726,1707504,0.129056213,0.264446818,0.067409505,0.398106242,0.140981222,1707504,0,818954,2526458,0.675848955,0,0.324151045
Thu 01:30,220364,451544,115102,679768,240726,1707504,0.129056213,0.264446818,0.067409505,0.398106242,0.140981222,1707504,0,818954,2526458,0.675848955,0,0.324151045
Thu 02:00,220364,451130,114762,679717,240726,1706699,0.129117085,0.264328977,0.067242085,0.398264134,0.141047718,1706699,0,819759,2526458,0.675530327,0,0.324469673
Thu 02:30,220364,451130,114762,679717,240726,1706699,0.129117085,0.264328977,0.067242085,0.398264134,0.141047718,1706699,0,819759,2526458,0.675530327,0,0.324469673
Thu 03:00,221034,457272,114996,679773,240726,1713801,0.128972967,0.266817443,0.067099973,0.396646402,0.140463216,1713801,0,812657,2526458,0.678341378,0,0.321658622
Thu 03:30,221034,457272,114996,679773,240726,1713801,0.128972967,0.266817443,0.067099973,0.396646402,0.140463216,1713801,0,812657,2526458,0.678341378,0,0.321658622
Thu 04:00,221018,457325,114977,679766,240726,1713812,0.128962803,0.266846655,0.067088455,0.396639771,0.140462314,1713812,0,812646,2526458,0.678345731,0,0.321654269
Thu 04:30,221018,457325,114854,679766,240726,1713689,0.12897206,0.266865808,0.067021496,0.39666824,0.140472396,1713689,0,812769,2526458,0.678297047,0,0.321702953
Thu 05:00,221151,457674,114827,680285,240721,1714658,0.128976741,0.266918534,0.066967873,0.396746756,0.140390095,1714658,0,811800,2526458,0.678680588,0,0.321319412
Thu 05:30,221151,457672,114681,680285,240721,1714510,0.128987874,0.266940409,0.066888499,0.396781004,0.140402214,1714510,0,811948,2526458,0.678622008,0,0.321377992
Thu 06:00,221896,459737,115123,681068,240651,1718475,0.129123787,0.26752615,0.066991373,0.396321157,0.140037533,1718475,0,807983,2526458,0.680191398,0,0.319808602
Thu 06:30,221900,459566,115129,680980,240665,1718240,0.129143775,0.267463218,0.067004027,0.396324146,0.140064834,1718240,0,808218,2526458,0.680098383,0,0.319901617
