site,date,counts,name,total,%
100009425,2016-11-30,38213.0,Prospect Park West,486765.0,0.07850400090392695
100009427,2016-11-30,127684.0,Williamsburg Bridge,486765.0,0.262311382289195
100009428,2016-11-30,93456.0,Queensboro Bridge,486765.0,0.1919940833872608
100010017,2016-11-30,11106.0,Staten Island Ferry,486765.0,0.02281593787556624
100010019,2016-11-30,9310.0,Kent Ave btw N 8 St and N 9 St,486765.0,0.01912627243125533
100062893,2016-11-30,101994.0,Manhattan Bridge,486765.0,0.20953437490370097
300020904,2016-11-30,105002.0,Brooklyn Bridge,486765.0,0.21571394820909473
100009425,2016-12-31,35927.0,Prospect Park West,337532.0,0.10644027825509877
100009427,2016-12-31,76866.0,Williamsburg Bridge,337532.0,0.22772951897894125
100009428,2016-12-31,63441.0,Queensboro Bridge,337532.0,0.1879555123662349
100010017,2016-12-31,8432.0,Staten Island Ferry,337532.0,0.024981335103042082
100010019,2016-12-31,35187.0,Kent Ave btw N 8 St and N 9 St,337532.0,0.1042478935330576
100062893,2016-12-31,60957.0,Manhattan Bridge,337532.0,0.18059621013711294
300020904,2016-12-31,56722.0,Brooklyn Bridge,337532.0,0.16804925162651244
100009425,2017-01-31,32093.0,Prospect Park West,299235.0,0.1072501545607967
100009427,2017-01-31,69335.0,Williamsburg Bridge,299235.0,0.23170752084482096
100009428,2017-01-31,55677.0,Queensboro Bridge,299235.0,0.18606446438417965
100010017,2017-01-31,7818.0,Staten Island Ferry,299235.0,0.02612662288836533
100010019,2017-01-31,32071.0,Kent Ave btw N 8 St and N 9 St,299235.0,0.10717663374939429
100062893,2017-01-31,54869.0,Manhattan Bridge,299235.0,0.183364245492673
300020904,2017-01-31,47372.0,Brooklyn Bridge,299235.0,0.1583103580797701
100009425,2017-02-28,36401.0,Prospect Park West,360892.0,0.10086397038449176
100009427,2017-02-28,83665.0,Williamsburg Bridge,360892.0,0.23182835862252418
100009428,2017-02-28,61399.0,Queensboro Bridge,360892.0,0.17013123039579708
100010017,2017-02-28,8255.0,Staten Island Ferry,360892.0,0.022873879166066303
100010019,2017-02-28,40783.0,Kent Ave btw N 8 St and N 9 St,360892.0,0.11300610709020982
100062893,2017-02-28,67745.0,Manhattan Bridge,360892.0,0.18771543841370825
300020904,2017-02-28,62644.0,Brooklyn Bridge,360892.0,0.1735810159272026
100009425,2017-03-31,35274.0,Prospect Park West,320100.0,0.11019681349578257
100009427,2017-03-31,73646.0,Williamsburg Bridge,320100.0,0.23007185254607934
100009428,2017-03-31,53999.0,Queensboro Bridge,320100.0,0.16869415807560137
100010017,2017-03-31,7596.0,Staten Island Ferry,320100.0,0.02373008434864105
100010019,2017-03-31,34996.0,Kent Ave btw N 8 St and N 9 St,320100.0,0.1093283348953452
100062893,2017-03-31,59419.0,Manhattan Bridge,320100.0,0.18562636676038738
300020904,2017-03-31,55170.0,Brooklyn Bridge,320100.0,0.17235238987816306
100009425,2017-04-30,63333.0,Prospect Park West,670000.0,0.09452686567164179
100009427,2017-04-30,148268.0,Williamsburg Bridge,670000.0,0.2212955223880597
100009428,2017-04-30,104484.0,Queensboro Bridge,670000.0,0.15594626865671643
100010017,2017-04-30,12814.0,Staten Island Ferry,670000.0,0.01912537313432836
100010019,2017-04-30,80863.0,Kent Ave btw N 8 St and N 9 St,670000.0,0.1206910447761194
100062893,2017-04-30,125232.0,Manhattan Bridge,670000.0,0.1869134328358209
300020904,2017-04-30,135006.0,Brooklyn Bridge,670000.0,0.20150149253731342
100009425,2017-05-31,68600.0,Prospect Park West,779879.0,0.08796236339226983
100009427,2017-05-31,177015.0,Williamsburg Bridge,779879.0,0.22697751830732715
100009428,2017-05-31,126320.0,Queensboro Bridge,779879.0,0.16197384466051784
100010017,2017-05-31,14762.0,Staten Island Ferry,779879.0,0.018928577381875908
100010019,2017-05-31,93524.0,Kent Ave btw N 8 St and N 9 St,779879.0,0.11992116725799772
100062893,2017-05-31,147676.0,Manhattan Bridge,779879.0,0.18935757982969154
300020904,2017-05-31,151982.0,Brooklyn Bridge,779879.0,0.19487894917032
100009425,2017-06-30,83469.0,Prospect Park West,901804.0,0.0925578063525999
100009427,2017-06-30,198600.0,Williamsburg Bridge,901804.0,0.2202252374130077
100009428,2017-06-30,142096.0,Queensboro Bridge,901804.0,0.15756860692567343
100010017,2017-06-30,16029.0,Staten Island Ferry,901804.0,0.017774372258273417
100010018,2017-06-30,17124.0,Pulaski Bridge,901804.0,0.018988605062740905
100010019,2017-06-30,112377.0,Kent Ave btw N 8 St and N 9 St,901804.0,0.12461355239054163
100062893,2017-06-30,166697.0,Manhattan Bridge,901804.0,0.18484837059937637
300020904,2017-06-30,165412.0,Brooklyn Bridge,901804.0,0.18342344899778665
100009425,2017-07-31,85577.0,Prospect Park West,946614.0,0.0904032689142565
100009427,2017-07-31,188284.0,Williamsburg Bridge,946614.0,0.19890261500463757
100009428,2017-07-31,141068.0,Queensboro Bridge,946614.0,0.14902378371754485
100010017,2017-07-31,17021.0,Staten Island Ferry,946614.0,0.0179809299249747
100010018,2017-07-31,68187.0,Pulaski Bridge,946614.0,0.07203252857025144
100010019,2017-07-31,114918.0,Kent Ave btw N 8 St and N 9 St,946614.0,0.12139900740956715
100062893,2017-07-31,160689.0,Manhattan Bridge,946614.0,0.16975134532132422
300020904,2017-07-31,170870.0,Brooklyn Bridge,946614.0,0.18050652113744356
100009425,2017-08-31,81196.0,Prospect Park West,1000250.0,0.08117570607348162
100009427,2017-08-31,198611.0,Williamsburg Bridge,1000250.0,0.19856135966008498
100009428,2017-08-31,160251.0,Queensboro Bridge,1000250.0,0.16021094726318422
100010017,2017-08-31,17973.0,Staten Island Ferry,1000250.0,0.017968507873031742
100010018,2017-08-31,70286.0,Pulaski Bridge,1000250.0,0.07026843289177706
100010019,2017-08-31,112528.0,Kent Ave btw N 8 St and N 9 St,1000250.0,0.11249987503124219
100062893,2017-08-31,169655.0,Manhattan Bridge,1000250.0,0.1696125968507873
300020904,2017-08-31,189750.0,Brooklyn Bridge,1000250.0,0.18970257435641089
100009425,2017-09-30,82334.0,Prospect Park West,975671.0,0.08438705260277286
100009427,2017-09-30,198430.0,Williamsburg Bridge,975671.0,0.2033779829471205
100009428,2017-09-30,151615.0,Queensboro Bridge,975671.0,0.155395620039952
100010017,2017-09-30,15393.0,Staten Island Ferry,975671.0,0.015776834609207407
100010018,2017-09-30,72351.0,Pulaski Bridge,975671.0,0.07415511991234751
100010019,2017-09-30,113109.0,Kent Ave btw N 8 St and N 9 St,975671.0,0.11592944752893138
100062893,2017-09-30,168701.0,Manhattan Bridge,975671.0,0.1729076707209705
300020904,2017-09-30,173738.0,Brooklyn Bridge,975671.0,0.17807027163869787
100009425,2017-10-31,77085.0,Prospect Park West,900381.0,0.08561375684293648
100009427,2017-10-31,185847.0,Williamsburg Bridge,900381.0,0.20640928673528205
100009428,2017-10-31,147971.0,Queensboro Bridge,900381.0,0.16434265050017716
100010017,2017-10-31,13412.0,Staten Island Ferry,900381.0,0.014895916284328523
100010018,2017-10-31,63011.0,Pulaski Bridge,900381.0,0.06998259625647364
100010019,2017-10-31,96043.0,Kent Ave btw N 8 St and N 9 St,900381.0,0.10666928777928454
100062893,2017-10-31,156712.0,Manhattan Bridge,900381.0,0.17405076295479358
300020904,2017-10-31,160300.0,Brooklyn Bridge,900381.0,0.178035742646724
100009425,2017-11-30,55552.0,Prospect Park West,582091.0,0.09543524981489149
100009427,2017-11-30,121990.0,Williamsburg Bridge,582091.0,0.20957204285927802
100009428,2017-11-30,100311.0,Queensboro Bridge,582091.0,0.1723287252336834
100010017,2017-11-30,9798.0,Staten Island Ferry,582091.0,0.01683241967321261
100010018,2017-11-30,40741.0,Pulaski Bridge,582091.0,0.06999077463832974
100010019,2017-11-30,59345.0,Kent Ave btw N 8 St and N 9 St,582091.0,0.10195141309520332
100062893,2017-11-30,101312.0,Manhattan Bridge,582091.0,0.17404838762324104
300020904,2017-11-30,93042.0,Brooklyn Bridge,582091.0,0.15984098706216038
100009425,2017-12-31,39127.0,Prospect Park West,372598.0,0.10501129904078926
100009427,2017-12-31,73651.0,Williamsburg Bridge,372598.0,0.19766880122813327
100009428,2017-12-31,71776.0,Queensboro Bridge,372598.0,0.19263656809752064
100010017,2017-12-31,7409.0,Staten Island Ferry,372598.0,0.019884701474511404
100010018,2017-12-31,26937.0,Pulaski Bridge,372598.0,0.0722950740476331
100010019,2017-12-31,37481.0,Kent Ave btw N 8 St and N 9 St,372598.0,0.1005936693165288
100062893,2017-12-31,61129.0,Manhattan Bridge,372598.0,0.16406153548864996
300020904,2017-12-31,55088.0,Brooklyn Bridge,372598.0,0.14784835130623353
100009425,2018-01-31,32867.0,Prospect Park West,284338.0,0.1155913033080348
100009427,2018-01-31,56569.0,Williamsburg Bridge,284338.0,0.19894984138595614
100009428,2018-01-31,49462.0,Queensboro Bridge,284338.0,0.17395494095055883
100010017,2018-01-31,6196.0,Staten Island Ferry,284338.0,0.021790967088465136
100010018,2018-01-31,21237.0,Pulaski Bridge,284338.0,0.07468927825334637
100010019,2018-01-31,29311.0,Kent Ave btw N 8 St and N 9 St,284338.0,0.10308506073757288
100062893,2018-01-31,47658.0,Manhattan Bridge,284338.0,0.16761037919658997
300020904,2018-01-31,41038.0,Brooklyn Bridge,284338.0,0.14432822907947584
100009425,2018-02-28,36546.0,Prospect Park West,355442.0,0.10281846264650772
100009427,2018-02-28,72032.0,Williamsburg Bridge,355442.0,0.2026547228521109
100009428,2018-02-28,58290.0,Queensboro Bridge,355442.0,0.16399300026445945
100010017,2018-02-28,6637.0,Staten Island Ferry,355442.0,0.018672526038003387
100010018,2018-02-28,26789.0,Pulaski Bridge,355442.0,0.07536813319753996
100010019,2018-02-28,36361.0,Kent Ave btw N 8 St and N 9 St,355442.0,0.10229798391861401
100062893,2018-02-28,61253.0,Manhattan Bridge,355442.0,0.17232910010634647
300020904,2018-02-28,57534.0,Brooklyn Bridge,355442.0,0.16186607097641809
100009425,2018-03-31,42945.0,Prospect Park West,395197.0,0.1086673228794753
100009427,2018-03-31,80252.0,Williamsburg Bridge,395197.0,0.2030683431301351
100009428,2018-03-31,64347.0,Queensboro Bridge,395197.0,0.16282259227676324
100010017,2018-03-31,6997.0,Staten Island Ferry,395197.0,0.0177050939151866
100010018,2018-03-31,30513.0,Pulaski Bridge,395197.0,0.07720959420238514
100010019,2018-03-31,40867.0,Kent Ave btw N 8 St and N 9 St,395197.0,0.10340918579847519
100062893,2018-03-31,66652.0,Manhattan Bridge,395197.0,0.16865512643061562
300020904,2018-03-31,62624.0,Brooklyn Bridge,395197.0,0.1584627413669638
100009425,2018-04-30,58521.0,Prospect Park West,591900.0,0.09886974151039027
