site,date,counts,name,total,%
100009427,2018-04-30,117531.0,Williamsburg Bridge,591900.0,0.1985656360871769
100009428,2018-04-30,89962.0,Queensboro Bridge,591900.0,0.15198851157290083
100010017,2018-04-30,9708.0,Staten Island Ferry,591900.0,0.016401419158641663
100010018,2018-04-30,43068.0,Pulaski Bridge,591900.0,0.07276229092752154
100010019,2018-04-30,66385.0,Kent Ave btw N 8 St and N 9 St,591900.0,0.11215576955566818
100062893,2018-04-30,103181.0,Manhattan Bridge,591900.0,0.17432167595877682
300020904,2018-04-30,103544.0,Brooklyn Bridge,591900.0,0.1749349552289238
100009425,2018-05-31,74620.0,Prospect Park West,904728.0,0.08247782759017075
100009427,2018-05-31,179961.0,Williamsburg Bridge,904728.0,0.1989117171127676
100009428,2018-05-31,134999.0,Queensboro Bridge,904728.0,0.14921501268889656
100010017,2018-05-31,12750.0,Staten Island Ferry,904728.0,0.014092633366050348
100010018,2018-05-31,61426.0,Pulaski Bridge,904728.0,0.06789443899160853
100010019,2018-05-31,98152.0,Kent Ave btw N 8 St and N 9 St,904728.0,0.1084878549132999
100062893,2018-05-31,165112.0,Manhattan Bridge,904728.0,0.18249904943806317
300020904,2018-05-31,177708.0,Brooklyn Bridge,904728.0,0.19642146589914317
100009425,2018-06-30,83889.0,Prospect Park West,945433.0,0.08873077203778586
100009427,2018-06-30,192233.0,Williamsburg Bridge,945433.0,0.2033279989168984
100009428,2018-06-30,144022.0,Queensboro Bridge,945433.0,0.15233443300582908
100010017,2018-06-30,13576.0,Staten Island Ferry,945433.0,0.014359558001465995
100010018,2018-06-30,67283.0,Pulaski Bridge,945433.0,0.071166333309711
100010019,2018-06-30,109245.0,Kent Ave btw N 8 St and N 9 St,945433.0,0.11555022936580382
100062893,2018-06-30,167155.0,Manhattan Bridge,945433.0,0.17680258675125576
300020904,2018-06-30,168030.0,Brooklyn Bridge,945433.0,0.17772808861125008
100009425,2018-07-31,84129.0,Prospect Park West,918742.0,0.09156977693411208
100009427,2018-07-31,180972.0,Williamsburg Bridge,918742.0,0.1969780417135605
100009428,2018-07-31,140051.0,Queensboro Bridge,918742.0,0.1524377899344974
100010017,2018-07-31,14355.0,Staten Island Ferry,918742.0,0.015624625847082206
100010018,2018-07-31,67842.0,Pulaski Bridge,918742.0,0.07384227563342048
100010019,2018-07-31,107832.0,Kent Ave btw N 8 St and N 9 St,918742.0,0.11736918525549066
100062893,2018-07-31,152359.0,Manhattan Bridge,918742.0,0.16583436917001726
300020904,2018-07-31,171202.0,Brooklyn Bridge,918742.0,0.18634393551181944
100009425,2018-08-31,77438.0,Prospect Park West,912886.0,0.08482767837386049
100009427,2018-08-31,183326.0,Williamsburg Bridge,912886.0,0.20082025576030305
100009428,2018-08-31,140280.0,Queensboro Bridge,912886.0,0.1536665038131815
100010017,2018-08-31,13896.0,Staten Island Ferry,912886.0,0.01522205401331601
100010018,2018-08-31,65684.0,Pulaski Bridge,912886.0,0.07195202905948826
100010019,2018-08-31,100400.0,Kent Ave btw N 8 St and N 9 St,912886.0,0.10998087384405063
100062893,2018-08-31,152208.0,Manhattan Bridge,912886.0,0.16673275743082927
300020904,2018-08-31,179654.0,Brooklyn Bridge,912886.0,0.19679784770497083
100009425,2018-09-30,75368.0,Prospect Park West,811763.0,0.09284483278986601
100009427,2018-09-30,161971.0,Williamsburg Bridge,811763.0,0.1995299120556123
100009428,2018-09-30,120718.0,Queensboro Bridge,811763.0,0.1487108922185416
100010017,2018-09-30,12902.0,Staten Island Ferry,811763.0,0.015893801515959708
100010018,2018-09-30,62643.0,Pulaski Bridge,811763.0,0.07716907521037544
100010019,2018-09-30,93128.0,Kent Ave btw N 8 St and N 9 St,811763.0,0.1147231396355833
100062893,2018-09-30,136681.0,Manhattan Bridge,811763.0,0.1683754987601061
300020904,2018-09-30,148352.0,Brooklyn Bridge,811763.0,0.18275284781395554
100009425,2018-10-31,71317.0,Prospect Park West,797875.0,0.0893836753877487
100009427,2018-10-31,170622.0,Williamsburg Bridge,797875.0,0.21384552718157607
100009428,2018-10-31,122110.0,Queensboro Bridge,797875.0,0.15304402318658938
100010017,2018-10-31,12501.0,Staten Island Ferry,797875.0,0.01566786777377409
100010018,2018-10-31,57293.0,Pulaski Bridge,797875.0,0.0718069873100423
100010019,2018-10-31,81605.0,Kent Ave btw N 8 St and N 9 St,797875.0,0.10227792574024754
100062893,2018-10-31,144631.0,Manhattan Bridge,797875.0,0.18127024909916967
300020904,2018-10-31,137796.0,Brooklyn Bridge,797875.0,0.17270374432085225
100009425,2018-11-30,51444.0,Prospect Park West,470122.0,0.10942691471575464
100009427,2018-11-30,99749.0,Williamsburg Bridge,470122.0,0.2121768392034408
100009428,2018-11-30,76154.0,Queensboro Bridge,470122.0,0.16198773935276375
100010017,2018-11-30,8696.0,Staten Island Ferry,470122.0,0.018497326225958368
100010018,2018-11-30,34970.0,Pulaski Bridge,470122.0,0.07438494688612743
100010019,2018-11-30,47314.0,Kent Ave btw N 8 St and N 9 St,470122.0,0.10064196102288342
100062893,2018-11-30,84183.0,Manhattan Bridge,470122.0,0.17906628492178625
300020904,2018-11-30,67612.0,Brooklyn Bridge,470122.0,0.1438179876712853
100009425,2018-12-31,43146.0,Prospect Park West,362922.0,0.11888504968009656
100009427,2018-12-31,73777.0,Williamsburg Bridge,362922.0,0.20328610555436155
100009428,2018-12-31,62153.0,Queensboro Bridge,362922.0,0.1712571847394206
100010017,2018-12-31,7641.0,Staten Island Ferry,362922.0,0.02105411080066791
100010018,2018-12-31,28538.0,Pulaski Bridge,362922.0,0.0786339764467296
100010019,2018-12-31,36052.0,Kent Ave btw N 8 St and N 9 St,362922.0,0.0993381497952728
100062893,2018-12-31,64871.0,Manhattan Bridge,362922.0,0.17874639729749092
300020904,2018-12-31,46744.0,Brooklyn Bridge,362922.0,0.12879902568596008
100009425,2019-01-31,41943.0,Prospect Park West,333693.0,0.12569337684638276
100009427,2019-01-31,68086.0,Williamsburg Bridge,333693.0,0.20403784316722257
100009428,2019-01-31,55890.0,Queensboro Bridge,333693.0,0.16748927906788574
100010017,2019-01-31,7148.0,Staten Island Ferry,333693.0,0.021420886863074744
100010018,2019-01-31,26474.0,Pulaski Bridge,333693.0,0.07933639602868504
100010019,2019-01-31,32977.0,Kent Ave btw N 8 St and N 9 St,333693.0,0.09882436850638161
100062893,2019-01-31,59455.0,Manhattan Bridge,333693.0,0.1781727516010225
300020904,2019-01-31,41720.0,Brooklyn Bridge,333693.0,0.12502509791934502
100009425,2019-02-28,38658.0,Prospect Park West,330647.0,0.11691622788048886
100009427,2019-02-28,71376.0,Williamsburg Bridge,330647.0,0.21586767761389034
100009428,2019-02-28,54736.0,Queensboro Bridge,330647.0,0.1655421038146422
100010017,2019-02-28,6726.0,Staten Island Ferry,330647.0,0.020341935659479747
100010018,2019-02-28,26291.0,Pulaski Bridge,330647.0,0.07951380172812697
100010019,2019-02-28,34510.0,Kent Ave btw N 8 St and N 9 St,330647.0,0.10437112691178205
100062893,2019-02-28,57232.0,Manhattan Bridge,330647.0,0.17309093988452942
300020904,2019-02-28,41118.0,Brooklyn Bridge,330647.0,0.1243561865070604
100009425,2019-03-31,50675.0,Prospect Park West,463369.0,0.10936208507690415
100009427,2019-03-31,99832.0,Williamsburg Bridge,463369.0,0.21544816334282182
100009428,2019-03-31,73846.0,Queensboro Bridge,463369.0,0.15936758825040087
100010017,2019-03-31,8148.0,Staten Island Ferry,463369.0,0.017584257902449236
100010018,2019-03-31,36458.0,Pulaski Bridge,463369.0,0.07868027425226978
100010019,2019-03-31,49956.0,Kent Ave btw N 8 St and N 9 St,463369.0,0.10781040596155547
100062893,2019-03-31,83482.0,Manhattan Bridge,463369.0,0.18016310974622818
300020904,2019-03-31,60972.0,Brooklyn Bridge,463369.0,0.1315841154673705
100009425,2019-04-30,67088.0,Prospect Park West,700580.0,0.09576065545690714
100009427,2019-04-30,146680.0,Williamsburg Bridge,700580.0,0.20936937965685576
100009428,2019-04-30,103843.0,Queensboro Bridge,700580.0,0.14822432841360017
100010017,2019-04-30,10882.0,Staten Island Ferry,700580.0,0.015532844214793456
100010018,2019-04-30,52380.0,Pulaski Bridge,700580.0,0.07476662194181964
100010019,2019-04-30,75999.0,Kent Ave btw N 8 St and N 9 St,700580.0,0.10848011647492078
100062893,2019-04-30,129394.0,Manhattan Bridge,700580.0,0.18469553798281424
300020904,2019-04-30,114314.0,Brooklyn Bridge,700580.0,0.16317051585828884
100009425,2019-05-31,77548.0,Prospect Park West,790942.0,0.0980451158239163
100009427,2019-05-31,170982.0,Williamsburg Bridge,790942.0,0.2161751430572659
100009428,2019-05-31,119091.0,Queensboro Bridge,790942.0,0.15056856254946632
100010017,2019-05-31,12750.0,Staten Island Ferry,790942.0,0.016120018914155525
100010018,2019-05-31,59340.0,Pulaski Bridge,790942.0,0.07502446449929324
100010019,2019-05-31,92759.0,Kent Ave btw N 8 St and N 9 St,790942.0,0.11727661446730607
100062893,2019-05-31,133906.0,Manhattan Bridge,790942.0,0.16929939237011057
300020904,2019-05-31,124566.0,Brooklyn Bridge,790942.0,0.15749068831848606
100009425,2019-06-30,91088.0,Prospect Park West,848441.0,0.1073592624590278
100009427,2019-06-30,185982.0,Williamsburg Bridge,848441.0,0.21920439959879356
100009428,2019-06-30,125659.0,Queensboro Bridge,848441.0,0.14810576103700787
100010017,2019-06-30,13154.0,Staten Island Ferry,848441.0,0.015503729782035522
100010018,2019-06-30,65793.0,Pulaski Bridge,848441.0,0.07754575745396557
100010019,2019-06-30,103355.0,Kent Ave btw N 8 St and N 9 St,848441.0,0.12181754535671897
100062893,2019-06-30,137072.0,Manhattan Bridge,848441.0,0.16155749191752874
300020904,2019-06-30,126338.0,Brooklyn Bridge,848441.0,0.14890605239492197
100009425,2019-07-31,83488.0,Prospect Park West,858581.0,0.09723951496713763
100009427,2019-07-31,184592.0,Williamsburg Bridge,858581.0,0.21499660486314046
100009428,2019-07-31,135950.0,Queensboro Bridge,858581.0,0.15834266073905665
100010017,2019-07-31,13807.0,Staten Island Ferry,858581.0,0.016081185118235787
100010018,2019-07-31,64222.0,Pulaski Bridge,858581.0,0.07480016445740123
100010019,2019-07-31,99687.0,Kent Ave btw N 8 St and N 9 St,858581.0,0.11610669232140007
100062893,2019-07-31,143585.0,Manhattan Bridge,858581.0,0.1672352404723608
300020904,2019-07-31,133250.0,Brooklyn Bridge,858581.0,0.15519793706126736
100009425,2019-08-31,84851.0,Prospect Park West,924087.0,0.09182144105479247
100009427,2019-08-31,198908.0,Williamsburg Bridge,924087.0,0.21524813139888344
100009428,2019-08-31,143951.0,Queensboro Bridge,924087.0,0.15577645827719686
100010017,2019-08-31,14857.0,Staten Island Ferry,924087.0,0.016077490539310693
100010018,2019-08-31,68231.0,Pulaski Bridge,924087.0,0.07383612149072544
100010019,2019-08-31,106660.0,Kent Ave btw N 8 St and N 9 St,924087.0,0.11542203277397041
100062893,2019-08-31,153611.0,Manhattan Bridge,924087.0,0.16623001946786395
300020904,2019-08-31,153018.0,Brooklyn Bridge,924087.0,0.16558830499725674
100009425,2019-09-30,88969.0,Prospect Park West,934248.0,0.09523060258089928
100009427,2019-09-30,207942.0,Williamsburg Bridge,934248.0,0.22257687466283044
100009428,2019-09-30,141162.0,Queensboro Bridge,934248.0,0.1510969250134868
100010017,2019-09-30,13956.0,Staten Island Ferry,934248.0,0.014938217689521412
100010018,2019-09-30,72428.0,Pulaski Bridge,934248.0,0.07752545362687424
100010019,2019-09-30,105301.0,Kent Ave btw N 8 St and N 9 St,934248.0,0.11271204219864532
100062893,2019-09-30,160842.0,Manhattan Bridge,934248.0,0.17216199553009479
300020904,2019-09-30,143648.0,Brooklyn Bridge,934248.0,0.15375788869764773
100009425,2019-10-31,72349.0,Prospect Park West,747077.0,0.09684276185721151
100009427,2019-10-31,163784.0,Williamsburg Bridge,747077.0,0.2192330911003819
100009428,2019-10-31,116190.0,Queensboro Bridge,747077.0,0.1555261371987091
100010017,2019-10-31,11685.0,Staten Island Ferry,747077.0,0.015640958027084224
100010018,2019-10-31,55053.0,Pulaski Bridge,747077.0,0.0736911991668864
100010019,2019-10-31,76963.0,Kent Ave btw N 8 St and N 9 St,747077.0,0.10301883206148764
100057320,2019-10-31,11407.0,Columbus Ave at 86 St,747077.0,0.015268841096700875
100062893,2019-10-31,129658.0,Manhattan Bridge,747077.0,0.17355373007066205
300020904,2019-10-31,109988.0,Brooklyn Bridge,747077.0,0.14722444942087629
100009425,2019-11-30,58116.0,Prospect Park West,553362.0,0.10502347468745594
100009427,2019-11-30,113867.0,Williamsburg Bridge,553362.0,0.20577307440698855
100009428,2019-11-30,84128.0,Queensboro Bridge,553362.0,0.15203067792873382
100010017,2019-11-30,9581.0,Staten Island Ferry,553362.0,0.017314163242145287
100010018,2019-11-30,37151.0,Pulaski Bridge,553362.0,0.06713688326990289
100010019,2019-11-30,51940.0,Kent Ave btw N 8 St and N 9 St,553362.0,0.09386260711794449
100057320,2019-11-30,40645.0,Columbus Ave at 86 St,553362.0,0.0734510139836129
100062893,2019-11-30,92154.0,Manhattan Bridge,553362.0,0.16653474579027833
300020904,2019-11-30,65780.0,Brooklyn Bridge,553362.0,0.11887335957293779
100009425,2019-12-31,41063.0,Prospect Park West,344760.0,0.11910604478477782
100009427,2019-12-31,66799.0,Williamsburg Bridge,344760.0,0.193755075994895
100009428,2019-12-31,57945.0,Queensboro Bridge,344760.0,0.16807344239470937
100010017,2019-12-31,7101.0,Staten Island Ferry,344760.0,0.02059693699965193
100010018,2019-12-31,22713.0,Pulaski Bridge,344760.0,0.06588061260006961
100010019,2019-12-31,35136.0,Kent Ave btw N 8 St and N 9 St,344760.0,0.10191437521754264
100057320,2019-12-31,30263.0,Columbus Ave at 86 St,344760.0,0.08777990486135283
100062893,2019-12-31,51462.0,Manhattan Bridge,344760.0,0.1492690567351201
300020904,2019-12-31,32278.0,Brooklyn Bridge,344760.0,0.09362455041188072
100009425,2020-01-31,51137.0,Prospect Park West,460325.0,0.11108890457828707
100009427,2020-01-31,93714.0,Williamsburg Bridge,460325.0,0.20358225167001576
100009428,2020-01-31,74596.0,Queensboro Bridge,460325.0,0.16205072503122794
100010017,2020-01-31,8701.0,Staten Island Ferry,460325.0,0.01890186281431597
100010018,2020-01-31,32521.0,Pulaski Bridge,460325.0,0.07064791180144463
100010019,2020-01-31,43269.0,Kent Ave btw N 8 St and N 9 St,460325.0,0.09399663281377288
100057320,2020-01-31,32733.0,Columbus Ave at 86 St,460325.0,0.0711084559821865
100062893,2020-01-31,75852.0,Manhattan Bridge,460325.0,0.1647792320643024
300020904,2020-01-31,47802.0,Brooklyn Bridge,460325.0,0.10384402324444686
100009425,2020-02-29,46062.0,Prospect Park West,415630.0,0.11082453143420831
100009427,2020-02-29,84602.0,Williamsburg Bridge,415630.0,0.20355123547385895
100009428,2020-02-29,68286.0,Queensboro Bridge,415630.0,0.16429516637393834
100010017,2020-02-29,7664.0,Staten Island Ferry,415630.0,0.018439477419820514
100010018,2020-02-29,29124.0,Pulaski Bridge,415630.0,0.07007193898419267
100010019,2020-02-29,40338.0,Kent Ave btw N 8 St and N 9 St,415630.0,0.09705266703558453
100057320,2020-02-29,30926.0,Columbus Ave at 86 St,415630.0,0.07440752592450016
100062893,2020-02-29,65966.0,Manhattan Bridge,415630.0,0.1587132786372495
300020904,2020-02-29,42662.0,Brooklyn Bridge,415630.0,0.10264417871664702
100009425,2020-03-31,56367.0,Prospect Park West,547315.0,0.10298822433150928
100009427,2020-03-31,115964.0,Williamsburg Bridge,547315.0,0.21187798616884243
100009428,2020-03-31,87870.0,Queensboro Bridge,547315.0,0.16054739957793956
100010017,2020-03-31,7598.0,Staten Island Ferry,547315.0,0.01388231639914857
100010018,2020-03-31,40122.0,Pulaski Bridge,547315.0,0.07330696216986561
100010019,2020-03-31,57530.0,Kent Ave btw N 8 St and N 9 St,547315.0,0.10511314325388488
100057320,2020-03-31,30499.0,Columbus Ave at 86 St,547315.0,0.055724765445858415
100062893,2020-03-31,87907.0,Manhattan Bridge,547315.0,0.16061500232955428
300020904,2020-03-31,63458.0,Brooklyn Bridge,547315.0,0.11594420032339695
100009425,2020-04-30,48057.0,Prospect Park West,449093.0,0.10700901594992573
100009427,2020-04-30,92363.0,Williamsburg Bridge,449093.0,0.20566564163770087
100009428,2020-04-30,72935.0,Queensboro Bridge,449093.0,0.16240511430817225
100010017,2020-04-30,4861.0,Staten Island Ferry,449093.0,0.010824038673504151
100010018,2020-04-30,40054.0,Pulaski Bridge,449093.0,0.08918865357509469
100010019,2020-04-30,57440.0,Kent Ave btw N 8 St and N 9 St,449093.0,0.12790223851184498
100057320,2020-04-30,23030.0,Columbus Ave at 86 St,449093.0,0.05128113775988492
100062893,2020-04-30,56735.0,Manhattan Bridge,449093.0,0.1263324077640934
300020904,2020-04-30,53618.0,Brooklyn Bridge,449093.0,0.11939175181977897
100009425,2020-05-31,93759.0,Prospect Park West,917561.0,0.10218285214824954
100009427,2020-05-31,186791.0,Williamsburg Bridge,917561.0,0.20357338640155803
