Date,Date2,Avg Daily Rides,Annual Membership ,Active Stations,Fleet Size,Total Trips,Total Miles Traveled
2013-06,June 2013,20619,52130,322,5130,618572,1684574
2013-07,July 2013,30770,66315,328,5531,953872,1881929
2013-08,August 2013,35788,77138,332,5681,1109428,2165952
2013-09,September 2013,35630,85241,332,5513,1104527,2000200
2013-10,October 2013,35070,93124,332,5623,1087170,1809330
2013-11,November 2013,22633,94955,332,5900,701619,1082328
2013-12,December 2013,14867,96125,332,6499,460871,698298
2014-01,January 2014,10088,97138,332,5441,312728,456539
2014-02,February 2014,7979,97864,329,5949,247352,417577
2014-03,March 2014,14562,100600,327,5028,451432,703956
2014-04,April 2014,22388,105367,324,5731,671626,1231877
2014-05,May 2014,30808,105359,327,5149,955032,1686310
2014-06,June 2014,34516,96318,325,5362,1035478,1870986
2014-07,July 2014,34238,93501,323,5411,1061379,1850555
2014-08,August 2014,34176,93184,325,5079,1059463,1907282
2014-09,September 2014,35072,90879,325,5043,1052153,1798856
2014-10,October 2014,29812,89286,328,5279,924178,1496213
2014-11,November 2014,19457,88495,325,4995,583710,858608
2014-12,December 2014,14111,88405,325,4077,437456,615387
2015-01,January 2015,10119,88010,327,3479,313704,409152
2015-02,February 2015,7493,87898,328,2457,209795,276296
2015-03,March 2015,10088,87910,327,3826,312715,281461
2015-04,April 2015,23597,86193,320,3643,707915,1122050
2015-05,May 2015,33538,84335,319,4584,1039675,1877843
2015-06,June 2015,31371,86743,324,5452,941117,1683557
2015-07,July 2015,35015,80885,325,6043,1085477,2016625
2015-08,August 2015,37566,81406,412,6628,1164533,2218900
2015-09,September 2015,42990,87842,442,7350,1289709,2495965
2015-10,October 2015,39105,90585,450,7359,1212269,2505898
2015-11,November 2015,32909,91901,465,6933,987259,1096567
2015-12,December 2015,25939,92781,456,6628,804112,1500519
2016-01,January 2016,18870,93366,467,6518,509478,862931
2016-02,February 2016,19340,94324,469,6947,560865,993521
2016-03,March 2016,29675,97302,469,6673,919911,1779332
2016-04,April 2016,33771,,,,,
2016-05,May 2016,39108,,,,,
2016-06,June 2016,48677,108601,467,7164,1460303,3432044
2016-07,July 2016,44512,,,,,
2016-08,August 2016,50239,,,,,
2016-09,September 2016,54951,,,,,
2016-10,October 2016,50763,118950,590,9475,1573653,3359566
2016-11,November 2016,39474,119467,594,9485,1184214,2692134
2016-12,December 2016,26021,119681,585,7993,806650,1732563
2017-01,January 2017,23331,120460,597,7156,723254,1606368
2017-02,February 2017,27988,121592,598,7382,783654,1987851
2017-03,March 2017,25805,121743,594,8669,722529,1727669
2017-04,April 2017,43846,124450,593,9461,1315370,3427151
2017-05,May 2017,49137,128438,605,9174,1523249,3803981
2017-06,June 2017,57705,130301,608,8503,1731155,4126207
2017-07,July 2017,55988,132265,608,9023,1735637,4234279
2017-08,August 2017,58593,132679,609,9493,1816382,4360292
2017-09,September 2017,62605,133944,622,10017,1878158,4320996
2017-10,October 2017,61204,136499,727,9591,1897310,4062340
2017-11,November 2017,44354,136510,729,11367,1330631,2673757
2017-12,December 2017,28708,136702,740,9966,889955,1814150
2018-01,January 2018,23193,137003,752,9140,718980,1410002
2018-02,February 2018,30111,138109,752,8393,843097,1749467
2018-03,March 2018,31508,138109,750,9552,976749,2079919
2018-04,April 2018,43585,140462,741,10796,1307551,3124193
2018-05,May 2018,58854,144590,733,10926,1824476,4438017
2018-06,June 2018,65098,146533,739,10494,1952950,3590472
2018-07,July 2018,61730,147040,751,9346,1913639,3532821
2018-08,August 2018,63738,146567,749,9710,1975891,3549619
2018-09,September 2018,62576,146437,753,8960,1877279,3370028
2018-10,October 2018,61142,146760,749,8107,1895402,3160086
2018-11,November 2018,39335,147090,749,10505,1180064,2028127
2018-12,December 2018,41172,147090,746,11500,1276332,1829942
2019-01,January 2019,37951,151534,757,11500,998608,1394824
2019-02,February 2019,34821,148447,760,11305,974974,1504181
2019-03,March 2019,43604,150929,757,12744,1351725,2244298
2019-04,April 2019,59978,152482,775,12035,1799337,3429450
2019-05,May 2019,63253,152309,777,11422,1960885,3561690
2019-06,June 2019,72163,152314,759,12253,2164915,4068590
2019-07,July 2019,71787,153346,778,12525,2225392,4055203
2019-08,August 2019,77213,153726,781,12789,2393606,4436534
2019-09,September 2019,80475,153536,793,13971,2494735,4539663
2019-10,October 2019,68886,152465,817,13222,2135457,3600144
2019-11,November 2019,50329,152465,853,14719,1509888,2330797
2019-12,December 2019,31458,149740,864,12898,975203,1412123
