LocID,Boro,On,From,To,2007 Spring AM,2007 Fall AM,2008 Spring AM,2008 Fall AM,2009 Spring AM,2009 Fall AM,2010 Spring AM,2010 Fall AM,2011 Spring AM,2011 Fall AM,2012 Spring AM,2012 Fall AM,2013 Spring AM,2013 Fall AM,2014 Spring AM,2014 Fall AM,2015 Spring AM,2015 Fall AM,2016 Spring AM,2016 Fall AM,2017 Spring AM,2017 Fall AM,2018 Spring AM,2018 Fall AM,2019 Spring AM,2020 Fall AM,2021 Spring AM,2007 Spring PM,2007 Fall PM,2008 Spring PM,2008 Fall PM,2009 Spring PM,2009 Fall PM,2010 Spring PM,2010 Fall PM,2011 Spring PM,2011 Fall PM,2012 Spring PM,2012 Fall PM,2013 Spring PM,2013 Fall PM,2014 Spring PM,2014 Fall PM,2015 Spring PM,2015 Fall PM,2016 Spring PM,2016 Fall PM,2017 Spring PM,2017 Fall PM,2018 Spring PM,2018 Fall PM,2019 Spring PM,2020 Fall PM,2021 Spring PM,2007 Spring SAT,2007 Fall SAT,2008 Spring SAT,2008 Fall SAT,2009 Spring SAT,2009 Fall SAT,2010 Spring SAT,2010 Fall SAT,2011 Spring SAT,2011 Fall SAT,2012 Spring SAT,2012 Fall SAT,2013 Spring SAT,2013 Fall SAT,2014 Spring SAT,2014 Fall SAT,2015 Spring SAT,2015 Fall SAT,2016 Spring SAT,2016 Fall SAT,2017 Spring SAT,2017 Fall SAT,2018 Spring SAT,2018 Fall SAT,2019 Spring SAT,2020 Fall SAT,2021 Spring SAT
54,Manhattan,West 125th Street,Adam C. Powell Boulevard,Lenox Avenue,1706,1638,1921,2152,1277,2398,2042,2388,2231,2582,1900,2126,2121,2476,2123,1985,2308,2070,2129,2077,2227,1979,2144,2266,1448,906,963,7519,7546,7831,7681,8561,7903,7855,8710,8165,8638,5255,8851,9253,9667,8114,7754,8328,8046,8010,8199,7957,8087,8074,7664,8740,5290,3669,3949,5084,5219,4484,3984,5492,7142,6443,6800,6698,5603,5540,5586,5256,5767,5434,5792,5588,5791,5483,5857,5486,5852,4762,5437,4421,3651
55,Manhattan,West 14th Street,Hudson Street,Eighth Avenue,1540,1902,1520,1568,1360,2047,1458,2159,1800,1949,2106,2024,2078,2176,5272,2032,1935,2075,2150,2193,1769,2128,2252,1841,2168,724,1306,5089,5474,6274,5664,6047,6649,6221,7055,8911,11166,4993,9462,9234,9180,11953,8263,8995,8066,8456,8523,8995,9186,9369,7133,8860,1975,5804,2960,2337,2701,2936,2485,3890,3057,3974,4963,3514,4335,5285,5257,4950,6519,4419,4635,4751,6081,4507,5170,3972,5848,5444,4932,1888,4094
56,Manhattan,West 181st Street,St. Nicholas Avenue,Wadsworth Avenue,1305,1685,1071,1238,1032,1212,1448,1212,1375,1198,1307,1245,1266,1321,1372,1399,1380,1428,1380,1422,1343,1386,1549,1520,1196,589,789,6516,5562,7420,7394,6680,8747,8364,7940,8257,8012,5254,6921,7442,7409,7225,7357,7230,7544,7476,7555,7407,7668,7984,8036,6010,2443,4105,3281,4725,4174,4432,4881,3926,4679,5056,4476,5040,5567,7461,5704,6194,4492,6125,4512,6184,4671,6295,1343,6307,4937,4903,4361,3453,2716
57,Manhattan,West 34th Street,Broadway,Seventh Avenue,12000,10326,12391,11051,12690,11941,13421,10010,9969,11279,13645,13348,11672,12232,15806,13152,12297,10197,13835,9272,11874,14215,13511,14021,12694,3099,4199,28123,32673,32736,29019,21943,27764,30544,30103,31701,27249,18969,26865,28348,30743,29150,25591,26852,25687,33102,25365,25185,25734,30643,31953,28606,8568,15230,12528,14201,14646,16268,13971,12044,10055,9900,14182,11137,13790,13036,15594,13107,10806,12222,12297,11670,12029,15233,10944,17262,12904,13000,11452,5287,7422
58,Manhattan,West 40th Street,Avenue of the Americas,Fifth Avenue,5454,5284,6019,6258,5064,6160,6479,7467,5540,6362,8340,7269,5930,6499,6020,7673,7085,6415,7257,6089,5923,7553,7334,7971,6275,1214,2136,11571,11208,10301,8616,10654,13985,11224,12457,11750,11933,8884,14127,12133,12234,12837,14418,13064,13370,20533,13479,11981,16774,16566,14682,13456,2049,3908,2639,2606,2175,2905,1664,2136,2868,2417,2943,1973,2616,3055,2321,3167,1693,2779,2413,2258,3407,2753,3672,3818,2921,3718,2734,1252,1660
60,Manhattan,Second Avenue,50th Street,51st Street,2335,2259,2077,2002,1605,1669,2091,2162,1853,2008,2159,2527,2425,2415,2507,2660,2257,2534,2255,2521,2604,1850,2971,2532,2527,804,1520,5371,5431,4957,3574,4840,4029,4311,4299,4564,4548,3654,5238,5912,5529,5358,4863,5259,6619,4484,5715,5938,4501,7314,5394,5494,2228,4481,2066,2047,1776,2202,1933,1493,2690,2031,2391,2181,2578,2767,2277,3284,2405,1616,1872,1894,2836,2751,2490,1904,2988,2708,2982,2713,1720
63,Manhattan,Park Avenue,50th Street,51st Street,6824,7868,5201,6059,4068,5358,5342,4100,5118,6862,5774,6951,6103,6458,6896,4229,7063,6279,4639,6021,7630,5576,5166,5194,6202,835,1587,10653,12535,10800,18973,8087,10971,10497,10317,9773,9879,6601,13358,10628,11376,12018,8301,10745,11439,10165,9465,13654,10725,9687,10011,10611,1224,2947,2025,1137,1113,1460,1464,1560,1471,1538,1598,1985,1378,2125,1534,2239,1897,1001,1730,1405,1969,1811,1362,895,1209,1328,1111,643,729
68,Manhattan,Broadway,50th Street,51st Street,3651,4158,2973,4316,3151,3934,3893,4222,3883,3680,3337,5221,3744,3841,3763,3693,3711,5050,4761,5458,4902,6000,2987,4564,3885,697,1284,11214,12401,11426,14026,8475,11771,12065,13896,13185,11856,9640,13664,13639,13493,16899,9794,15263,13880,16986,15559,16330,17338,10248,14546,15193,1823,4800,9134,9352,7308,8443,6386,8480,5874,6784,5734,5699,7974,7514,9366,7740,7208,6292,7523,7486,7928,7641,6214,9274,7929,6917,7587,1366,2585
2,Bronx,East 161st Street,Grand Concourse,Sheridan Avenue,1511,1855,1136,1939,1351,1227,2077,1007,1734,2051,1233,2113,2278,2071,2206,1949,2318,2005,2053,2109,1848,2389,1749,2006,1702,780,1405,3184,3754,2638,3283,3111,3137,3283,3069,3333,3525,1875,4099,4215,3890,4363,4435,4589,4790,4721,5485,4920,5952,5148,4723,4347,1892,2097,1971,1183,1522,1383,1304,2762,1409,1477,1772,1752,1912,1970,2288,1832,2315,2388,2483,2512,2311,2548,2143,2832,2156,1604,1576,1287,1410
3,Bronx,East Fordham Road,Valentine Avenue,Tiebout Avenue,1832,1829,1061,2497,1689,2387,2285,2807,2289,2679,2125,2704,2710,2651,2699,2752,2382,2733,2540,2422,2557,2783,2209,2246,1625,972,942,12311,9215,8013,10010,8374,10655,10943,12658,15890,13548,7635,10486,12723,10613,12490,10408,11216,10586,11272,11145,12125,12388,9634,8931,11739,6976,5576,14391,15065,7927,8013,7472,6614,10424,7714,9167,8140,7022,7421,8872,8241,6339,8266,7574,9072,8422,9775,6499,7076,7066,6212,7468,5058,4402
