ComplexID,Boro,Station,Line,Latitude,Longitude,Opening,Closing,Y1904-05,Y1905-06,Y1906-07,Y1907-08,Y1908-09,Y1909-10,Y1910-11,Y1911-12,Y1912-13,Y1913-14,Y1914-15,Y1915-16,Y1916-17,Y1917-18,Y1918-19,Y1919-20,Y1920-21,Y1921-22,Y1922-23,Y1923-24,Y1924-25,Y1925-26,Y1926-27,Y1927-28,Y1928-29,Y1929-30,Y1930-31,Y1931-32,Y1932-33,Y1933-34,Y1934-35,Y1935-36,Y1936-37,Y1937-38,Y1938-39,Y1940,Y1941,Y1942,Y1943,Y1944,Y1945,Y1946,Y1947,Y1948,Y1949,Y1950,Y1951,Y1952,Y1953,Y1954,Y1955,Y1956,Y1957,Y1958,Y1959,Y1960,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
333,Manhattan,Wall St,Broadway/7 Av Line,40.706821,-74.0091,7/1/1918, ,,,,,,,,,,,,,,,4529978,9237805,9584100,8617780,8484988,8075481,8103250,8694840,8952039,9940377,11269074,12600305,11403079,9711847,8742371,8493197,7669942,7830757,7856646,7406956,7042157,7282447,7324138,7608247,8218656,8576269,9106292,9687043,9498447,9298901,8760470,8498237,8840251,8817768,8495582,8233058,8314967,8344202,8164260,8149871,8233562,8339860,8650908,8517634,8180520,8312995,8162558,8054556,8917718,9990900,11054806,9527198,8814107,7834834,7370148,6852292,6507639,6397316,6511178,6498435,6676748,6832753,6790092,6611299,6655236,6330065,6152872,6411940,6828454,6805137,6424541,5567840,5219809,4724794,4673331,4935950,4819535,4901361,5222005,5559616,6259166,6791732,7195174,7266956,6846932,6626770,6521454,6873815,7141634,7210267,7103567,6919577,7016078,7034940,7473489,7845023,7650853,7689447,6935020,6452733,6910581,2029161
329,Manhattan,Rector St,Broadway/7 Av Line,40.707513,-74.013783,7/1/1918, ,,,,,,,,,,,,,,,1164097,1794754,1953110,1907536,1969406,1958971,1940504,1939845,1946893,2170870,2312954,2555979,2271914,2077534,1879657,2020037,1927609,2024202,2108345,2020880,2047415,2364000,2494223,2630304,3137164,3269769,3229363,2867805,2677645,2499624,2093881,2071999,2101984,2052697,1869993,1706019,1672963,1722572,1674218,1612494,1753319,1838240,2027400,2062906,2008262,2019472,1934233,1924626,2060465,2064163,2078540,1909373,1798214,1571045,1529283,1381501,1321780,1194469,1081575,1037596,1026327,1022706,890849,870939,954157,956235,953055,1179053,1270910,1282917,1186763,1007389,1000718,996875,1028243,970928,919567,928148,950915,1068313,1158258,1313073,953412,419547,1687908,1956366,1998298,1899403,1992921,2281857,2331905,2366733,2636681,3055453,3398383,3393420,3042815,2805381,2861772,2764454,2554523,708206
328,Manhattan,Cortlandt St,Broadway/7 Av Line,40.711835,-74.012188,7/1/1918, ,,,,,,,,,,,,,,,4241822,7296993,8658480,8780079,8998215,9160905,9217798,9478032,9665703,10581374,10478758,10757492,10063791,9090268,7428421,7093725,6924773,6896190,6937409,6758487,6871491,6983419,6756558,7605492,8553606,7972703,7496755,6760303,6134047,5422015,4362338,4005505,3835260,3521141,3212409,2900748,2812702,2817958,2708257,2519003,2436628,2538004,2601940,2602898,2518718,2460361,2205919,1840362,1494283,1029546,650481,554524,492677,519296,751829,1508102,1568253,1261183,1296970,1271348,1294681,1325488,1432528,1488220,1689287,1764217,1757909,2242308,2685020,2956571,3506881,3490934,3643642,3586238,3272321,3676340,3683379,3829175,3981350,4324642,4913073,5400819,3890324,,,,,,,,,,,,,,,,,1245455,4232521,1138815
327,Manhattan,Chambers St,Broadway/7 Av Line,40.715478,-74.009266,7/1/1918, ,,,,,,,,,,,,,,,3727331,5427099,6487500,6682000,7062263,7246140,7252197,7343874,7259414,7649388,7426403,7478458,7564577,7241329,6004916,5670213,5523457,5433486,5143538,4882082,5035068,4955924,4746570,5071349,4988846,5019166,5179172,5507895,5357042,5047124,4531167,4441911,4207262,4100122,3925835,3709023,3664563,3661918,3505498,3379465,3137570,3193198,3139631,3117870,2997264,2981173,2787493,2551205,2466615,2611054,2788509,2716400,2556502,2360524,2266295,2156039,2043856,1986649,1963260,2028350,2124311,2112572,2146381,2134212,2914325,3039937,3142187,3321017,3468410,3751443,3944692,3917954,3863181,3823356,3793523,3657360,3614584,3769572,3756963,4146877,4980515,4716972,4518907,4143184,4907665,5024961,5219959,5186126,5240212,5501448,5867390,6273448,6554728,6603287,6755281,6973674,7054771,6948976,6459435,6108641,5941546,1781685
326,Manhattan,Franklin St,Broadway/7 Av Line,40.719318,-74.006886,7/1/1918, ,,,,,,,,,,,,,,,1140847,2043617,2284004,2183205,2242205,2305797,2393880,2504575,2454396,2614200,2559764,2618609,2374436,2225125,1846576,1689347,1564742,1601716,1494017,1407554,1436033,1461913,1436332,1467608,1514841,1469147,1577354,1627136,1560882,1533330,1349243,1377802,1384545,1366038,1302441,1259475,1167716,1178959,1163486,1123198,1152332,1205292,1236846,1250615,1192470,1187434,1099032,1040394,1019505,1003660,1000595,909626,803784,786574,786331,743394,691320,730471,742855,770437,790153,717950,662643,627558,631238,665040,721483,832493,1014720,1099183,1167103,1278662,1260856,1232651,1240676,1287082,1341396,1454371,1461651,1504541,1637161,1848300,1997511,2119136,1765348,1736731,1764649,1706180,1704179,1740043,1660670,1719780,1777323,1714218,1703889,1745841,1731354,1782203,1700180,1757424,1567005,501136
325,Manhattan,Canal St,Broadway/7 Av Line,40.722854,-74.006277,7/1/1918, ,,,,,,,,,,,,,,,1141517,1984351,2358320,2370994,2521257,2552666,2621372,2659204,2606379,2878522,2951342,3493959,3883820,3703664,3094090,2961548,2884296,3027294,2864934,2621850,2687554,2738887,2812076,3039329,3400254,3383309,3255988,3106343,2873385,2558414,2278760,2287726,2340793,2221987,2221928,2018820,1986066,1976200,1958852,1835832,1825980,1868476,1899940,1860797,1679482,1702088,1582711,1493457,1528272,1510362,1509882,1361045,1203396,1109288,1385877,931592,818309,823752,851813,874958,867337,1139141,868144,857335,908735,923625,935217,1074855,1210973,1300549,1403477,1268229,1163964,1160635,1215072,1318340,1343874,1490267,1510897,1609742,1726845,1919929,1895864,1845972,1735003,1810452,1808762,1708412,1646809,1730591,1699577,1720337,1785923,1727415,1787110,1859071,1830920,1801063,1756236,1884371,1984827,560302
324,Manhattan,Houston St,Broadway/7 Av Line,40.728251,-74.005367,7/1/1918, ,,,,,,,,,,,,,,,1474565,2731404,3320270,3541025,3876564,3865862,3933266,4144586,4419834,5392859,6311546,6689337,6277098,5672760,4603980,4466397,4318017,4394929,4202232,3794172,3759569,3925789,4038561,4596039,5121737,5304051,4734389,4330596,4172095,3871311,3412986,3394397,3464217,3452432,3368003,3161774,3158366,3114596,3272338,3112812,3267290,3354431,3477224,3631926,3590157,3411254,3255001,3164605,3271089,3155488,3241486,3108433,2828455,2725485,2469323,2297356,2072654,1980063,1937378,2002243,1921306,1751568,1710451,1635813,1783457,1817813,1865724,2069059,2377613,2688240,2685293,2622219,2573111,2491451,2451792,2438078,2627768,2912584,3017764,3503299,3932819,4224075,4149401,4216038,4141308,4076477,3924323,3800768,3840225,3905755,3910500,3966857,4225089,4287926,4510538,4562690,4377409,4375993,4326280,4488886,4496793,1378640
323,Manhattan,Christopher St-Sheridan Sq,Broadway/7 Av Line,40.733422,-74.002906,7/1/1918, ,,,,,,,,,,,,,,,1903668,3231090,3730200,3746912,3785750,3950496,4045429,4201939,4342136,4657369,4565779,4671551,4633997,4579113,4124872,4031891,3922438,3974260,3609284,3539845,3719985,3935277,3867151,4053446,4006607,3808407,3875988,3831637,3645712,3325810,3021332,2828564,2649174,2585960,2515419,2393917,2377925,2479429,2466742,2449518,2585448,2653273,2736897,2860996,2846627,2927995,2800297,2714424,2864071,2825026,2882651,2585335,2474710,2332127,2300024,2362869,2362787,2345818,2472782,2632087,2714712,2590977,2506165,2424143,2520264,2539309,2495340,2713508,3148741,3374045,3353192,3014281,2921318,2981777,2926203,2975104,2880668,3100134,3064116,3332685,3547417,3807049,4159712,4659037,4148222,3803951,3685324,3402169,3457597,3479120,3482575,3454080,3471186,3435088,3433544,3480159,3363949,3307136,3193169,3312074,3412332,1067635
321,Manhattan,18 St,Broadway/7 Av Line,40.74104,-73.997871,7/1/1918, ,,,,,,,,,,,,,,,1484317,2575980,2901480,3008900,3222619,3235246,3260250,3402659,3336150,3618622,3523965,3577805,3317488,3305401,2770461,2492637,2404623,2542608,2447619,2228860,2331930,2495366,2360617,2423874,2538229,2372865,2325526,2402757,2250539,2202489,2040259,1942305,1876361,1856288,1787568,1673353,1763504,1780135,1668106,1616653,1767550,1891573,1902061,1960033,1988373,2005078,1942841,1897481,1918493,1960411,1997029,1826719,1690924,1567413,1483482,1401707,1315641,1262493,1233718,1242841,1269621,1143774,1067221,987363,1034806,1017613,993363,1069498,1284825,1428469,1528959,1400330,1268941,1245663,1401518,1547822,1668750,1851206,1891859,2157392,2418870,2644363,2572880,2652564,2474448,2526155,2477803,2446479,2427699,2457457,2407729,2435685,2497134,2533877,2585522,2622558,2676304,2687128,2594336,2683235,2649616,803924
320,Manhattan,23 St,Broadway/7 Av Line,40.744081,-73.995657,7/1/1918, ,,,,,,,,,,,,,,,3726267,5863302,6505700,6712992,7206363,7425696,7305133,7493387,7559992,8103426,7878871,8018774,7752219,7193360,6060531,5818655,5809698,5876377,5605705,5336164,5563690,5988532,5827971,5881762,6213444,5950235,6144560,6917057,6610737,6198550,5608846,5431295,5156063,4887777,4634050,4292286,4314415,4251281,4080570,3923671,4101371,4209392,4214248,4472123,4432168,4473378,4354569,4099276,4138053,4179001,4227429,3685027,3443970,3238259,3111131,3009935,2862508,2759220,2685987,2736559,2718316,2492418,2400333,2278202,2413399,2428733,2436949,2686918,3071550,3366486,3513004,3219183,3096111,2930886,2805878,2895609,2823099,3021577,3146530,3554246,3877053,4263137,4507936,4547117,4528750,4680703,4775795,4677482,4658455,4615267,4516335,4517687,4622230,4654520,4818903,4883773,4884678,4703374,4557216,4853909,4627755,1566363
