"Date","Subway","Subway7DayAverage"
2020-06-04,728018,603483.857142857
2020-06-05,704825,610122.714285714
2020-06-06,464207,615473
2020-06-07,378085,620281.142857143
2020-06-08,806138,637083.714285714
2020-06-09,843968,658325.428571429
2020-06-10,858782,683431.857142857
2020-06-11,819873,696554
2020-06-12,898314,724195.285714286
2020-06-13,545333,735784.714285714
2020-06-14,430446,743264.857142857
2020-06-15,898925,756520.142857143
2020-06-16,934545,769459.714285714
2020-06-17,950318,782536.285714286
2020-06-18,944318,800314.142857143
2020-06-19,988680,813223.571428571
2020-06-20,576097,817618.428571429
2020-06-21,449497,820340
2020-06-22,1002073,835075.428571429
2020-06-23,1053005,851998.285714286
2020-06-24,1070527,869171
2020-06-25,1081006,888697.857142857
2020-06-26,1104497,905243.142857143
2020-06-27,616084,910955.571428571
2020-06-28,536488,923382.857142857
2020-06-29,1103086,937813.285714286
2020-06-30,1115510,946742.571428571
2020-07-01,1122842,954216.142857143
2020-07-02,1172848,967336.428571429
2020-07-03,853015,931410.428571429
2020-07-04,592295,928012
2020-07-05,534220,927688
2020-07-06,1087178,925415.428571429
2020-07-07,1159588,931712.285714286
2020-07-08,1174733,939125.285714286
2020-07-09,1213851,944982.857142857
2020-07-10,1032749,970659.142857143
2020-07-11,693789,985158.285714286
2020-07-12,628918,998686.571428571
2020-07-13,1178204,1011690.28571429
2020-07-14,1243749,1023713.28571429
2020-07-15,1251164,1034632
2020-07-16,1251884,1040065.28571429
2020-07-17,1209692,1065342.85714286
2020-07-18,779722,1077619
2020-07-19,585498,1071416.14285714
2020-07-20,1159163,1068696
2020-07-21,1244544,1068809.57142857
2020-07-22,1236384,1066698.14285714
2020-07-23,1236427,1064490
2020-07-24,1220649,1066055.28571429
2020-07-25,817403,1071438.28571429
2020-07-26,607452,1074574.57142857
2020-07-27,1206129,1081284
2020-07-28,1244405,1081264.14285714
2020-07-29,1298880,1090192.14285714
2020-07-30,1272918,1095405.14285714
2020-07-31,1260968,1101165
2020-08-01,843372,1104874.85714286
2020-08-02,590675,1102478.14285714
2020-08-03,1275951,1112452.71428571
2020-08-04,1028686,1081635.71428571
2020-08-05,1351026,1089085.14285714
2020-08-06,1337819,1098356.71428571
2020-08-07,1286635,1102023.42857143
2020-08-08,834093,1100697.85714286
2020-08-09,663642,1111121.71428571
2020-08-10,1278263,1111452
2020-08-11,1322978,1153493.71428571
2020-08-12,1302087,1146502.42857143
2020-08-13,1294248,1140278
2020-08-14,1358798,1150587
2020-08-15,861763,1154539.85714286
2020-08-16,554980,1139016.71428571
2020-08-17,1307543,1143199.57142857
2020-08-18,1372568,1150283.85714286
2020-08-19,1294931,1149261.57142857
2020-08-20,1413449,1166290.28571429
2020-08-21,1390232,1170780.85714286
