CmplxID,Boro,CmplxName,Routes,Lat,Long,September 2019,September 2020,September 2021,Notes
74,Bk,18 Av,N,40.620671,-73.990414,4514,2032,2879,Manhattan-bound closed 1/18/2016 to 5/22/2017; Coney Is-bound closed 7/31/2017 to 7/01/2019
75,Bk,20 Av,N,40.61741,-73.985026,4122,1355,2381,Manhattan-bound closed 1/18/2016 to 5/22/2017; Coney Is-bound closed 7/31/2017 to 7/01/2019
76,Bk,Bay Pkwy,N,40.611815,-73.981848,7115,2785,4033,
77,Bk,Kings Hwy,N,40.603923,-73.980353,4943,2033,3045,Manhattan-bound closed 1/18/2016 to 5/22/2017; Coney Is-bound closed 7/31/2017 to 10/29/2018
78,Bk,Avenue U,N,40.597473,-73.979137,3524,1530,2243,Manhattan-bound closed 1/18/2016 to 5/22/2017; Coney Is-bound closed 7/31/2017 to 10/29/2018
79,Bk,86 St,N,40.592721,-73.97823,2365,994,1491,Manhattan-bound closed 1/18/2016 to 5/22/2017; Coney Is-bound closed 7/31/2017 to 10/29/2018
80,Q,121 St,J Z,40.700492,-73.828294,2368,956,1378,Manhattan-bound closed 2/06/2017 to 12/31/2017; Jamaica-bound closed 2/12/2018 to 11/13/2018
81,Q,111 St,J,40.697418,-73.836345,2182,931,1489,Both directions closed 1/14/2019 to 6/11/2019
82,Q,104 St,J Z,40.695178,-73.84433,2645,1104,1614,Manhattan-bound closed 3/13/2017 to 4/11/2018; Jamaica-bound closed 7/23/2018 to 12/22/2018
83,Q,Woodhaven Blvd,J Z,40.693879,-73.851576,5078,2013,2812,
84,Q,85 St-Forest Pkwy,J,40.692435,-73.86001,3993,1625,2306,
85,Q,75 St-Elderts Ln,J Z,40.691324,-73.867139,3931,1557,2438,
86,Bk,Cypress Hills,J,40.689941,-73.87255,1578,644,901,
87,Bk,Crescent St,J Z,40.683194,-73.873785,4698,1989,2565,
88,Bk,Norwood Av,J Z,40.68141,-73.880039,3364,1213,1731,
89,Bk,Cleveland St,J,40.679947,-73.884639,3138,1244,1631,
90,Bk,Van Siclen Av,J Z,40.678024,-73.891688,2813,1229,1600,
91,Bk,Alabama Av,J,40.676992,-73.898654,2267,1031,1274,
93,Bk,Chauncey St,J Z,40.682893,-73.910456,3464,1267,1795,
94,Bk,Halsey St,J,40.68637,-73.916559,6983,2239,3315,
95,Bk,Gates Av,J Z,40.68963,-73.92227,7675,2534,4038,
96,Bk,Kosciuszko St,J,40.693342,-73.928814,6091,1834,3086,
97,Bk,Myrtle Av,J M Z,40.697207,-73.935657,12641,3877,6208,
98,Bk,Flushing Av,J M,40.70026,-73.941126,9368,3552,4683,
99,Bk,Lorimer St,J M,40.703869,-73.947408,5830,1849,2590,
100,Bk,Hewes St,J M,40.70687,-73.953431,3597,1216,1695,
101,Bk,Marcy Av,J M Z,40.708359,-73.957757,15613,4563,7266,
103,M,Bowery,J Z,40.72028,-73.993915,4278,1049,1994,
107,M,Broad St,J Z,40.706476,-74.011056,8438,1603,2977,
108,Q,Middle Village-Metropolitan Av,M,40.711396,-73.889601,4102,1623,2424,Both directions closed 7/01/2017 to 8/31/2017
109,Q,Fresh Pond Rd,M,40.706186,-73.895877,6439,2512,3428,Both directions closed 7/01/2017 to 8/31/2017
110,Q,Forest Av,M,40.704423,-73.903077,4692,1853,2634,Both directions closed 7/01/2017 to 8/31/2017
111,Q,Seneca Av,M,40.702762,-73.90774,3603,1303,1754,Both directions closed 7/01/2017 to 8/31/2017
113,Bk,Knickerbocker Av,M,40.698664,-73.919711,5180,1652,2502,Both directions closed 9/02/2017 to 4/30/2018;  Both directions closed 8/18/2012 to 2/08/2013
114,Bk,Central Av,M,40.697857,-73.927397,5071,1474,2367,Both directions closed 9/02/2017 to 4/30/2018; Both directions closed 3/09/2013 to 8/16/2013
118,M,3 Av,L,40.732849,-73.986122,5492,2024,3856,
119,M,1 Av,L,40.730953,-73.981628,18300,6319,14047,
120,Bk,Bedford Av,L,40.717304,-73.956872,26413,6991,16691,
122,Bk,Graham Av,L,40.714565,-73.944053,9704,2815,5304,
123,Bk,Grand St,L,40.711926,-73.94067,6765,2394,4162,
124,Bk,Montrose Av,L,40.707739,-73.93985,6722,2199,4060,
125,Bk,Morgan Av,L,40.706152,-73.933147,7094,2410,4152,
126,Bk,Jefferson St,L,40.706607,-73.922913,7375,2559,4371,
127,Bk,DeKalb Av,L,40.703811,-73.918425,11350,4573,7293,
129,Q,Halsey St,L,40.695602,-73.904084,7629,2982,4642,
130,Bk,Wilson Av,L,40.688764,-73.904046,4482,1650,2659,Both directions closed 4/18/2016 to 5/31/2016
131,Bk,Bushwick Av-Aberdeen St,L,40.682829,-73.905249,2127,875,1441,
133,Bk,Atlantic Av,L,40.675345,-73.903097,1665,667,1058,Both directions closed 10/12/2015 to 2/01/2016
134,Bk,Sutter Av,L,40.669367,-73.901975,3536,1308,1797,
135,Bk,Livonia Av,L,40.664038,-73.900571,3137,1218,1698,
136,Bk,New Lots Av,L,40.658733,-73.899232,4317,1785,2385,
137,Bk,East 105 St,L,40.650573,-73.899485,3498,1355,1786,
138,Bk,Canarsie-Rockaway Pkwy,L,40.646654,-73.90185,11967,3826,3831,
141,Bk,Park Pl,S,40.674772,-73.957624,1770,559,912,
143,M,Inwood-207 St,A,40.868072,-73.919899,10118,3183,4719,
144,M,Dyckman St,A,40.865491,-73.927271,7337,2529,3655,
145,M,190 St,A,40.859022,-73.93418,5374,1114,1615,
146,M,181 St,A,40.851695,-73.937969,10590,3791,7288,
147,M,175 St,A,40.847391,-73.939704,13936,4303,7114,
149,M,163 St-Amsterdam Av,C,40.836013,-73.939892,4455,1576,2318,Both directions closed 3/12/2018 to 9/29/2018
150,M,155 St,C,40.830518,-73.941514,2879,921,1455,
151,M,145 St,A B C D,40.824783,-73.944216,25241,7779,12190,
152,M,135 St,B C,40.817894,-73.947649,6582,1699,2980,
153,M,125 St,A B C D,40.811109,-73.952343,29890,10049,15113,
154,M,116 St,B C,40.805085,-73.954882,7668,2193,3986,
155,M,Cathedral Pkwy (110 St),B C,40.800603,-73.958161,7938,2440,4450,Both directions closed 4/09/2018 to 9/02/2018
156,M,103 St,B C,40.796092,-73.961454,4924,1485,2541,
157,M,96 St,B C,40.791642,-73.964696,10751,3244,5548,
158,M,86 St,B C,40.785868,-73.968916,11849,3135,6024,Both directions closed 6/04/2018 to 10/26/2018
159,M,81 St-Museum of Natural History,B C,40.781433,-73.972143,13251,2847,6409,
160,M,72 St,B C,40.775594,-73.97641,9360,2320,4740,Both directions closed 5/07/2018 to 10/04/2018
162,M,50 St,C E,40.762456,-73.985984,21822,4078,9825,
164,M,34 St-Penn Station,A C E,40.752287,-73.993391,84354,18114,35054,
165,M,23 St,C E,40.745906,-73.998041,24913,5736,11168,
167,M,W 4 St-Wash Sq,A B C D E F M,40.732338,-74.000495,45021,9554,21709,
168,M,Spring St,C E,40.726227,-74.003739,15105,2858,6363,
169,M,Canal St,A C E,40.720824,-74.005229,22271,4286,8735,
173,Bk,High St,A C,40.699337,-73.990531,11933,2188,4812,
175,Bk,Hoyt-Schermerhorn Sts,A C G,40.688484,-73.985001,11812,3678,6097,
176,Bk,Lafayette Av,C,40.686113,-73.973946,5264,1453,2895,
177,Bk,Clinton-Washington Avs,C,40.683263,-73.965838,7773,1537,3642,
179,Bk,Nostrand Av,A C,40.680438,-73.950426,18240,5290,9313,
180,Bk,Kingston-Throop Avs,C,40.679921,-73.940858,7104,1891,3436,
181,Bk,Utica Av,A C,40.679364,-73.930729,16623,5428,7866,
182,Bk,Ralph Av,C,40.678822,-73.920786,6004,2119,3022,
183,Bk,Rockaway Av,C,40.67834,-73.911946,6021,1949,2954,
185,Bk,Liberty Av,C,40.674542,-73.896548,2991,1045,1431,
186,Bk,Van Siclen Av,C,40.67271,-73.890358,3089,1218,1506,
187,Bk,Shepherd Av,C,40.67413,-73.88075,3294,1231,1707,
188,Bk,Euclid Av,A C,40.675377,-73.872106,10621,4194,5374,
189,Bk,Grant Av,A,40.677044,-73.86505,5937,2307,3040,
190,Q,80 St,A,40.679371,-73.858992,4560,1622,2513,Queens-bound closed 9/08/2015 to 12/13/2015; Manhattan-bound closed 12/28/2015 to 4/04/2016
191,Q,88 St,A,40.679843,-73.85147,3062,1158,1589,Manhattan-bound closed 10/13/2014 to 2/02/2015; Queens-bound closed 5/12/2014 to 9/29/2014
192,Q,Rockaway Blvd,A,40.680429,-73.843853,8029,3068,4303,Queens-bound closed 2/09/2015 to 5/29/2015; Manhattan-bound closed 6/01/2015 to 8/28/2015
193,Q,104 St,A,40.681711,-73.837683,1958,746,1022,Manhattan-bound closed 10/13/2014 to 2/02/2015; Queens-bound closed 5/12/2014 to 9/29/2014; Manhattan-bound closed 10/13/2014 to 2/02/2015
194,Q,111 St,A,40.684331,-73.832163,2811,1072,1380,Jamaica-bound closed 9/08/2015 to 12/13/2015; Manhattan-bound closed 12/28/2015 to 4/04/2016
195,Q,Ozone Park-Lefferts Blvd,A,40.685951,-73.825798,7870,3177,3849,
196,Q,Aqueduct Racetrack,A,40.672097,-73.835919,1609,497,631,
197,Q,Aqueduct-N Conduit Av,A,40.668234,-73.834058,960,320,478,
198,Q,Howard Beach-JFK Airport,A,40.660476,-73.830301,3884,654,1615,
199,Q,Broad Channel,A S,40.608382,-73.815925,334,111,153,Both directions closed 10/29/2012 to 5/30/2013
200,Q,Beach 90 St,A S,40.588034,-73.813641,1374,360,425,Manhattan-bound closed 9/14/2009 to 1/25/2010; Rock Park-bound closed 9/07/2010 to 12/22/2010; Both directions closed 10/29/2012 to 5/30/2013
201,Q,Beach 98 St,A S,40.585307,-73.820558,487,172,291,Manhattan-bound closed 3/01/2010 to 4/19/2010; Rock Park-bound closed 4/19/2010 to 7/02/2010; Both directions closed 10/29/2012 to 5/30/2013
202,Q,Beach 105 St,A S,40.583209,-73.827559,240,99,139,Manhattan-bound closed 9/14/2009 to 1/25/2010; Rock Park-bound closed 9/07/2010 to 12/22/2010; Both directions closed 10/29/2012 to 5/30/2013
203,Q,Rockaway Park-Beach 116 St,A S,40.580903,-73.835592,668,316,357,
204,Q,Beach 67 St,A,40.590927,-73.796924,2324,1059,1294,Far Rkwy-bound closed 9/08/2009 to 1/18/2010; Manhattan-bound closed 9/07/2010 to 1/28/2011; Both directions closed 10/29/2012 to 5/30/2013
205,Q,Beach 60 St,A,40.592374,-73.788522,2009,847,1102,Far Rkwy-bound closed 2/22/2010 to 6/28/2010; Manhattan-bound closed 2/14/2011 to 6/20/2011; Both directions closed 10/29/2012 to 5/30/2013
206,Q,Beach 44 St,A,40.592943,-73.776013,683,330,380,Far Rkwy-bound closed 9/08/2009 to 1/18/2010; Manhattan-bound closed 9/07/2010 to 1/28/2011; Both directions closed 10/29/2012 to 5/30/2013
207,Q,Beach 36 St,A,40.595398,-73.768175,949,407,538,Far Rkwy-bound closed 2/22/2010 to 7/02/2010; Manhattan-bound closed 2/14/2011 to 6/20/2011; Both directions closed 10/29/2012 to 5/30/2013
208,Q,Beach 25 St,A,40.600066,-73.761353,1764,724,1013,Far Rkwy-bound closed 9/08/2009 to 1/25/2010; Manhattan-bound closed 9/07/2010 to 1/28/2011; Both directions closed 10/29/2012 to 5/30/2013
209,Q,Far Rockaway-Mott Av,A,40.603995,-73.755405,4396,2086,2388,
210,Bx,Norwood-205 St,D,40.874811,-73.878855,9047,3811,4806,
211,Bx,Bedford Park Blvd,B D,40.873244,-73.887138,7249,2701,4007,
212,Bx,Kingsbridge Rd,B D,40.866978,-73.893509,8444,3260,4108,
213,Bx,Fordham Rd,B D,40.861296,-73.897749,12221,4832,6388,
214,Bx,182-183 Sts,B D,40.856093,-73.900741,4943,2097,2735,
215,Bx,Tremont Av,B D,40.85041,-73.905227,10133,4085,5348,
216,Bx,174-175 Sts,B D,40.8459,-73.910136,5198,2335,2953,Both directions closed 8/13/2018 to 12/26/2018
217,Bx,170 St,B D,40.839306,-73.9134,6931,2710,3939,
218,Bx,167 St,B D,40.833771,-73.91844,9280,4011,5138,Both directions closed 8/27/2018 to 1/09/2019
220,M,155 St,B D,40.830135,-73.938209,3797,1491,1993,
221,Q,21 St-Queensbridge,F,40.754203,-73.942836,11823,3585,5295,
222,M,Roosevelt Island,F,40.759145,-73.95326,7957,2396,4206,
223,M,Lexington Av/63 St,F Q,40.764629,-73.966113,23373,6597,11358,
224,M,57 St,F,40.763972,-73.97745,14918,3108,6146,Both directions closed 7/09/2018 to 12/19/2018
225,M,47-50 Sts-Rockefeller Ctr,B D F M,40.758663,-73.981329,63165,13011,22174,
228,M,23 St,F M,40.742878,-73.992821,31511,6669,12169,Both directions closed 7/23/2018 to 11/29/2018
231,M,Grand St,B D,40.718267,-73.993753,25540,7706,13133,
232,M,2 Av,F,40.723402,-73.989938,17164,3937,8636,
234,M,East Broadway,F,40.713715,-73.990173,14205,4063,7307,
235,Bk,York St,F,40.701397,-73.986751,13668,2729,5645,
236,Bk,Bergen St,F G,40.686145,-73.990862,11922,2802,6240,
237,Bk,Carroll St,F G,40.680303,-73.995048,12602,2940,6519,
238,Bk,Smith-9 Sts,F G,40.67358,-73.995959,4801,1614,2506,Both directions closed 6/20/2011 to 4/26/2013
240,Bk,7 Av,F G,40.666271,-73.980305,12577,3057,6680,
241,Bk,15 St-Prospect Park,F G,40.660365,-73.979493,6653,1540,3296,Manhattan-bound closed 1/17/2011 to 5/23/2011; Coney Is-bound closed 11/14/2011 to 4/02/2012
242,Bk,Fort Hamilton Pkwy,F G,40.650782,-73.975776,6349,1482,3333,Manhattan-bound closed 1/17/2011 to 5/23/2011; Coney Is-bound closed 11/14/2011 to 4/02/2012
243,Bk,Church Av,F,40.644041,-73.979678,9793,3690,5245,Church Av-bound closed 12/03/2018 to 12/31/2018
244,Bk,Ditmas Av,F,40.636119,-73.978172,4317,1773,2290,Manhattan-bound closed 6/29/2015 to 11/02/2015; Coney Is-bound closed 1/25/2016 to 5/02/2016
245,Bk,18 Av,F,40.629755,-73.976971,3841,1637,2024,
246,Bk,Avenue I,F,40.625322,-73.976127,2192,741,1031,Coney Is-bound closed 6/07/2016 to 5/01/2017; Manhattan-bound closed 5/22/2017 to 7/30/2018
247,Bk,Bay Pkwy,F,40.620769,-73.975264,1380,454,743,Coney Is-bound closed 6/07/2016 to 5/01/2017; Manhattan-bound closed 5/22/2017 to 7/30/2018
248,Bk,Avenue N,F,40.61514,-73.974197,3163,1188,1526,Coney Is-bound closed 6/07/2016 to 5/01/2017; Manhattan-bound closed 5/22/2017 to 7/30/2018
249,Bk,Avenue P,F,40.608944,-73.973022,2675,992,1383,Coney Is-bound closed 6/07/2016 to 5/01/2017; Manhattan-bound closed 5/22/2017 to 7/30/2018
250,Bk,Kings Hwy,F,40.603217,-73.972361,3921,1650,1921,
251,Bk,Avenue U,F,40.596063,-73.973357,2018,698,1067,Coney Is-bound closed 6/07/2016 to 5/01/2017; Manhattan-bound closed 5/22/2017 to 7/30/2018
252,Bk,Avenue X,F,40.58962,-73.97425,2641,1063,1378,Coney Is-bound closed 6/07/2016 to 5/01/2017; Manhattan-bound closed 6/29/2015 to 12/27/2015
253,Bk,Neptune Av,F,40.581011,-73.974574,1603,566,903,Both directions closed 11/21/2014 to 12/01/2014
254,Q,Jamaica-179 St,F,40.712646,-73.783817,22591,8382,10916,
255,Q,169 St,F,40.71047,-73.793604,8493,3132,4537,
256,Q,Parsons Blvd,F,40.707564,-73.803326,7019,4001,3909,
257,Q,Sutphin Blvd,F,40.70546,-73.810708,4432,2752,2400,
258,Q,Briarwood,E F,40.709179,-73.820574,5277,1879,2706,
259,Q,Kew Gardens-Union Tpke,E F,40.714441,-73.831008,26366,9167,12681,
260,Q,75 Av,E F,40.718331,-73.837324,3679,1081,1594,
261,Q,Forest Hills-71 Av,E F M R,40.721691,-73.844521,27688,8665,12890,
262,Q,67 Av,M R,40.726523,-73.852719,9347,2792,4397,
263,Q,63 Dr-Rego Park,M R,40.729846,-73.861604,15990,5745,7896,
264,Q,Woodhaven Blvd,M R,40.733106,-73.869229,20717,7644,10942,
265,Q,Grand Av-Newtown,M R,40.737015,-73.877223,19248,7097,10252,
266,Q,Elmhurst Av,M R,40.742454,-73.882017,12712,5188,7086,
268,Q,65 St,M R,40.749669,-73.898453,3570,1343,1969,
269,Q,Northern Blvd,M R,40.752885,-73.906006,6807,2770,3743,
270,Q,46 St,M R,40.756312,-73.913333,8883,2941,4568,
271,Q,Steinway St,M R,40.756879,-73.92074,14692,4896,7517,
272,Q,36 St,M R,40.752039,-73.928781,4734,1211,2184,
273,Q,Queens Plaza,E M R,40.748973,-73.937243,15887,3131,7228,
276,M,5 Av/53 St,E M,40.760167,-73.975224,27585,4734,9248,
277,M,7 Av,B D E,40.762862,-73.981637,18041,2588,6783,
278,Q,Jamaica Center-Parsons/Archer,E J Z,40.702147,-73.801109,36949,10801,17360,
279,Q,Sutphin Blvd-Archer Av-JFK Airport,E J Z,40.700486,-73.807969,25973,7145,13541,
280,Q,Jamaica-Van Wyck,E,40.702566,-73.816859,4720,3787,2608,
282,Q,21 St,G,40.744065,-73.949724,1767,634,1060,Both directions closed 7/25/2014 to 9/02/2014
283,Bk,Greenpoint Av,G,40.731352,-73.954449,10549,3513,5710,Both directions closed 7/25/2014 to 9/02/2014
284,Bk,Nassau Av,G,40.724635,-73.951277,10380,2971,5232,
286,Bk,Broadway,G,40.706092,-73.950308,5110,2023,2852,
287,Bk,Flushing Av,G,40.700377,-73.950234,2572,1314,1711,
288,Bk,Myrtle-Willoughby Avs,G,40.694568,-73.949046,6275,2087,3235,
289,Bk,Bedford-Nostrand Avs,G,40.689627,-73.953522,9318,2625,4851,
290,Bk,Classon Av,G,40.688873,-73.96007,5857,1629,3321,
291,Bk,Clinton-Washington Avs,G,40.688089,-73.966839,5823,1365,3195,
292,Bk,Fulton St,G,40.687119,-73.975375,5961,1733,3734,
293,Bx,Van Cortlandt Park-242 St,1,40.889248,-73.898583,7791,3225,4410,
294,Bx,238 St,1,40.884667,-73.90087,4456,1774,2569,Both directions closed 9/04/2018 to 1/02/2019; Uptown closed 4/11/2011 to 5/11/2011; Downtown closed 5/23/2011 to 6/24/2011
295,Bx,231 St,1,40.878856,-73.904834,10049,3852,5282,
296,M,Marble Hill-225 St,1,40.874561,-73.909831,5314,2302,3059,Downtown closed 8/29/2011 to 10/10/2011; Uptown closed 4/02/2012 to 5/18/2012
297,M,215 St,1,40.869444,-73.915279,1819,588,1121,
298,M,207 St,1,40.864621,-73.918822,6142,2818,3747,
299,M,Dyckman St,1,40.860531,-73.925536,6892,3320,4132,Uptown closed 10/18/2010 to 8/15/2011; Downtown closed 8/15/2011 to 6/18/2012
300,M,191 St,1,40.855225,-73.929412,7729,688,5351,Both directions closed 2/01/2020 to 11/23/2020
301,M,181 St,1,40.849505,-73.933596,11316,5799,,Both directions closed 12/05/2020 to 1/00/1900
303,M,157 St,1,40.834041,-73.94489,12347,4239,6110,
304,M,145 St,1,40.826551,-73.95036,9090,3862,5540,
305,M,137 St-City College,1,40.822008,-73.953676,13816,4266,6704,
306,M,125 St,1,40.815581,-73.958372,8161,2532,4577,
307,M,116 St-Columbia University,1,40.807722,-73.96411,17593,2664,10393,
308,M,Cathedral Pkwy (110 St),1,40.803967,-73.966847,12523,3540,7311,
309,M,103 St,1,40.799446,-73.968379,12515,3612,6784,
310,M,96 St,1 2 3,40.793919,-73.972323,36259,10748,19182,
311,M,86 St,1,40.788644,-73.976218,18303,5139,9908,
312,M,79 St,1,40.783934,-73.979917,14984,4146,8009,
313,M,72 St,1 2 3,40.778453,-73.98197,39313,10812,19949,
314,M,66 St-Lincoln Center,1,40.77344,-73.982209,23802,4208,10112,
316,M,50 St,1,40.761728,-73.983849,26382,3500,9682,
318,M,34 St-Penn Station,1 2 3,40.750373,-73.991057,84576,17279,31775,
319,M,28 St,1,40.747215,-73.993365,15637,2797,6370,
320,M,23 St,1,40.744081,-73.995657,15259,3460,6803,
321,M,18 St,1,40.74104,-73.997871,9095,1730,3728,
323,M,Christopher St-Sheridan Sq,1,40.733422,-74.002906,10507,2199,5433,
324,M,Houston St,1,40.728251,-74.005367,15882,2816,5808,
325,M,Canal St,1,40.722854,-74.006277,7114,1090,2358,
326,M,Franklin St,1,40.719318,-74.006886,5884,1039,2491,
327,M,Chambers St,1 2 3,40.715478,-74.009266,23455,3458,8532,
328,M,WTC Cortlandt,1,40.711835,-74.012188,13773,1848,4359,Both directions closed 9/11/2001 to 9/08/2018; Both directions closed 9/11/2001 to 9/08/2018
329,M,Rector St,1,40.707513,-74.013783,9112,1340,3171,
333,M,Wall St,2 3,40.706821,-74.0091,25340,3831,7768,
334,Bk,Clark St,2 3,40.697466,-73.993086,5854,1322,3092,
336,Bk,Hoyt St,2 3,40.690545,-73.985065,7674,2231,3839,
337,Bk,Nevins St,2 3 4 5,40.688246,-73.980492,10858,3024,4928,
339,Bk,Bergen St,2 3,40.680829,-73.975098,4024,906,1963,
340,Bk,Grand Army Plaza,2 3,40.675235,-73.971046,7691,1832,3685,
341,Bk,Eastern Pkwy-Brooklyn Museum,2 3,40.671987,-73.964375,3902,926,2446,
343,Bk,Nostrand Av,3,40.669847,-73.950466,4469,1219,2173,
344,Bk,Kingston Av,3,40.669399,-73.942161,5196,1686,2430,
345,Bk,Crown Hts-Utica Av,3 4,40.668897,-73.932942,26407,10332,13592,
346,Bk,Sutter Av-Rutland Rd,3,40.664717,-73.92261,7179,2774,3701,Both directions closed 10/03/2016 to 6/18/2017
347,Bk,Saratoga Av,3,40.661453,-73.916327,5534,2285,2969,Both directions closed 4/11/2016 to 9/19/2016
348,Bk,Rockaway Av,3,40.662549,-73.908946,4939,1989,2611,Both directions closed 4/20/2015 to 3/28/2016
349,Bk,Junius St,3,40.663515,-73.902447,2408,932,1256,Both directions closed 10/03/2016 to 6/18/2017
350,Bk,Pennsylvania Av,3,40.664635,-73.894895,4754,1788,2524,Both directions closed 4/11/2016 to 9/19/2016; Both directions closed 10/27/2016 to 3/03/2017
