CmplxID,Boro,CmplxName,Routes,Lat,Long,September 2019,September 2020,September 2021,Notes
1,Q,Astoria-Ditmars Blvd,N W,40.775036,-73.912034,19587,5248,8303,
2,Q,Astoria Blvd,N W,40.770258,-73.917843,0,3097,5969,Both directions closed 3/17/2019 to 12/19/2019
3,Q,30 Av,N W,40.766779,-73.921479,20064,4799,7096,Both directions closed 10/23/2017 to 6/25/2018
4,Q,Broadway,N W,40.76182,-73.925508,12082,3780,6407,Both directions closed 7/02/2018 to 1/24/2019
5,Q,36 Av,N W,40.756804,-73.929575,6863,2303,3508,Both directions closed 10/23/2017 to 6/25/2018
6,Q,39 Av-Dutch Kills,N W,40.752882,-73.932755,3163,952,1476,Both directions closed 7/02/2018 to 1/28/2019
8,M,5 Av/59 St,N R W,40.764811,-73.973347,16414,4300,7218,
9,M,57 St-7 Av,N Q R W,40.764664,-73.980658,36228,7011,14552,
10,M,49 St,N R W,40.759901,-73.984139,23278,3504,9476,
13,M,28 St,R W,40.745494,-73.988691,12803,2505,4898,
14,M,23 St,R W,40.741303,-73.989344,23817,3965,8801,
16,M,8 St-NYU,R W,40.730328,-73.992629,17880,2972,8474,
17,M,Prince St,R W,40.724329,-73.997702,12714,2458,5639,
20,M,City Hall,R W,40.713282,-74.006978,6314,1166,2698,
22,M,Rector St,R W,40.70722,-74.013342,7378,1308,2620,Both directions closed 10/29/2012 to 12/03/2012
26,Bk,DeKalb Av,B Q R,40.690635,-73.981824,23736,5981,11303,
28,Bk,Union St,R,40.677316,-73.98311,7572,1907,3874,
30,Bk,Prospect Av,R,40.665414,-73.992872,6343,1781,3434,Both directions closed 6/01/2017 to 11/02/2017
31,Bk,25 St,R,40.660397,-73.998091,4011,1399,2239,
32,Bk,36 St,D N R,40.655144,-74.003549,14134,5287,8382,
33,Bk,45 St,R,40.648939,-74.010006,7994,2997,4725,
34,Bk,53 St,R,40.645069,-74.014034,8855,4079,5395,Both directions closed 3/27/2017 to 9/08/2017
35,Bk,59 St,N R,40.641362,-74.017881,11573,4583,7807,
36,Bk,Bay Ridge Av,R,40.634967,-74.023377,8133,2794,4595,Both directions closed 5/01/2017 to 10/13/2017
37,Bk,77 St,R,40.629742,-74.02551,5839,1975,3074,
38,Bk,86 St,R,40.622687,-74.028398,11982,4516,6731,
39,Bk,Bay Ridge-95 St,R,40.616622,-74.030876,6104,2093,3096,
41,Bk,7 Av,B Q,40.67705,-73.972367,10816,2322,5309,
42,Bk,Prospect Park,B Q S,40.661614,-73.962246,11060,3329,5549,
43,Bk,Parkside Av,B Q,40.655292,-73.961495,6610,2299,3571,Manhattan-bound closed 7/08/2013 to 10/28/2013; Coney Is-bound closed 2/24/2014 to 6/19/2014
44,Bk,Church Av,B Q,40.650527,-73.962982,17071,6384,9015,
45,Bk,Beverley Rd,Q,40.644031,-73.964492,3810,1274,2038,Manhattan-bound closed 7/08/2013 to 10/28/2013
46,Bk,Cortelyou Rd,Q,40.640927,-73.963891,6786,2281,3544,Manhattan-bound closed 7/08/2013 to 10/28/2013; Coney Is-bound closed 2/24/2014 to 6/13/2014
47,Bk,Newkirk Plaza,B Q,40.635082,-73.962793,11154,3849,5973,
48,Bk,Avenue H,Q,40.62927,-73.961639,4061,1055,1642,Coney Is-bound closed 9/28/2009 to 9/13/2010; Manhattan-bound closed 9/27/2010 to 9/12/2011
49,Bk,Avenue J,Q,40.625039,-73.960803,6326,2417,3072,
50,Bk,Avenue M,Q,40.617618,-73.959399,6349,2346,3448,Coney Is-bound closed 9/28/2009 to 9/13/2010; Manhattan-bound closed 9/27/2010 to 9/12/2011
51,Bk,Kings Hwy,B Q,40.60867,-73.957734,21235,7985,11092,
52,Bk,Avenue U,Q,40.5993,-73.955929,7732,2860,4034,Coney Is-bound closed 12/08/2008 to 1/18/2010; Manhattan-bound closed 1/18/2010 to 10/25/2010
53,Bk,Neck Rd,Q,40.595246,-73.955161,4748,1603,2290,Coney Is-bound closed 12/08/2008 to 1/18/2010; Manhattan-bound closed 1/18/2010 to 10/25/2010 Manhattan-bound closed 1/18/2010 to 10/25/2010
54,Bk,Sheepshead Bay,B Q,40.586896,-73.954155,14842,5151,7457,
55,Bk,Brighton Beach,B Q,40.577621,-73.961376,12883,5011,6478,
56,Bk,Ocean Pkwy,Q,40.576312,-73.968501,3603,1388,1936,Both directions closed 11/21/2014 to 12/01/2014
57,Bk,W 8 St-NY Aquarium,F Q,40.576127,-73.975939,2456,948,1382,Both directions closed 11/21/2014 to 12/01/2014
58,Bk,Coney Island-Stillwell Av,D F N Q,40.577422,-73.981233,13294,5415,7161,
59,Bk,9 Av,D,40.646292,-73.994324,5806,2390,3316,
60,Bk,Fort Hamilton Pkwy,D,40.640914,-73.994304,4268,1909,2419,
61,Bk,50 St,D,40.63626,-73.994791,3449,1715,1854,
62,Bk,55 St,D,40.631435,-73.995476,2143,1085,1076,
64,Bk,71 St,D,40.619589,-73.998864,5653,2034,2924,Coney Is-bound closed 8/13/2011 to 10/15/2011; Both directions closed 10/15/2011 to 10/28/2011
65,Bk,79 St,D,40.613501,-74.00061,6752,2178,3839,
66,Bk,18 Av,D,40.607954,-74.001736,6550,2405,3410,Both directions closed 10/15/2011 to 10/24/2011
67,Bk,20 Av,D,40.604556,-73.998168,5316,1980,2717,
68,Bk,Bay Pkwy,D,40.601875,-73.993728,8037,3240,4223,
69,Bk,25 Av,D,40.597704,-73.986829,5301,1660,2619,
70,Bk,Bay 50 St,D,40.588841,-73.983765,2910,958,1735,
71,Bk,8 Av,N,40.635064,-74.011719,12452,3896,6072,
72,Bk,Fort Hamilton Pkwy,N,40.631386,-74.005351,6073,2197,3666,Manhattan-bound closed 1/18/2016 to 5/22/2017; Coney Is-bound closed 7/31/2017 to 7/01/2019
