Date,Ridership
3/1/2020,4587375.286
3/8/2020,3720183.857
3/15/2020,1446374.571
3/22/2020,604092.5714
3/29/2021,441027.8571
4/5/2020,371648.4286
4/12/2020,360337.4286
4/19/2020,391512.4286
4/26/2020,419965.2857
5/3/2020,454975.2857
5/10/2020,490443.1429
5/17/2020,531792.8571
5/24/2020,541819.2857
5/31/2020,615473
6/13/2020,735784.7143
6/14/2020,817618.4286
6/21/2020,910955.5714
6/28/2020,928012
7/5/2020,985158.2857
7/12/2020,1077619
7/19/2020,1071438.286
7/26/2020,1104874.857
8/2/2020,1100697.857
8/9/2020,1154539.857
8/16/2020,1173870.857
8/23/2020,1181310.286
8/30/2020,1318682.429
9/6/2020,1312759.429
9/13/2020,1477080.286
9/20/2020,1501289
9/27/2020,1503492.857
10/4/2020,1551150.286
10/11/2020,1491638.571
10/18/2020,1583215.857
10/25/2020,1553567.286
11/1/2020,1531851.286
11/8/2020,1565575.857
11/15/2020,1553341
11/22/2020,1264424.429
11/29/2020,1449763.714
12/6/2020,1490567.571
12/13/2020,1398616.571
12/20/2020,1251699.857
12/27/2021,1185638.857
1/3/2021,1380096.571
1/10/2021,1413840.571
1/17/2021,1374986.286
1/24/2021,1380387.714
1/31/2021,1243416.429
2/7/2021,1462771.143
2/14/2021,1358798.143
2/21/2021,1523967.857
2/28/2021,1560415
3/7/2021,1624058.143
3/14/2021,1617239.286
3/21/2021,1682713.714
3/28/2021,1596597.571
4/4/2021,1735586.429
4/11/2021,1743670.714
4/18/2021,1820430.857
4/25/2021,1834355.286
5/2/2021,1888788
5/9/2021,1930997.857
5/16/2021,1985983.571
5/23/2021,1987729.286
5/30/2021,1916338.143
6/6/2021,2139786.714
6/13/2021,2217801.286
6/20/2021,2224465
6/27/2021,2094109.429
7/4/2021,2027498.714
7/11/2021,2206874.286
7/18/2021,2244445.571
7/25/2021,2222548.714
8/1/2021,2221683.857
8/8/2021,2166067.286
8/15/2021,2175440.286
8/22/2021,2044598
8/29/2021,2057439
9/5/2021,2178963.857
9/12/2021,2579176.286
9/19/2021,2689256.571
9/26/2021,2698777.429
10/3/2021,2731521.571
10/10/2021,2652599.571
10/17/2021,2805072.714
10/24/2021,2756826.143
10/31/2021,2819254
11/7/2021,2839375.571
11/14/2021,2918458
11/21/2021,2361965.429
11/28/2021,2869009.143
12/5/2021,2967727.571
12/12/2021,2816854.857
12/19/2021,2075480.143
12/26/2021,1786203
1/2/2022,1995726.714
1/9/2021,2097533.429
